Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/VADODARA/VADODARA/Others/RAA11084/281222,UNITY SAPPHIRE,"3,825","2,841.73","FP NO. 21 SEVASI TP3, NEAR GOPI PARTY PLOT, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,167,2,UNITY DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA11019/121222,AMARDEEP INFINITY,"5,530","3,597.69","R. Survey No.: 234, F.P.No.: 02, T.P.No: 02,, Vadodara, Vadodara, Gujarat,",30/09/2027,Residential/Group Housing,140,4,AMAR BUILDCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10922/141122,Aashray Primero,"4,006","2,373.77","Revenue Servey No 267/1,Block No.238 T.P.S.No - 51, F.P.No.169, Vadodara, Vadodara, Gujarat,",31/03/2027,Residential/Group Housing,29,14,SHIV DEVELOPERS,PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10899/111122,AMARDEEP LUXURIA,"8,316.05","5,341.52","R. Survey No.: 198,203 and 202/1, F.P.NO.: 67, 68 and 59 respectively, T.P.NO. 31, , Vadodara, Vadodara, Gujarat,",31/08/2027,Residential/Group Housing,52,10,PRUTHVIRAJ ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10797/171022,SANSKRUTI SKY,"3,705","2,607.28","B/S PRUTHVIRAJ PARTY PLOT, ABHILASHA,, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,88,2,MARUTI HOME REALITY,PARTNERSHIP FIRM,5,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10768/131022,AARANA LUXURIA,"7,561.8","5,190.49","OPP RMS POLYTECHNIC, SIGMA - TIMBI ROAD, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,63,7,LAKSHMI BUILDCON,PARTNERSHIP FIRM,15,10,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10567/200822,MANORATH 56,"7,153","1,514.24","PLOT NO. 31, BH KASHIMATH TEMPLE, NR. NILAMBER CIRCLE, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,56,2,MILLENNIUM DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10540/060822,SHANTANU GREEN - PHASE 3,"8,620",899.43,"Shantanu Green, Nr. Swami Narayan Tenament, Vadodara, Vadodara, Gujarat,",31/12/2028,Residential/Group Housing,52,1,SHREEJI DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10426/130722,AMARDEEP LANDMARK PHASE II,"5,454","3,182.47","AMARDEEP LANDMARK,OPP.PANDIT DINDAYAL UPADHYAY NAGAR GRUH, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,196,7,AARADHYA REALITY,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10362/270622,KAMAXI HIGHRISE,"3,078","1,862.03","KAMXI HIGHRISE , OPP PANCHAM SKY, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,120,4,SHIV ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10295/080622,PLATINUM HEIGHTS,"2,480","1,484.05","“PLATINUM HEIGHTS”, F. P. – 70, S. A. – 62, NEAR KANHA SKYLINE, HARNI SAMA LINK ROAD,, Vadodara, Vadodara, Gujarat,",31/10/2027,Residential/Group Housing,56,2,GOPINATH DEVELOPERS,PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA10185/A1R/050123,AMARDEEP SKY,"2,610","1,448.92","R.S. No. 1050, F.P. No. 60,, Vadodara, Vadodara, Gujarat,",30/06/2025,Residential/Group Housing,56,2,AVADH REALITY,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09922/A1R/270923,Aditya Orchid,"5,398","3,099.35","Block No 381 TP 5 , Vadodara, Vadodara, Gujarat,",31/12/2026,Residential/Group Housing,210,5,ADITYA BUILDSPACE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09326/EX1/160524/300625,Pratham Bluets Phase-7,"40,314","4,542.98","Pratham Bluets, Road next to Zydex, Opp Shaishav School,, Vadodara, Vadodara, Gujarat,",30/06/2025,Residential/Group Housing,108,4,PRATHAM PROPERTIES,PARTNERSHIP FIRM,21,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09243/291021,KRISHNA DARSHAN BLISS,"15,115.2","20,097.76","KRISHNA DARSHAN BLISS, B/S SHRENATHJI DREAM CITY, BEFORE AMODAR VILLAGE, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,108,1,KRUSHNADARSHAN INFRA,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09215/221021,SHANTANU GREEN - PHASE 2 - PLOT NO. 2,"4,903.84","2,608.26","Shantanu Green, Nr. Swami Narayan Tenament, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,146,2,SHREEJI DEVELOPERS,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09124/011021,Fortune Imperia II,"9,420","6,589.51","Block No 97 F P No 02 TP No 01 Block No 90 F P No 84 TP No 02, Vadodara, Vadodara, Gujarat,",31/12/2026,Residential/Group Housing,125,7,SHREEJI INFRA,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09095/EX1/280324/310724,Pratham Bluets Phase-6,"40,314","3,649.3","Pratham Bluets, Road next to Zydex, Opp Shaishav School, , Vadodara, Vadodara, Gujarat,",31/07/2024,Residential/Group Housing,112,1,PRATHAM PROPERTIES,PARTNERSHIP FIRM,21,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA08993/070921,Pratham Bluets Phase-5,"40,314","1,524.74","Pratham Bluets, Road next to Zydex, Opp Shaishav School, , Vadodara, Vadodara, Gujarat,",30/07/2022,Residential/Group Housing,44,1,PRATHAM PROPERTIES,PARTNERSHIP FIRM,21,2,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA08692/300621,DARSHANAM BLISS,"19,457","5,447.17","NEAR DARSHANAM ANTICA, Vadodara, Vadodara, Gujarat,",31/12/2026,Residential/Group Housing,286,3,SMART DEVELOPERS,PARTNERSHIP FIRM,20,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA08482/210521,OPULENCE GREEN,"5,022","1,477","OPULENCE GREEN, BL. NO. 69/A/2 AND 69/B, Vadodara, Vadodara, Gujarat,",31/03/2026,Residential/Group Housing,24,1,MILESTONE INFRA,PARTNERSHIP FIRM,40,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA08200/170321,RAADHE SHYAAM HARMONY,"4,871.6","3,196.74","“RAADHE SHYAAM HARMONY”, Opp, Vivaah Party Plot, Vadodara, Vadodara, Gujarat,",31/12/2026,Residential/Group Housing,216,4,MAHALAXMEE ASSOCIATES,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA08120/250221,PANCHAM ARISTO,"5,524","3,866.85","""PANCHAM ARISTO"", 18 MTS WIDE ROAD, NEAR DARSHANAM - 99,, Vadodara, Vadodara, Gujarat,",31/12/2026,Residential/Group Housing,204,5,ADITYA INFRASTRUCTURE,PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA07711/261120,SHANTAM NIRVANTA,"6,466","2,659.53","SHANTAM NIRVANTA, NR. NEELAM PARTY PLOT, Vadodara, Vadodara, Gujarat,",31/12/2025,Residential/Group Housing,134,3,UNIQUE VISION,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA05800/260719,VEDA II,"30,928","3,778.32","VEDA II, Canal Road, , Vadodara, Vadodara, Gujarat, 390024",30/06/2024,Residential/Group Housing,367,3,ALEMBIC LIMITED,COMPANY,9,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA03897/301018,THE PALACE,"60,096","7,003.66","SAYAJIPURA VILLAGE, NR. SAGAR FILMCITY, Vadodara, Vadodara, Gujarat, 390019",30/06/2026,Residential/Group Housing,280,5,DMC ESTATE MANAGEMENT,AOP,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA01919/070318,Pratham Bluets Phase-4,"42,897","1,165","Pratham Bluets, Vadodara, Vadodara, Gujarat, 391101",15/06/2018,Residential/Group Housing,32,1,PRATHAM PROPERTIES,PARTNERSHIP FIRM,21,2,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA01827/030318,Pratham Riviera Phase-3,"25,711","1,466","Pratham Riviera, Vadodara, Vadodara, Gujarat, 391410",22/03/2019,Residential/Group Housing,52,2,PRATHAM DEVELOPERS,PARTNERSHIP FIRM,20,3,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA00704/EX3/130723,Casa Lakeside Phase 2,"1,04,991","10,489","Nr.Bil Village, Bil-Chapad Road, , Vadodara, Vadodara, Gujarat, 391410",30/06/2023,Residential/Group Housing,88,6,PACIFICA LAKESIDE DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA00703/EX1/210119,Casa Lakeside Phase 1,"1,04,991","14,436","Nr.Bil Village, Bil-Chapad Road, , Vadodara, Vadodara, Gujarat, 391410",31/12/2019,Residential/Group Housing,140,10,PACIFICA LAKESIDE DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA00378/EX2/310323,San Lucas Phase 1,"1,13,775","7,742","Bhayli - Vasna Road, Vadodara, Vadodara, Gujarat, 391410",31/03/2023,Residential/Group Housing,336,3,DHARTI MADRID COUNTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,12,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12875/070224/311228,SHYAMA ICON,"3,966","2,723.51","B H ADVENTURAA OPP PRATHANA VIHAR FLATS , Vadodara, Vadodara, GUJARAT, 391101",31/12/2028,Mixed Development,110,0,SHREE GIRIRAJ DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12846/030224/311229,SWC Skylight,"5,917","3,648.56","Near Delhi Public School, 40 mtr Vadsar Ring Road, Vadodara, Vadodara, GUJARAT, 390012",31/12/2029,Mixed Development,246,4,DEV BUILDCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12780/170124/311229,TRINITY HEIGHTS,"2,756.94","1,512.24","TRINITY HEIGHTS KALALI TALSAT ROAD , Vadodara, Vadodara, GUJARAT, 390012",31/12/2029,Mixed Development,87,1,AKSHAR INFRA,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12742/030124/311229,SHIVAY SPLENDORA,"4,714.76","2,805.46","SHIVAY SPLENDORA B/S SARDARDHAM, Vadodara, Vadodara, GUJARAT, 390019",31/12/2029,Mixed Development,126,6,SHIVAY SPACELINK,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12644/161123,Amardeep Harmony,"5,828","3,320.91","Amardeep Harmony,Opp.Maruti Heights, Vadodara, Vadodara, Gujarat,",31/12/2028,Mixed Development,139,11,HERIT ENTERPRISE,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12623/101123,AASHRAY EMINENT,"5,767","2,607.51","R.S. No. 332 T.P. No. 26, Vadodara, Vadodara, Gujarat,",31/03/2030,Mixed Development,238,1,SHIV REALCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12461/161023,TULSI DARSHAN,"1,191",574.32,"OPP SAI BANA TEMPLE, NR. RAMESHWAR SCHOOL, Vadodara, Vadodara, Gujarat,",31/12/2027,Mixed Development,50,1,MAHALAXMI ENTERPRISE,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/MAA12418/111023,Fortune Prestige,"9,928","6,049.93","C/87,Matrix Homes,Opp. C M Patel farm,Kalali Road,, Vadodara, Vadodara, Gujarat,",30/09/2028,Mixed Development,436,6,Varniraj Infra,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
