Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
12,HIMALAYA ELANZA & HIMALAYA BUSIESS CENTRE,HIMALAYA ELANZA PVT. LTD.,"B-412, HIMALAYA ARCADE, OPP LAKE, VASTRAPUR, AHMEDABAD Ahmedabad 380015",Mixed Development,admin@himalayamall.net,9099099459,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04673/110119,Ahmedabad,11-01-2019
13,Suryadarshan Gold Residency,Radhe Shyam Infrastructures,"T-11, Balaji Centre, Opp. Gurukul Mandir, Drive-in Road Ahmedabad 380054",Mixed Development,bhavsar_atit@yahoo.com,9824262226,PR/GJ/AHMEDABAD/BAVLA/Others/MAA03957/051118,Ahmedabad,05-11-2018
14,NASIM PARK,NARAYAN N DEVELOPERS,"6, SAROJ CHAMBERS, B/H SALES INDIA, ASHRAM ROAD, AHMEDABAD Ahmedabad 380009",Mixed Development,narayan1030@rediffmail.com,9898975577,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01557/070218,Ahmedabad,07-02-2018
15,M M KARIM APARTMENTS,M M ASSOCIATES,"SURVEY NO 101,102,103,123,221 PAIKI SP NO 20,21,22,23,24,25,26,27,28,29/B MOUJE GYASPUR, CITY DISTRICT & SUB DISTRICT : AHMEDABAD Ahmedabad 382405",Mixed Development,mmassociate2012@gmail.com,9824760993,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02836/060618,Ahmedabad,06-06-2018
16,ANAND SQUARE,DESAI CORPORATE REALTY AND DEVELOPERS PRIVATE LIMITED,"401, 4TH FLOOR , SURMOUNT BUILDING, NEAR ISCON TEMPLE, S.G.HIGHWAY. Ahmedabad 380054",Mixed Development,accounts@bdesaigroup.com,9909004320,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01819/010318,Ahmedabad,01-03-2018
17,MARJAN RESIDENCY,MARJAN BUILDCON,"Near Beduji complex Canal Road, Vatva, Ahmedabad Ahmedabad 382445",Mixed Development,marjanresidency@gmail.com,9537436724,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01812/EX1/190119,Ahmedabad,01-03-2018
18,SHANTIPUJYA HOMES,THE DEVYUG DEVELOPERS,"B,1-MAGANKAKA PARK NR.CHANDLODIA OVER BRIDGE,CHANDLODIA Ahmedabad 382481",Mixed Development,santipujyarera@gmail.com,9586703030,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01839/EX2/201121,Ahmedabad,03-03-2018
19,NIRMIT FLORA,SHREE HARI DEVELOPERS,"NIRMIT FLORA, OPP.SUKRUTI BUNGLOWS, AHMEDABAD SANAND ROAD, SANAND, AHMEDABAD. Ahmedabad 382110",Mixed Development,nirmitflora@gmail.com,8469010999,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA03280/300718,Ahmedabad,30-07-2018
20,SHREE PRAYOSHA RESIDENCY,SHREE VALLABH ASSOCIATE,"SHOP NO 1,2, SHREE PRAYOSHA RESIDENCY S P RING ROAD, HATHIJAN CIRCLE, VINZOL Ahmedabad 382445",Mixed Development,shreevallabhasso@gmail.com,9825098059,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04037/EX2/211021,Ahmedabad,15-11-2018
21,NILKANTH RESIDENCY,NAVDURGA CORPORATION,KATHWADA GAM DRASKOI Ahmedabad 382430,Mixed Development,nilkanthresidency@gmail.com,9998168915,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03969/A1M/EX1/150321,Ahmedabad,05-11-2018
22,NILKANTH RESIDENCY,PALLAV D PATEL & LOVE D PATEL IS JOIN PROPERTY HOLDERS,"NILKANTH RSIDENCY ,SARDAR CHOWK SAIJPUR BOGHA Ahmedabad 382346",Mixed Development,nilkanth3239@gmail.com,9825132390,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02685/160518,Ahmedabad,16-05-2018
23,Swaminarayan Park 7,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02291/070418,Ahmedabad,07-04-2018
24,SARANSH AMBIENCE,chanchal Infrastructure Pvt Ltd,chanchal opp malav talav jivraj park road vasna Ahmedabad 380007,Mixed Development,kenon@chanchalgroup.com,9824000081,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01745/EX2/200219,Ahmedabad,23-02-2018
25,NILKANTH KUTIR,DEVLAND DEVLOPERS,NILKANTH KUTIR 200FT VATVA RING ROAD TO GAMDI GAMDI AHMEDABD Ahmedabad 382435,Mixed Development,cnsavaliya68@gmail.com,9824540031,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00985/EX2/040219,Ahmedabad,12-12-2017
26,Sona Akruti,DWARKESH DEVELOPERS,"Sona Akruti, Survey No 279 Opp. Pramukh Park Ahmedabad 382435",Mixed Development,sonaakrutirera@gmail.com,8511588861,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00666/EX1/160219,Ahmedabad,10-11-2017
27,RADHE SWAPNA,RADHE DEVELOPERS,"RADHE SWAPNA FP NO.109,199 SANAND Ahmedabad 380058",Mixed Development,radheswapna@gmail.com,9725022797,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA04532/EX2/040322,Ahmedabad,29-12-2018
28,SWAMINARAYAN PARK 2,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02122/220318,Ahmedabad,22-03-2018
29,ANGAN AVENUE,SAHAJANAND ENTERPRISES,"1ST FLOOR, ANGAN SHOPPING COMPLEX, NR. DIPAK SCHOOL, NIKOL, AHMEDABAD Ahmedabad 382350",Mixed Development,hareshpatel224@gmail.com,9879515877,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01095/221217,Ahmedabad,22-12-2017
30,AAVKAR HEIGHT,HET INFRASTRUCTURE,"AAVKAR HEIGHT, B/H SATYAMEV HOSPITAL NEW CHANDKHEDA Ahmedabad 382424",Mixed Development,rinkesh567@yahoo.com,7016613325,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03278/300718,Ahmedabad,30-07-2018
31,DEVAM RESIDENCY,M/s DEVAM BUILDCON,"survey No. 137, F.P. No. 61, Opp. Shan-3, Vatva Gam Road to S.P. Ring Road Ahmedabad 382440",Mixed Development,cbkotadiya63@gmail.com,9825972472,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00371/071017,Ahmedabad,07-10-2017
32,POLARIS ANAND-Phase-II,POLARIS INFRACON,8 Itihas residency opp sundaram bunglowes nikol naroda road nikol Ahmedabad 382350,Mixed Development,rbpadariya@gmail.com,9998820562,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02921/140618,Ahmedabad,14-06-2018
33,Swaminarayan Park 6 Narol,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02136/220318,Ahmedabad,22-03-2018
34,Swaminarayan Park 2 Narol,DHARMADEV INFRASTRUCTURE LIMITED,"DHARMADEV HOUSE SHYAMAL CROSS ROAD, SATELLITE Ahmedabad 380015",Mixed Development,sp2narolrera@gmail.com,9099907478,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02298/070418,Ahmedabad,07-04-2018
35,PANCHRATNA RESIDENCY,SHREE VISHVNATH PROCON PVT LTD,11 PANCHNIDHI APPT 4 VITHAL COLONY NAVRANGPURA Ahmedabad 380009,Mixed Development,panchratnaresi@gmail.com,9727779105,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA02216/EX1/100220,Ahmedabad,02-04-2018
36,Shah E alam Residency,SARKARDEVLOPERS,"SERVE No:22 Paiki Near shahin Park, Ambaji mataji Temple near Ramol, Ahmedabad 382449",Mixed Development,sarkardevlopers@gmail.com,9974172784,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02905/130618,Ahmedabad,13-06-2018
37,Shree Sava Residency,Naresh Patel Proprietor of Yatharth Corporation,"Plot No.79, Vikram park, Opp. Bajrang Ashram, Thakkarbapanagar, T B Nagar Ahmedabad 382350",Mixed Development,pratik_3411@yahoo.com,9879167804,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04761/280119,Ahmedabad,28-01-2019
38,Amarjash Enclave,AMARJASH DEVELOPER,"71/1/f/2 , Nava madhupura, Nr Krishna Complex, Madhupura Ahmedabad 380004",Mixed Development,sanjay12091973@gmail.com,9824565369,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01424/240118,Ahmedabad,24-01-2018
39,Radiance Residency,Radhe Developers India Limited,1st Floor Chunibhai Chambers Bh City Gold Cinema Ashram Road Ahmedabad 380009,Mixed Development,viral@radheinfra.com,9727764989,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00310/031017,Ahmedabad,03-10-2017
40,Devam,Manashree Buildcon,"Devam, Nr. Global School, Nr. Godrej Garden City, Village Jagatpur, Taluka Dascroi, Ahmedabad - 382424 Ahmedabad 382424",Mixed Development,devadityagroup@gmail.com,9377156383,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA01505/030218,Ahmedabad,03-02-2018
41,MARUTI HEIGHTS,Akshay Niranjankumar Thakkar,"41,GOVARDHAN BUNGLOWS OPP PRAHALAD NAGAR AUDA GARDEN Ahmedabad 380015",Mixed Development,marutidevelopers@ymail.com,9879142668,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00038/EX2/180621,Ahmedabad,31-08-2017
42,INDIA COLONY (BLOCK A) GERATPUR,B NANJI ENTERPRISES LIMITED,"5, MOORTI BUNGLOWS ASHOK NAGAR CO OP SOC, NEAR ISRO, SATELLITE Ahmedabad 380015",Mixed Development,bnanji@hotmail.com,9824443070,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA01761/EX4/151022,Ahmedabad,26-02-2018
43,SHREE HARI VATIKA-1,SHREE BHAKTI ASSOCIATES,"50, DAHYALAL PARK THAKKARBAPANAGAR Ahmedabad 382350",Mixed Development,shreeharivatika222@gmail.com,9898284209,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01261/090118,Ahmedabad,09-01-2018
44,Shivalay Residency,Shyam Developers,"309, Shashwat Arcade, Bhulabhai Cross Roads, Kankaria, Ahmedabad - 38000227 309, Shashwat Arcade, Bhulabhai Cross Roads, Kankaria, Ahmedabad - 380028 Ahmedabad 380028",Mixed Development,shivalayresidencyjamalpur@gmail.com,9099046707,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA04276/EX1/120419,Ahmedabad,07-12-2018
45,ZAHRA,EXCEL PROCON LLP,"1001 SHAPATH 1, OPP. RAJPATH CLUB, SG HIGHWAY Ahmedabad 380054",Mixed Development,rera.zahra@gmail.com,9825059235,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01100/261217,Ahmedabad,26-12-2017
46,SHALIN HEIGHTS 5,SHALIN INFRASTRUCTURE,B401 SHALIN HEIGHTS 3 OPP AYOJAN NAGAR S P RING ROAD VINZOL Ahmedabad 382445,Mixed Development,shalininfrastructure@gmail.com,9426034785,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00115/EX1/200219,Ahmedabad,08-09-2017
47,32 SHOPS + 476 LIG-1 + 400 LIG-2 + 120 MIG-1 AT SANAND,GUJARAT HOUSING BOARD,NARANPURA AHMEDABAD Ahmedabad 380013,Mixed Development,ghb.phase6@gmail.com,9099996558,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA03323/240818,Ahmedabad,24-08-2018
48,Ishwar Residency,MAULIK CONSULTANCY,"1 RATNA COMPLEX, ISANPUR HIGHWAY CROSS ROAD ISANPUR, AHMEDABAD Ahmedabad 382443",Mixed Development,ishwararcaderera@gmail.com,9925003700,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01509/030218,Ahmedabad,03-02-2018
49,DEVKRUPA AVENUE,SAHAJANAND BUILDCON PVT LTD,"C-7 SHREEJI BAPA INFRACON VASNA ROAD, PALDI Ahmedabad 380007",Mixed Development,harisht75@gmail.com,9825048091,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02377/160418,Ahmedabad,16-04-2018
50,Divyajivan City,DIVYAJIVAN INFRASTRUCTURE PRIVATE LIMITED,"Divyajivan City Haridharshan Cross road, Naroda Ahmedabad 382330",Mixed Development,hitesh@divyajivaninfra.com,9879023570,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02241/EX2/030120,Ahmedabad,03-04-2018
51,YASH PINNACLE,YASH COMMERCIAL LLP,"A-5, JAY MANGAL HOUSE, NEAR GANDHIGRAM RAILWAY STATION, ASHRAM ROAD, Ahmedabad 380009",Mixed Development,finance@yashglobal.co.in,9099908201,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00031/310817,Ahmedabad,31-08-2017
52,GIRIRAJ ENCLAVE,GIRIRAJ LAND DEVELOPERS,"GIRIRAJ ENCLAVE, NR. K. P. SHANGHVI RESIDENCY, NIKOL GAM, NIKOL Ahmedabad 382350",Mixed Development,vinodpatel7175@gmail.com,9099027169,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01611/120218,Ahmedabad,12-02-2018
53,ASHIRVAD AVENUE,ASHIRVAD DEVELOPERS,"14, RAMYAKUNJ SOCIETY NARODA Ahmedabad 382330",Mixed Development,deepak@ambicaind.com,9824031111,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA02413/EX1/150219,Ahmedabad,19-04-2018
54,SANGANI VRAJBHOOMI,VRAJ DEVELOPERS,NR AYODHYA RESIDENCY NEW VATVA Ahmedabad 382440,Mixed Development,sanganivraj1@gmail.com,9825010122,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01218/EX1/020119,Ahmedabad,05-01-2018
55,HEAVEN HEIGHTS,PANTH DEVELOPERS,"OPP GAYATRI GREEN, NARODA HANSPURA ROAD NARODA Ahmedabad 382345",Mixed Development,satishkorat1983@gmail.com,9725197826,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00170/EX2/040219,Ahmedabad,18-09-2017
56,Vrundavan Skyline,AB Buildcon,"Vrundavan Skyline, B/h. Reliannce Petrol Pump, Opp. Akshardham Heights, 200 F.T. S.P. Ring Road Vastral - 382418 Ahmedabad 382418",Mixed Development,dineshthummar@ymail.com,9909907474,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01695/190218,Ahmedabad,19-02-2018
57,68 SHOPS + 1228 LIG-2 + 432 MIG-1 AT GOTA,GUJARAT HOUSING BOARD,NARANPURA AHMEDABAD Ahmedabad 380013,Mixed Development,ghb.phase6@gmail.com,9099996558,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03208/200718,Ahmedabad,20-07-2018
58,SANIDHYA FLORA,MILLENNIUM INFRASTRUCTURE,"SANIDHYA FLORA, AT KHODIAR TEMPLE, GST CROSSING ROAD NEW RANIP, AHMEDABAD Ahmedabad 382480",Mixed Development,millennium01062012@gmail.com,9909087505,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02678/150518,Ahmedabad,15-05-2018
59,AMAN PLAZA,GULAMHUSEN M QURESHI PROPRIETOR OF AMAN BUILDERS,"A-13, KIRTIKUNJ SOCIETY NR. SHAHALAM TOLNAKA, DANILIMDA Ahmedabad 380028",Mixed Development,amanbuilders.vatva@gmail.com,9898000431,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA03210/210718,Ahmedabad,21-07-2018
60,TEJENDRA CRYSTAL,TEJENDRA INFRACON PRIVATE LIMITED,"SURVEY NO - 487, DADDU PARTY PLOT, OPP. AMRAIWADI POST OFFICE AMRAIWADI, AHMEDABAD Ahmedabad 380026",Mixed Development,tejendra.info@gmail.com,9924411692,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01257/090118,Ahmedabad,09-01-2018
61,UMANG NAROL 7,RJD BUILDCON LIMITED,"202, DARSHAKCOMPLEX, OPP , SHREY HOSPITAL, NAVRANGPURA, AHMEDABAD Ahmedabad 380009",Mixed Development,rjdrangoli@gmail.com,9099932198,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02240/EX1/140219,Ahmedabad,03-04-2018
62,TANKAR RESIDENCY-III,SMIT DEVELOPERS,TANKAR RESIDENCY-III VATVA Ahmedabad 382445,Mixed Development,smit.developers9@gmail.com,9898794953,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01654/160218,Ahmedabad,16-02-2018
63,Blue iris 2,IRIS DEVELOPERS,"48,HinduColony, Navrangpura Ahmedabad 380009",Mixed Development,info@irisdevelopers.com,9879542332,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA04501/281218,Ahmedabad,28-12-2018
64,Nirman Rejoice,Sai Construction,"501, Vrundavan Enclave, Nr. AEC Cross Roads, Naranpura, Ahmedabad 380013",Mixed Development,cjs1964@gmail.com,9825324580,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00451/141017,Ahmedabad,14-10-2017
65,AAKRUTI AANGAN,AROMA REALTIES LIMITED,"UG 1-2-3, MILESTONE BUILDING, NR.DRIVE IN CINEMA , THALTEJ, MEMNAGAR, AHMEDABAD Ahmedabad 380052",Mixed Development,aakrutistatus2@gmail.com,9809808811,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02069/190318,Ahmedabad,19-03-2018
66,SHUBH AANGAN,SHUBH DEVEPOPERS,Survey No : 17/1 FP no : 202 TPS 66 New Ranip Chenpurgam Ahmedabad Ahmedabad 382470,Mixed Development,kandarp486@gmail.com,9825319035,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02098/EX1/070319,Ahmedabad,21-03-2018
67,DEVKRUPA FLORA,SAHAJANAND BUILDCON PVT. LTD.,"C-7 SHREEJI BAPA APPT VASANA BARAGE ROAD, OPP SWAMINARAYAN TEMPLE Ahmedabad 380007",Mixed Development,sbuildconpvtltd@gmail.com,9825048091,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02165/260318,Ahmedabad,26-03-2018
68,Shankheshwar Township,SHANKHESHWAR TOWNSHIP,NR KHARICUT CANAL DEHGAM CIRCLE MUTHIA GAM NARODA Ahmedabad 382330,Mixed Development,shankheshwartownship@gmail.com,7383961691,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02325/EX2/070721,Ahmedabad,10-04-2018
69,Shankheshwar Township,SHANKHESHWAR TOWNSHIP,NR KHARICUT CANAL DEHGAM CIRCLE MUTHIA GAM NARODA Ahmedabad 382330,Mixed Development,shankheshwartownship@gmail.com,7383961691,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02326/EX1/290722,Ahmedabad,10-04-2018
70,DEVASHRAY CITY,KALPESHBHAI N DESAI Prop of N.K. Infrastructure,"50, RABARI VASAHAT, JASODANAGAR Ahmedabad 382445",Mixed Development,nkinf0106@gmail.com,9925004457,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01587/EX1/150219,Ahmedabad,09-02-2018
71,AHMED RESIDENCY,MYCO INFRA PRIVATE LIMITED,"B/107, NIRMAN COMPLEX OPP. HAVMORE RESTORANT, NAVRANGPURA Ahmedabad 380009",Mixed Development,akira602022@gmail.com,9824040066,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01433/290118,Ahmedabad,29-01-2018
72,AKIBAH HEIGHTS,MYCO INFRA PRIVATE LIMITED,"B/107, NIRMAN COMPLEX OPP. HAVMORE RESTORANT, NAVRANGPURA Ahmedabad 380009",Mixed Development,akira602022@gmail.com,9824040066,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00635/081117,Ahmedabad,08-11-2017
73,Sunflower Enclave,SULF INFRASTRUCTURE PRIVATE LIMITED,"5, PARK PLAZA, OPP. V.S. MEDICAL COLLEGE, NR POST OFFICE, KAGDI WAD, KOCHRAB, ELLISBRIDGE Ahmedabad 380006",Mixed Development,sunflowerenclave2020@gmail.com,9925046871,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03483/EX1/A1M/060521,Ahmedabad,25-09-2018
74,Shivesh 621,Dharmaja Associates,"Shivesh 621, Lambha Lake, Opp Gayatri Complex, Nr Lambha Temple, Lambha Ahmedabad 382440",Mixed Development,utpal@shivesh.co.in,7600004800,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00235/220917,Ahmedabad,22-09-2017
75,PAARIJAT ECLAT AND PRIVILON,SKZ DEVELOPERS LLP,"B-81,PARISEEMA COMPLEX,C G ROAD ELLISBRIDGE Ahmedabad 380006",Mixed Development,yash.s@bsafal.com,9879604599,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01158/301217,Ahmedabad,30-12-2017
76,"GOKUL SHREE, GOKUL HARI & GOKUL ANAND",AMIL DEVELOPERS,"GOUKL MOTORS, KATHLAL-INDORE HIGHWAY ROAD NEAR KANBHA POLICE STATION , KANBHA Ahmedabad 382430",Mixed Development,gokulanandrera@gmail.com,9824020966,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA02975/220618,Ahmedabad,22-06-2018
77,SARTHAK HOMES,SARTHAK DEVELOPERS,"ODHAV TO KATHLAL ROAD, 80'TP ROAD B/H. MARUTI RESIDENCY , SINGARVA GAM Ahmedabad 382430",Mixed Development,sarthakhomesrera@gmail.com,9825073104,PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA03335/EX1/100220,Ahmedabad,30-08-2018
78,Ambuja Avenue,SHANTINATH DEVELOPERS,AMBUJA AVENUE NEAR AYAPPA TEMPLE AND TANKAR RESIDENCY MIDCO ROAD VATVA Ahmedabad 382440,Mixed Development,shantinathdev@gmail.com,9099081977,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01911/EX1/240220,Ahmedabad,07-03-2018
79,NILKANTH RECIDENCY,SHREEJI DEVELOPERS,"1&2 SUMANGALAM COMPLEX, NEAR SBI BANK OPP JAI JALARAM SOC, NAVA WADAJ Ahmedabad 380013",Mixed Development,shreejideveloper2906@gmail.com,9898065307,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01569/EX1/310119,Ahmedabad,08-02-2018
80,Aries Heights,Saavi Buildcon,"Aries Heights, Near Suryam Flora MG Road, Nikol Ahmedabad 382350",Mixed Development,ariesheights@gmail.com,9712055544,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA00521/EX1/241218,Ahmedabad,24-10-2017
81,Vishwas Platinum-2,VAIBHAVI DEVLOPERS,"401, APM SHOPPING MALL, OPP. SUN-N-STEP CLUB, SOLA ROAD, Ahmedabad 380061",Mixed Development,hasmukh08@hotmail.com,9824023019,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA02161/EX3/250423,Ahmedabad,26-03-2018
82,PLATINUM ELEGANCE,PLATINUM INFRASTRUCTURE,"PLATINUM ELEGANCE, NR. SHRIFAL ENCLAVE, S.P.RING ROAD, HATHIJAN. Ahmedabad 382445",Mixed Development,platinum.elegance@yahoo.in,9409218049,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA01186/030118,Ahmedabad,03-01-2018
