State,Pattern Ex.-1,Pattern Ex.-2,Pattern Ex.-3,Pattern Ex.-4,Pattern Ex.-5,Pattern Ex.-6,Pattern Ex.-7,Pattern Ex.-8,Pattern Ex.-9,Pattern Ex.-10,Pattern Ex.-11,Pattern Ex.-12,Pattern Ex.-13,Pattern Ex.-14,Pattern Ex.-15,Pattern Ex.-16,Pattern Ex.-17,Pattern Ex.-18,Pattern Ex.-19,Pattern Ex.-20,Pattern Ex.-21,Pattern Ex.-22,Pattern Ex.-23,Pattern Ex.-24,Pattern Ex.-25,Pattern Ex.-26,Pattern Ex.-27,Pattern Ex.-28,Pattern Ex.-29,Pattern Ex.-30,Pattern Ex.-31,Pattern Ex.-32,Pattern Ex.-33,Pattern Ex.-34,Pattern Ex.-35,Pattern Ex.-36,Pattern Ex.-37
Madhya Pradesh,P-BPL-17-1133,P-BPL-17-1133,P-BPL-17-1133,P-GWL-19-2421,P-IND-17-256,P-IND-20-2546,P-IND-24-5270,P-JBP-23-4248,P-OTH-23-4403,P-SWR-22-3599,P-JBP-23-4426,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra, P51700049421,PR1338082400025,PR1261012400049,PR1170002400011,PM1330002400003,PM1181012400048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,MP/19/2018/00014,RP/19/2021/00483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pondicherry,PRPY0475,259/36/PRERA/REP(A)/PDY/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,PBRERA-LDH45-PR0020,PBRERA-LDH45-PR0020,PBRERA-LDH45-PR0020,PBRERA-LDH45-PR0020,PBRERA-JAL33-PR0797,PBRERA-KPT40-PR0767,PBRERA-SAS79-PR0462,PBRERA-SAS80-PR0269,PBRERA-SAS81-PR0154,PBRERA-LDH45-PM0001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,RAJ/RERAExempted Project/2024/040 (31/12/2024),RAJ/P/2024/3420 (07/12/2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamil Nadu,TN/01/Building/0010/2021,TN/01/Layout/2693/2023,TN/01/Layout/0322/2021 dated 09/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telangana,P01100000747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripura,PRTR09210193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,UPRERAPRJ750395,UPRERAPRJ764470/08/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttarakhand,UKREP11180000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,WBRERA/P/SOU/2023/000713,WBRERA/P/NOR/2023/000753,WBRERA/P/KOL/2023/000124,WBRERA/P/DAR/2023/000522,HIRA/P/NOR/2020/000940,WBRERA/P/HOO/2024/001032,WBRERA/P/HOW/2024/001163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
