Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/826/558/2024/53 DATED 24.05.2024,CENTRAL PARK BIGNONIA TOWERS,ST. PATRICKS REALTY PVT. LTD.,"VILLAGE DHUNELA, SECTOR-32 SO
HNA- GURUGRAM, HARYANA",GURUGRAM,425.05,85.01,141.68,850.09,113.35,85.01,340.04,141.68,0,0,0,0,0,70.84,7.35625 (Acre),Not available,Not available,"ITALIAN MARBLE, RECON WOODEN, VINYL FLOOR(GYM), RUBBER FLOORING (GYM), EPOXY FLOOR, DECK IPE ( FOR OUTDOOR AREAS), TILE ( UTILITY AND SERVICE AREAS)","TILE CLADDING, SS EQPT., GAS BANK, INDUSTRIAL EXHAUST",FLUSHED DOORS/ FIRE RATED DOORS,SWITCHES/SOCKETS AND SWITCHGEARS,"ITALIAN STONE,VENEER, METAL PROFILES",SWITCHES/SOCKETS AND SWITCHGEARS,NA
GGM/440/172/2021/08 DATED 01.03.2021,MARBELLA PHASE 2,EMAAR MGF LAND LTD,SECTOR 65& 66,GURUGRAM,251,79,62,210,79,25,7,55,0,0,50,0,0,0,12.609 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/551/283/2022/26 DATED 15.03.2022,LUMINARE PHASE 3 (TOWER B),MAHINDRA HOMES PRIVATE LIMITED,"SECTOR 59 ,BEHRAMPUR ,GURUGRA
M ,HARYANA 122001",GURUGRAM,34.69,41.27,10.36,638.73,20.14,5.44,143.43,1.37,0,0,5.84,0,0,0,1.415 (Acre),Not available,Not available,LIVING ROOM / DINING FAMILY LOUNGE - ITALIAN/ IMPORTED MARBLE BED ROOM-LAMINATED WOODEN FLOOR KITCHEN-ANTI-SKID VITRIFIED TILES TOILETS-ANTI-SKID VITRIFIED TILES BATHROOMS -ANTI-SKID VITRIFIED TILES BALCONIES / TERRACES-ANTI-SKID VITRIFIED TILES SERVANT ROOM & TOILET-ANTI-SKID VITRIFIED TILES APARTMENT LIFT LOBBIES (PRIVATE).-ITALIAN/ IMPORTED MARBLE,"CERAMIC TILES ABOVE KITCHEN PLATFORM UPTO APPROXIMATELY 2 FEET AND LOW VOC ACRYLIC EMULSION PAINT IN THE BALANCE AREA,CEILING - LOW VOC ACRYLIC EMULSION PAINT AND PART GYPSUM BOARD FALSE CEILING AS PER DESIGN. MODULAR KITCHEN CABINET WITH GRANITE COUNTER-TOP, HOB (HAFFELE), CHIMNEY WILL BE PROVIDED.","DOORS - WOODEN FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDES) & ARCHITRAVES,UPVC FRAMED DOUBLE GLAZING UNIT,WOODEN FRAME WITH FLUSH DOOR WITH BOTH SIDE LAMINATED FINISH & ARCHITRAVE.",HEAVY DUTY/ MEDIUM DUTY,HIGH SPEED ELEVATORS- BY THYSSENKRUPP OR EQUIVALENT,MODULAR,LOW VOC ACRYLIC EMULSION
GGM/597/329/2022/72 DATED 01.08.2022,ORCHID IVY,M/S ORCHID INFRASTRUCTURE DEVELOPERS PVT. LTD.,"M BLOCK, MAYFIELD GARDEN, SEC
TOR-51, GURGAON, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4152.75 (Sqr/mtrs),Not available,Not available,MARBLE/ VITRIFIED TILES/MATT FINISH TILES/ ANTI SKID CERAMIC TILES,"MODULAR KITCHEN WITH SS SINK AND C.P FITTINGS , CERAMIC TILES IN DDO 2 FT. ABOVE GRANITE COUNTER",WINDOWS FRAMES IN POWDER COATED ALUMINIUM OR EQUIVALENT / UPVC AND DOOR FRAMES IN MARANDI / HARDWOOD,SUPERIOR ISI APPROVED / EQUIVALENT FITTINGS,PASSENGER ELEVATOR- 08 PERSONS,N/A,ACRYLIC/PLASTIC EMULSION PAINT/ OBD
GGM/470/202/2021/38 DATED 27.07.2021,SIGNATURE GLOBAL CITY 92,SIGNATURE INFRBUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,257.71,188.81,58.26,0,106.59,15.81,0,0,0,0,0,0,0,0,10.30 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/620/352/2022/95 DATED 19.10.2022,"SOBHA CITY, PHASE-6",SOBHA LIMITED,"REVENUE ESTATE OF BABUPUR VIL
LAGE, VILLAGE BABUPUR, SECTOR-108, GURUGRAM, HARYANA",GURUGRAM,204.03,235.46,96.68,0,131.08,44.78,0,6.82,0,0,0,0,0,0,16.3995 (Acre),Not available,Not available,NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION,3 LIFTS IN EACH TOWER,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION,PLASTIC EMULSION PAINT FOR WALLS & CEILING
GGM/636/368/2022/111 DATED 28.11.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,16.85,98.80,0,0,3.11,0,0,0,0,0,116.52,1.9256 (Acre),Not available,Not available,"VIRTRIFIED TILES/STONE (KAJARIA,SOMANY, NITCO OR EQUIVALENT)","VIRTRIFIED TILES(KAJARIA,SOMANY, NITCO OR EQUIVALENT), CERAMIC TILES/VITRIFIED TILES UPTO 2 FEET FROM COUNTER, OBD",RED MARANDI,"HAVELLS OR ANCHOR ROMA OR EQUIVALENT, MCB (SCHNEIDER, HAVELLS OR SIEMENS OREQUIVALENT)",JOHNSON OR KONE OR OTTIS OR THYSSEN KRUPP EQUIVALENT,"HAVELLS OR ANCHOR ROMA OR EQUIVALENT, MCB (SCHNEIDER, HAVELLS OR SIEMENS OREQUIVALENT)",N/A
GGM/413/145/2020/29 DATED 08.10.2020,SIGNATURE GLOBAL PARK IV,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA,SECTOR-36",GURUGRAM,288.82,239.25,163.27,0,168.25,57.55,0,8.21,0,0,0,0,0,365.33,15 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/857/589/2024/84 DATED 06.08.2024,PROSPERITY HOMES,ADORE BUILDCON LLP,"VILLAGE SOHNA, SECTOR 02 & 35",GURUGRAM,150,110,98,200,102,62,50,78,6.99,136.70,50,0,0,600,6.76875 (Acre),Not available,Not available,VITRIFIED TILES/CERAMIC TILES,"COUNTER TOP - MARBLE TOP/ KOTA STONE, TILE UP TO 2 FEET HEIGHT ABOVE THE COUNTER",MS Z SECTION / PRESS STEEL/ POWER COATED ALUMINUM,ISI MARKED,2 LIFT IN EACH TOWER,ISI MARKED,COLOUR WASH/ DRY DISTEMPER/ OIL BOUND DISTEMPER
GGM/639/371/2022/114 DATED 28.11.2022,LA VIDA PHASE 2,SECTOR 113 GATEVIDA DEVELOPERS PRIVATE LTD,"SECTOR 112/113 , VILLAGE BAJG
HERA, GURUGRAM",GURUGRAM,72.4,116.42,57.11,42.02,59.64,23.36,22.02,62.02,0,0,7.02,0,0,87.04,6.18 (Acre),Not available,Not available,"TOWER A1 AND A2: STONE FLOORING IN LIVING/DINING, ENGINEERED WOODEN IN MASTER BEDROOM, VITRIFIED TILE IN OTHER BEDROOMS & KITCHEN. VITRIFIED TILES IN TOILETS AND BALCONIES B6 TOWER : VITRIFIED TILE FLOORING IN ALL AREAS , ANTISKID CERAMIC TILES IN TOILETS AND BALCONIES, CERAMIC TILES IN TOILET AREAS (IF APPLICABLE)","TOWER A1 AND A2: VITRIFIED TILE FLOORING AND CERAMIC TILE CLADDING 600MM ABOVE COUNTER, COUNTER WITH GRANITE COUNTER, WITH STAINLESS STEEL SINK WITH SINGLE BOWL DRAIN BOARD B6 TOWER : VITRIFIED TILE FLOORING AND CERAMIC TILE CLADDING 600MM ABOVE COUNTER, COUNTER WITH GRANITE COUNTER, WITH STAINLESS STEEL SINK WITH SINGLE BOWL DRAIN BOARD","TOWER A1 AND A2: INTERNAL DOORS- LAMINATED FLUSH DOORS, MAIN DOOR- VENEERED FLUSH DOOR, WINDOWS – UPVC B6 TOWER : INTERNAL DOORS- LAMINATED FLUSH DOORS, MAIN DOOR- VENEERED FLUSH DOOR, WINDOWS – UPVC",TOWER A1 AND A2: MODULAR SWITCHES B6 TOWER : MODULAR SWITCHES,TOWER A1 AND A2: 2 PASSENGER AND 1 SERVICE LIFT B6 TOWER : 1 PASSENGER AND 1 SERVICE LIFT,TOWER A1 AND A2: MODULAR SWITCHES B6 TOWER : MODULAR SWITCHES,NA
GGM/833/565/2024/60 DATED 03.06.2024 (SUPERSEDES GGM/662/394/2023/06 DATED 12.01.2023),M3M ANTALYA HILLS PHASE II,LOON LAND DEVELOPMENT LIMITED,"SECTOR-79, GURUGRAM, HARYANA",GURUGRAM,897.91,276.36,122.30,138.64,149.02,121.93,243.10,194.10,0,0,0,0,0,1386.40,10.074 (Acre),31-12-2025,1.99,VITRIFIED TILES/LAMINATE WOODEN FOR BEDROOM ; ANTISKID CERAMIC TILES FOR TOILET,"VITRIFIED TILES, PLASTER AND OBD",UPVC / ALUMINIUM POWDER COATED FOR EXTERNAL,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,PLASTER AND OBD
GGM/756/488/2023/100 DATED 06.11.2023,SMARTWORLD THE EDITION,ETSY REALCON PRIVATE LIMITED,"SECTOR-66, GURUGRAM, HARYANA",GURUGRAM,1024.76,302.93,246.13,1066.75,113.60,113.60,82.51,0,0,0,64.81,0,0,805.41,10.70 (Acre),Not available,Not available,MARBLE / LAMINATED WOODEN FLOORING / VITRIFIED TILES / CERAMIC TILE,"STONE OVER KITCHEN COUNTER, SS SINK","""MAIN DOOR - MODULAR DOORS WITH HARDWARES. BED ROOMS / TOILETS / KITCHEN DOORS: - MODULAR DOORS WITH HARDWARES.""",COMMON AREA LIGHT FIXTURES,HIGH SPEED ELEVATORS (PASSENGER & SERVICE),COMMON AREA LIGHT FIXTURES,AS STATED ABOVE
GGM/401/133/2020/17 DATED 20.07.2020,SIGNATURE GLOBAL PARK IV,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR-36",GURUGRAM,311.70,295.00,111.01,0,509.49,57.55,0,0,0,0,0,0,0,435.38,15.00 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/846/578/2024/73 DATED 01.07.2024,GODREJ VRIKSHYA,GODREJ VESTAMARK LLP,SECTOR 103,GURUGRAM,1400.54,836.45,262.15,3753.42,141.16,157.71,2019.26,0,15784.26,0,0,301.10,0,3882.03,14.86225 (Acre),Not available,Not available,VITRIFIED TILES / CERAMIC TILES,"FLOOR: VITRIFIED TILES WALL: CERAMIC TILES 2'-0"" ABOVE COUNTER & OIL BOUND DISTEMPER CEILING: OIL BOUND DISTEMPER",LAMINATE FINISH FLUSH DOORS/MOULDED SHUTTER WITH WOODEN FRAME)(PREHUNG- LVL WITH LAMINATE),AS PER BUILDING NORMS,3 IN EACH TOWER- 2 PASSENGER AND 1 SERVICE,AS PER BUILDING NORMS,"PROVIDING AND APPLYING 10 TO 12MM THICK PLASTER TO MASONRY AND RCC WALLS, COLUMNS ETC. IN CEMENT MORTAR 1:5"
GGM/862/594/2024/89 DATED 28.08.2024,SANCTUARY 105,1000 TREES HOUSING PRIVATE LIMITED,"SECTOR 105, NEAR DAULATABAD F
LYOVER, DWARKA EXPRESSWAY",GURUGRAM,107.49,1625.99,54.94,1739.37,302.43,20.00,1093.65,206.55,0,0,62.37,0,0,5251.44,17548.87 (Sqr/mtrs),Not available,Not available,"VITRIFIED TILES FLOORING IN LIVING, DINING & LOBBY, LAMINATED WOODEN/VITRIFIED TILES FLOORING IN BEDROOMS. TILES IN KITCHEN, CERAMIC TILE IN UTILITY/SERVANT ROOM AND TOILETS. BALCONIES WILL BE IN ANTI-SKID CERAMIC FLOORING","ALL KITCHEN COUNTERS IN PRE-POLISHED GRANITE/ MARBLE STONE, ELECTRICAL POINTS FOR CHIMENY , HOB, MICROWAVE & FRIDGE TO BE PROVIDED","MAIN ENTRANCE DOOR FRAME –POLISHED/ENAMEL PAINTED ENGINEERED WOOD DOOR FRAME. ALL INTERNAL DOORS FRAME-LAMINATED/ENAMEL PAINTED ENGINEERED WOOD DOOR FRAME . EXTERNAL WINDOW FRAME OF UPVC SECTIONS,SIZE & SECTION AS PER THE DESIGN OF ARCHITECT",PROVISION FOR ADEQUATE LIGHT & POWER POINTS. TELEPHONE & T.V. OUTLETS IN DRAWING AND MASTER BEDROOM. MOULDED MODULAR PLASTIC SWITCHES &PROTECTIVE; MCB'S,LIFTS TO BE PROVIDED FOR ACCESS TO ALL HABITABLE FLOORS FROM COMMON LOBBY,"PROVISION FOR ADEQUATE LIGHT & POWER POINTS.TELEPHONE & T.V. OUTLETS IN DRAWING, DINING AND ALL BEDROOM; MOULDED MODULAR PLASTIC SWITCHES & PROTECTIVE; MCB'S",OIL BOUND DISTEMPER OF APPROPRIATE COLOUR ON INTERIOR WALLS & CEILINGS
GGM/480/212/2021/48 DATED 07.09.2021,SATYA MERANO GREENS,SATYA TOWNSHIPS PRIVATE LIMITED,"SECTOR 99 A, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
GGM/286/2018/18 DATED 12.10.2018,ROSELIA-2,FOREVER BUILDTECH PVT LTD,"VILLAGE WAZIRPUR, SECTOR-95A,
TEHSIL-HARSARU, DISTRICT-GURUGRAM, HARYANA",GURUGRAM,87.61,90.63,22.44,0,54.26,8.77,0,2.18,0,0,0,0,0,0,2.5313 (Acre),30-10-2021,33.08,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), UPVC(WINDOW FRAME)",ISI MARKED,NA,ISI MARKED,NA
GGM/692/424/2023/36 DATED 02.02.2023 (SUPERSEDED BY GGM/745/477/2023/89 DATED 11.09.2023),THE NATION,JMS INFRA REALITY PVT LTD,VPO WAZIRPUR SECTOR 95,GURUGRAM,441.67,350.61,263.85,0,464.73,72.98,0,60.5,0,0,0,0,0,0,19.0125 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
GGM/271/2018/03 DATED 08.05.2018,WATERFALL RESIDENCE,KRISUMI CORPORATION PRIVATE LIMITED,"VILLAGE SIHI & HARSARU,SECTOR
-36A,GURUGRAM-MANESAR",GURUGRAM,115,214,130,110,48,2.75,350,125,1079,22.82,10,0,0,0,27.48125 (Acre),30-06-2024,0.3,"ENGINEERED WOODEN FLOORING, PREMIUM QUALITY LAMINATED WOODEN FLOORING, VITRIFIED TILES","VITRIFIED TILES, TILES AND ACRYLIC EMULSION PAINT, ACRYLIC EMULSION PAINT ON FALSE CEILING, GRANITE STONE, MODULAR KITCHEN WITH HOB AND CHIMNEY, CP FITTINGS SINK WITH DRAIN BOARD.",NA,NA,"4 HIGH SPED PASSENGER ELEVATORS IN EACH TOWER. AS A SPECIAL SECURITY FEATURE, EACH TOWER HAS 2 ELEVATORS FROM THE BASEMENT.",MODULAR SWITCHES LED LIGHTING FIXTURE IN BALCONY TOILET KITCHEN AND CORRIDOR.,NA
GGM/391/123/2020/07 DATED 27.01.2020,BIRLA NAVYA (PHASE-II DRISHA 1A),AVARNA PROJECTS LLP,"POCKET G, BIRLA NAVYA, SECTOR
-63A, GURUGRAM, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4689.78 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/562/294/2022/37 DATED 16.05.2022,CENTRAL PARK FLOWER VALLEY - PHASE III,ST. PATRICKS REALTY PVT LTD,"SECTOR 29,30, 32 & 33, SOHNA,
DIST. GURUGRAM",GURUGRAM,1172.22,606.82,343.34,7.96,482.54,132.42,4.32,23.33,0,0,0,0,0,0,47.759 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/292/2018/24 DATED 13.11.2018,HERO HOMES,VIKAS PARK PVT LTD,"SECTOR-104, DHANWAPUR, GURUGR
AM",GURUGRAM,130.22,105.59,56.57,0,144.01,13.15,42.42,8.98,800,180,21.60,75,0,6973,9.053 (Acre),31-08-2026,0,VITRIFIED TILES,CERAMIC TILES,HARDWOOD FRAMES FOR DOORS. UPVC WINDOWS.,SWITCH SOCKET PLUS DBS,PASSENGER PLUS STRETCHER LIFT ON EACH BUILDING,ALL WORKS COMPLETE UPTO SWITCH/SOCKET IN THE ENTIRE COMPLEX,CEMENT PLASTER WITH OBD/ACRYLIC EMULSION
GGM/325/57/2019/19 DATED 01.04.2019,ELEVATE PHASE I,HERITAGE MAX REALTECH PVT. LTD.,"SECTOR-59, GURUGRAM",GURUGRAM,181,192,52,596,106,14,36,14,876,0,23,0,0,0,5.95 (Acre),Not available,Not available,TILES,FLOOR TILES PAINT ON CEILING,DOUBLE/SINGLE GLASS,LED FIXTURES,HIGH RISE : 4 NO.S – 13 PASSENGER LIFT & 1 NO.S – 15 PASSENGER SERVICE/FIREMAN LIFT MID RISE : 2 NO.S – 10 PASSENGER LIFT & 1 NO.S – 15 PASSENGER SERVICE/FIREMAN LIFT EWS : 1 NO.S – 15 PASSENGER SERVICE/FIREMAN LIFT COMMUNITY BUILDING : 1 NO.S - 13 PASSENGER LIFT & 1 NO.S – 13 PASSENGER SERVICE LIFT COMMERCIAL BLOCK: 1 NO.S - 10 PASSENGER LIFT HEALTH CLUB : 1 NO.S - 10 PASSENGER LIFT,LED,PAINT
GGM/390/122/2020/06 DATED 27.01.2020,BIRLA NAVYA PHASE-I (AMODA I AND II),AVARNA PROJECTS LLP,"POCKETS D & H, BIRLA NAVYA, S
ECTOR-63A, GURUGRAM, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15346.77 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/588/320/2022/63 DATED 11.07.2022,MVN ATHENS,MVN INFRASTRUCTURE PVT LTD,"SECTOR- 5, DHAULA ROAD , SOHN
A",GURUGRAM,65.58,95.42,20.81,92.02,22.64,4.02,6.07,3.44,0.00,0.00,10,0.00,0.00,0.00,8.25 (Acre),Not available,Not available,"ALL ROOMS VITRIFIED FLOORING, TOILETS CERAMIC FLOORING.",OPEN KITCHEN WITH MARBLE PLATFORM.,"RED MERANDI DOOR FRAMES AND Z SECTION WINDOW FRAMES, BALCONY DOOR FRAME IS PRESSED STEEL.",AS PER APPROVED DRAWING,AS PER APPROVED DRAWINGS,AS PER APPROVED DRAWINGS,PUTTY/ POP/ OIL BOUND DISTEMPER
