Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
AAROHI ENCLAVE,BRERAP00312-1/266/R-222/2018,AAROHI HOMES PRIVATE LIMITED,"APARNA COLONY, JALALPUR, KOTHWA VILLAGE, PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -340,341 & 342",05 Nov 2021
AARTI KUNJ,BRERAP92310-1/221/R-1515/2023,NANDISH DEVELOPERS AND CONSTRUCTION PRIVATE LIMITED,"DHANAWANA, NEAR TRIRAJ COLD STORAGE, BODH GAYA, GAYA , Block- Bodh Gaya Mauja - धनावॉं District - GayaPlot No -35,36",12 Jan 2023
AARYA CITY PHASE 2,BRERAP00971-2/953/R-732/2019,Punit Kumar Gupta,,19 Aug 2019
AARYAA ENCLAVE,BRERAP0001341-1/1131/R-972/2020,AARYAA PROPERTIES BUILDTECH PRIVATE LIMITED,,08 May 2020
ABC Tower,BRERAP00138-3/877/R-745/2019,Ambition Homes Pvt Ltd,"Khata No. 478, Tauzi No. 880 &
5065, Mauza Dhakanpura, Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -134",27 Aug 2019
ABDUL SATTAR MALL (ABS MALL),BRERAP12499-001/170/R-1626/2023,ANUBHAV CONSTRUCTIONS,,13 Dec 2023
ABHAYNEEL CARBON BHAWAN,BRERAP00843-1/211/R-1545/2023,JAY SHANKAR PRASAD SINGH,"PLOT NO-4 AND 5 KHATA NO-524 AND 508, MAUZA- DHAKANPURA , SHIVPURI ROAD NO-1 , BORING ROAD PATNA, Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -4 AND 5",24 Mar 2023
ABHINAV ENCLAVE,BRERAP00143-004/87/R-1609/2023,ABHINAV AWAS PRIVATE LIMITED,,10 Oct 2023
ABHINAV HEIGHTS,BRERAP00143-010/78/R-1716/2024,ABHINAV AWAS PRIVATE LIMITED,,19 Jun 2024
ABHISHYAM TOWER,BRERAP00364-3/80/R-1405/2022,JAGAT HOMES AND RESORTS PVT LTD,"MAUZA-DIGHA PLOT No-816 P KHATA NO-59,64 PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -816P",03 Jun 2022
ACHE RAJ ENCLAVE,BRERAP000658-1/1157/R-967/2020,LAVIN VASTU DEVELOPERS PVT LTD,"GOLA ROAD,NEAR CHANDRASEKHAR NAGAR,DANAPUR-801503, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -976",06 May 2020
Adi Krishna Residency,BRERAP00291-4/91/R-1403/2022,StructoArch Consultants Pvt. Ltd.,"Mauza Dhanaut Khata no 12 Thana 20, Block- Danapur Mauja - धनौत District - PatnaPlot No -240",01 Jun 2022
ADITYA BHUVANESHWARA ENCLAVE,BRERAP41243-2/1306/R-1066/2020,KUL BHUSHAN SINGH,"Mauza-Sahzadpur,Andar Kila,Present known as Kushwaha Chowk,P.O-Hajipur,P.S-Town Thana Hajipur,Distt-Vaishali,in the state Bihar, Block- Hajipur Mauja - सहजादपुर जितवार District - VaishaliPlot No -896",24 Nov 2020
ADITYA ENCLAVE,BRERAP00536-1/406/R-287/2018,GRIH SHOBHA BUILDERS(INDIA) PRIVATE LIMITED,"X.T.T.I Road, Digha, Patna., Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -815,834 / 1569,1566",11 Dec 2018
ADITYA MEENA ENCLAVE,BRERAP51645-1/99/R-1234/2021,SHRESTHA ADITYA CONSTRUCTIONS,"NEAR GREEN HERITAGE APPARTMENT,SHIDHESHWAR NAGAR,BEHIND FOREST OFFICE,PATLIPUTRA COLONY,PATNA,BIHAR, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1716",08 Nov 2021
ADITYA PARAS MALL,BRERAP00410-3/425/R-506/2019,ADITYA INFRACOMP PRIVATE LIMITED,"Old Motihari Road, Kolhua, Paigambarpur Chowk, Muzzafarpur, Bihar., Block- Minapur Mauja - पैगम्बरपुर District - MuzaffarpurPlot No -3154,3155p,3186p",13 Mar 2019
ADITYA RESIDENCY,BRERAP05647-2/20/R-1542/2023,NIVAS DHAM DEVELOPERS PRIVATE LIMITED,"MITHANPURA LALA, MUZAFFARPUR, Block- Marwan Mauja - मिठनपुरा District - MuzaffarpurPlot No -843,844P,NEW, 780P- OLD",15 Mar 2023
ADITYA SN VATIKA,BRERAP41243-1/1218/R-1032/2020,KUL BHUSHAN SINGH,"Mauza-sahzadpur Andarkila,Hajipur,P.O-Hajipur,P.S-Town Thana Hajipur, Block- Hajipur Mauja - सहजादपुर जितवार District - VaishaliPlot No -1020,1021",31 Aug 2020
ADPS PALACE,BRERAP00356-9/217/R-1513/2023,Vastu vastaya builder pvt ltd,"WARD NO. 09 MOHALLA RAMPUR MAUJA RAMPUR THANA RAMPUR GAYA BIHAR , Block- Sadar Gaya Mauja - रामपुर District - GayaPlot No -KHATA NO. 09 OLD 624 AND 52 NEW  PLOT NO. 5308 OLD 5176,5178, AND 5177 NEW",25 Apr 2023
ADYAH ENCLAVE,BRERAP00762-2/1062/R-844/2019,N.R.S DEVELOPERS,"CHITRAWANI CHOWK , KALIBARI ROAD, BHATTA BAZAR, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -696 K, Kh, G, GH",22 Nov 2019
ADYAH GREAT CITY,BRERAP0002704-1/849/R-959/2020,ADYAH GREAT CITY PRIVAT LIMITED,,06 May 2020
AERO GREEN CITY,BRERAP01054-1/910/R-625/2019,RESIGREEN REALTORS PRIVATE LIMITED,,17 May 2019
AGAMI H RAINBOW,BRERAP10319-1/27/R-1248/2021,AGAMI INFRAHOMES PRIVATE LIMITED,"MAUZA-CHOTTI-KHAGAUL, THANA-DANAPUR, DIST-PATNA, Block- Danapur Mauja - छोटी खगौल District - PatnaPlot No -01,02,03,04,05",27 Dec 2021
AGARNI WOODS,BRERAP00496-4/676/R-369/2019,DDL Infratech Private Limited,,24 Apr 2023
AGRANI ASHOKA,BRERAP00011-5/49/R-160/2018,AGRANI HOMES PRIVATE LIMITED,"VILLAGE - CHAMARI CHAK ,P.S - SAHPUR ,DISTRICT PATNA , , Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -431",10 Sep 2018
AGRANI GALAXY,BRERAP00011-8/193/R-512/2019,AGRANI HOMES PRIVATE LIMITED,"AGRANI GALAXY
RAM KRISHNA NAGAR
NEAR AGRANI HEIGHT APPARTMENT
ANAND CHAUK
PATNA -800027, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -220",13 Mar 2019
AGRANI KAILASH,BRERAP00011-6/54/R-159/2018,AGRANI HOMES PRIVATE LIMITED,"AGRANI KAILASH,GOVINDPUR,AIIMS ROAD,NEAR SEVA SADAN OFFICE & HANUMANN MADIR,PATNA, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -722",10 Sep 2018
AGRANI KALAWATI REGENCY,BRERAP00011-4/22/R-05/18,AGRANI HOMES PRIVATE LIMITED,"VILLAGE - KOTHWAN , P.O.+P.S - KHAGAUL , PATNA, Block- Danapur Mauja - कोथवॉ District - PatnaPlot No -256/742",28 Feb 2018
AGRANI MILKY,BRERAP00011-9/194/R-524/2019,AGRANI HOMES PRIVATE LIMITED,"AGRANI MILKY
RAM KRISHNA NAGAR,BHUPATIPUR,
KAILASH NAGAR,MUSHARI ROAD,PATNA-800027, Block- Phulwari Sarif Mauja - जगनपुरा District - PatnaPlot No -125",25 Mar 2019
AGRANI P K VILLA,BRERAP00051-2/21/R-10/2018,AGRANI HOMES REAL MARKETING PVT LTD,"NEAR DRM OFFICE. GADI KHANA, KHAGAUL PATNA BIHAR, Block- Phulwari Sarif Mauja - रामपुर District - PatnaPlot No -161/257",20 Apr 2018
AGRANI SHIVA,BRERAP00011-7/55/R-329/2019,AGRANI HOMES PRIVATE LIMITED,"AGRANI SHIVA
GOLA ROAD,OPPOSITE - DR.D.RAM DAV HIGH SCHOOL,PATNA-801503, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1286",04 Jan 2019
AGRANI YAMUNA ENCLAVE,BRERAP00051-1/10/R-2/18,AGRANI HOMES REAL MARKETING PVT LTD,"AGRANI YAMUNA ENCLAVE 
BEHIND HI-TECH HOSPITAL
SAGUNA MORE, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -205",28 Feb 2018
AHMED RESIDENCY,BRERAP00127-1/209/R-161/2018,KAMINI HOMES,"AT - MAUZA CHITKOHRA, THANA NO - 17, PLOT NO - 1388&1389, KHATA NO - 04&08, DIST - PATNA, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -1388&1389",10 Sep 2018
AIYSHA CLOUD HEVEN,BRERAP00210-1/111/R-188/2018,HAJI MD IRSHAD TAHOOR,,26 Sep 2018
AJIT HIGHTS APARTMENT,BRERAP00871-004/149/R-1652/2024,Raj Construction,,29 Feb 2024
AKANKSHA BAIDHYNATH BHAWAN,BRERAP35120-2/142/R-1470/2022,Akanksha Construction,"MAUZA-SIKANDERPUR, PLOT NO-120,121, KHATA NO-33,40, THANA NO-17, DANAPUR PATNA, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -DANAPUR",06 Oct 2022
AKHAURI ANNEX,BRERAP00129-2/261/R-468/2019,SWARNDURGA BUILDCON PVT.LTD,,27 Feb 2019
AL KARIM ENCLAVE,BRERAP00234-8/134/R-1335/2022,NAGAREE BUILDERS&DEVELOPERS PRIVATE LIMITED,"At Sandalpur Plot No 1935  P Society Plot No A/56/57/58/55 Khesra No-730 P Khata No-348 Sultanganj  Patna, Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -1935 P",01 Apr 2022
AL-FALAH ENCLAVE,BRERAP00302-1/228/R-59/2018,CHITRA HOMES PVT. LTD.,"ISOPUR, PHULWARISHARIF, PATNA, Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -3197",26 Jun 2018
ALLAMA ENCLAVE,BRERAP84906-006/64/R-1588/2023,PEACE S SQUARE BUILDTECH,,17 Jul 2023
ALPHA PARK,BRERAP93651-2/50/R/1383/2022,ADITYA BUILDMAX PRIVATE LIMITED,"OPPOSITE CARE NURSHING HOME, BAIRIYA TO MIT ROAD, AHIYAPUR, MUJAFFARPUR , Block- Kanti Mauja - कोल्हुआ पैगम्बरपुर District - MuzaffarpurPlot No -3238, 3245",25 Apr 2022
ALPHA SQUARE,BRERAP00496-2/650/R-446/2019,DDL Infratech Private Limited,"RAJPUR BIHTA LAI ROAD BIHATA PATNA, Block- Danapur Mauja - दरियापुर District - PatnaPlot No -306 801",20 Feb 2019
AMAN APARTMENT,BRERAP03501-1/138/R-1298/2022,ADAVAYA BUILDCON PRIVATE LIMITED,"MAUZA-BODHGAYA, MOHALLA-RAJAPUR, THANA-BODHGAYA, THANA NO-359, KHATA-767, PLOT NO-4222, TAUZI NO-3160, GAYA, BIHAR., Block- Bodh Gaya Mauja - बोध गया District - GayaPlot No -4222",15 Mar 2022
AMAN SKS COMPLEX,BRERAP00377-2/836/R-815/2019,NANDANI HOMES PRIVATE LIMITED,"PLOT N0-11,12,KHATA NO-182,196,TAUZI NO-5276 KHAGUAL MAIN ROAD DANAPUR,PATNA, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -11,12",06 Nov 2019
AMAZE CITY,BRERAP00288-1/326/R-158/2018,SAI SHREE BALAJEE CONSTRUCTIONS & DEVELOPERS PRIVATE LIMITED,"AMAZE CITY, ROAD No. 11&12, MAGADH COLONY, GAYA 823001, Block- Sadar Gaya Mauja - चन्‍दौती District - GayaPlot No -652&689 (NEW)",24 Apr 2023
AMBA TOWER,BRERAP00303-1/356/R-257/2018,ABHI HOMES PVT LTD,"PLOT NO 1147,1148,1154
MOHAMADPUR KORGI,PHULWARISHARIF, Block- Phulwari Sarif Mauja - कोरजी District - PatnaPlot No - 1147,1148,1154",23 Nov 2018
Amber Ajay Palace,BRERAP61621-2/191/R-1484/2022,Sai Sampann Infra LLP,"Plot No.- 2317 P, Thana No.- 30, Tauzi no.- 5456, Khata No.- 166, At Mauza- Jamsaut, Thana- Danapur, Dist- Patna, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2317 P",10 Nov 2022
Ambition Business Park,BRERAP00138-6/1200/R-1037/2020,Ambition Homes Pvt Ltd,"Khata No.- 112, 158, 61 Tauji No.- 5292, Thana No.- 23, Mauza-Saguna, Ward No.- 15, Block- Danapur Mauja - सगुना District - PatnaPlot No -393,394,395,360",01 Feb 2022
Ambition Corporate Park,BRERAP00138-5/770/R-542/2019,Ambition Homes Pvt Ltd,"Khata No. 86, 167, Tauzi 14844, 14/2316, Mauza Dujra, Block- Patna Sadar Mauja - दुजरा District - PatnaPlot No -177, 1062(old)",29 Mar 2019
Ambition Elite,BRERAP00138-8/102/R-1217/2021,Ambition Homes Pvt Ltd,"Thana No-4 Khata No- 158,135 Mauja- Dujra, Block- Patna Sadar Mauja - दुजरा District - PatnaPlot No -1090 P, 1091 P, 1093 P",27 Sep 2021
Ambition Green Residency,BRERAP00138-7/1329/R-1130/2021,Ambition Homes Pvt Ltd,"Mohalla- New Patliputra Colony, Mauza- Mainpura, Plot No.- B, Thana No.-2, Ward No.-14 Old, 22 New, Tauzi Old Holding No.- 217/140 part, New Holding No.- 24/14, 217/140, Khata No.-190, Circle No.- 249/A, P.S.-Patliputra, District- Patna, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1015,1016, 1017, 1018",11 Feb 2021
Ambition Paradise,BRERAP00138-009/83/R-1741/2024,Ambition Homes Pvt Ltd,,25 Jul 2024
Ambition Pride,BRERAP00138-008/173/R-1646/2024,Ambition Homes Pvt Ltd,,08 Feb 2024
Ambition Sharada Residency,BRERAP00138-1/119/R-69/2018,Ambition Homes Pvt Ltd,"Khata no. 54 and 45, Thana No. 9, Tauzi No. 5609, Mauza Sheikhpura P.S. Shastri Nagar, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -1443 (Part), 1444(Part), 1445",06 Jul 2018
Ambition Shresth Mall,BRERAP00138-4/771/R-540/2019,Ambition Homes Pvt Ltd,"Khata No. 160, 177, 190, 219, 225, 229, 270, Tauzi No. 5296/15201, Mauza Salempur Dumra, Block- Patna Sadar Mauja - सलेमपुर (डुमरा) District - PatnaPlot No -1045, 1046, 1047, 1049, 1050, 1051, 1052",29 Mar 2019
AMOD SUBHA ENCLAVE,BRERAP00204-3/808/R-532/2019,MAA BHAWANI BUILDCON PVT. LTD.,"Maa Bhawani Amod Sudha Enclave near Ravi Chowk North Patel Nagar , Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1258,1261,1262",26 Mar 2019
ANAMIKA RESIDENCY,BRERAP24925-2/22/R-1803/2025,DWARKA DWELLINGS PRIVATE LIMITED,"PLOT NO-899P, KHATA NO-07, MAUZA- SHEIKHPURA, PATNA , Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -899P",27 Jan 2025
ANAND ENCLAVE,BRERAP55140-002/129/R-1683/2024,ANANDSRI CONSTRUCTION PRIVATE LIMITED,,29 Apr 2024
Anand Green Petal,BRERAP00010-1/23/R-267/2018,ANAND DWELLING PVT LTD,"Anand green appartment,Khagual,road,Phulwari,Sharif, Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -110",29 Nov 2018
ANAND RESIDENCY,BRERAP00248-008/159/R-1668/2024,Madhusha Infrastructure Private Limited..,,08 Apr 2024
ANAND RESIDENCY,BRERAP00020-7/1348/R-1185/2021,PATWARI PROJECTS,"MAUZA DIGHA PLOT NO-1095,1096,1097 PS DIGHA PATNA, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1095,1096,1097",27 Aug 2021
ANAND VILLA,BRERAP23128-2/1295/R-1129/2021,WHITE TIGER INTERIO AND DEVELOPER PRIVATE LIMITED,"PLOT NO 532 P,THANA 24 DANAPUR KHATA NO-231 MAINPURA DANAPUR PATNA, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -532 P",11 Feb 2021
ANANTA RESIDENCY,BRERAP00762-1/586/R-363/2019,N.R.S DEVELOPERS,"Navrattan Hata , Purnea, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -72",24 Jan 2019
ANGAN HERITAGE,BRERAP61923-1/196/R-1498/2022,RAKESH RANJAN,"SIKANDARPUR, DANAPUR, , Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -690P",07 Dec 2022
ANJUNA MANSION,BRERAP05511-1/1327/R-1204/2021,VAIBHAV GREENHOMES PRIVATE LIMITED,"CHANDRA SHEKHAR NAGAR, GOLA ROAD, DANAPUR, PATNA , Block- Danapur Mauja - दानापुर District - PatnaPlot No -921P",13 Sep 2021
Annapurna Enclave,BRERAP00019-1/25/R-26/2018,Bharat Bhushan Deva,"Deva Nagar
Singhaul, Block- Begusarai Mauja - सिंघौल District - BegusaraiPlot No -1641",24 May 2018
Anshul Mithilapuram Pearl Enclave,BRERAP00031-2/86/R-480/2019,Anshul Homes Pvt. Ltd,"Pearl Enclave, 70/35 Road
Near Indian Oil Depot, Bishnupur Pakri
Hullukpur, Sipara
Off Patna Bypass, Patna
, Block- Phulwari Sarif Mauja - पकडी District - PatnaPlot No -109",01 Mar 2019
ANURAG PLAZA,BRERAP00937-1/631/R-1112/2021,IMPERIAL FOUNDATION CONSTRUCTION PVT. LTD.,"NEAR KUMHRAR PARK, KANKARBAGH MAIN ROAD, Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -829",28 Jan 2021
ANUSHA BASANTI KUNJ,BRERAP00206-1/95/R-79/2018,SAVITA BUILDWELL PVT LTD,"North s. k. puri off Boring Road , Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -639/1570",06 Jul 2018
Aparna Mansion,BRERAP00108-1/57/R-25/2018,Aparna Architect Pvt. Ltd.,"Birla Colony, Phulwari Sharif, Block- Danapur Mauja - खलीलपुरा District - PatnaPlot No -664, 665",18 May 2018
APARNA RAM BABU COMPLEX,BRERAP00108-005/106/R-1600/2023,Aparna Architect Pvt. Ltd.,"RAM JAIPAL PATH OFF BAIELY ROAD PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -172,177",30 Aug 2023
APEX TWIN TOWER,BRERAP00985-1/773/R-459/2019,MOHINI CONSTRUCTIONS,"Near Ranipur Pool, Ranipur Road, Phulwarisharif, Patna., Block- Phulwari Sarif Mauja - अब्‍बुपुर लोदीपुर District - PatnaPlot No -1170,1171,1172",26 Feb 2019
APOGEE TOWER,BRERAP25722-1/153/R-1764/2024,APOGEE PROPERTY INDIA PRIVATE LIMITED,"PLOT NO-197,198 AND 204, MAUZA- SADIKPUR YOGI, P.S- PATNA CITY, PATNA , Block- Patna Sadar Mauja - सादिकपुर योगी District - PatnaPlot No -197P,198P,204P",22 Aug 2024
APRAJITA COMPLEX,BRERAP21802-1/39/R-1567/2023,SATISH KUMAR PATHAK,,12 May 2023
APRAJITA GARDEN,BRERAP81821-002/147/R-1620/2023,PAWANSUT BUILDCON INDIA PRIVATE LIMITED,,27 Nov 2023
ARADHNA ENCLAVE,BRERAP33746-1/1138/R-1023/2020,ARADHNAHOMES PVT.LTD,"MAUZA-DHANAUT THANA-RUPASPUR, DIST-PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -KHATA NO-443,415 PLOT NO-2389,2395",26 Aug 2020
ARADHYA CITY,BRERAP94350-2/04/R-1528/2023,AYURADHYA CONSTRUCTION PRIVATE LIMITED,"MANPUR, MAUZA-KUKRA,P.S-BUNIYAD GANKJ, GAYA , Block- Manpur Mauja - कुकरा District - GayaPlot No -173,242",03 Feb 2023
ARADHYA ENCLAVE,BRERAP00397-1/275/R-343/2019,JAI MAA VINDVASHNI INFRACON PRIVATE LIMITED,"VILL - CHAINPUR,MAUZA CHAINPUR SHEKHOPUR,THANA GOPALPUR,PATNA, Block- Sampatchak Mauja - चैनपुर District - PatnaPlot No -482",17 Jan 2019
ARADHYA RESIDENCY,BRERAP94350-1/1266/R-1040/2020,AYURADHYA CONSTRUCTION PRIVATE LIMITED,"MAUZA SHEKHPURA PS RAMKRISHNA NAGAR TAUZI NO 181 PART PLT NO 412, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -PLOT NO 412 P",07 Sep 2020
ARANYA KULHARIA COMPLEX,BRERAP00016-4/171/R-40/2018,KUMAR BUILDCON PVT LTD,"GOPALI KUAN CHOWK ARRAH, Block- Ara Mauja - आरा नगर District - BhojpurPlot No -S.P.N. 942. CS PLOT NO.5461",05 Jun 2018
ARANYA PNB RESIDENCY,BRERAP00066-1/88/R-60/2018,Aranya Engicon Pvt Ltd,"GODHNA, NEAR NEORAGANJ, DANAPUR BIHTA ROAD, PATNA, Block- Bihta Mauja - गोढना District - PatnaPlot No -1803, 1804, 1820, 1819",17 Oct 2022
ARANYA YAMUNA RESIDENCY,BRERAP00066-2/148/R-1295/2022,Aranya Engicon Pvt Ltd,"BISCUIT FACTORY ROAD, MITHILA COLONY,DANAPUR, PATNA  , Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -692 , 695",15 Mar 2022
ARC Enclave,BRERAP71706-003/121/R-1614/2023,VINI CONSTRUCTION,,31 Oct 2023
ARCHNA  APARTMENT,BRERAP34215-1/1334/R-1212/2021,KHAYATI CONSTRUCTIONS PVT. LTD,"RAGHUNATH PATH,OPPOSITE RPS SCHOOL, DANAPUR, PATNA , Block- Danapur Mauja - सगुना District - PatnaPlot No -552 P",22 Sep 2021
ARCON ARUN ASHOK MANSION,BRERAP30301-2/107/R-1435/2022,ARCON PROJECT PRIVATE LIMITED,"MAUZA- SIKANDARPUR, MOHALLA- CHAKJUNAIDPUR, PS- DANAPUR, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -11,06",15 Jul 2022
ARCON BIRENDRA HEIGHTS,BRERAP30301-4/128/R-1761/2024,ARCON PROJECT PRIVATE LIMITED,,06 Sep 2024
ARCON REGALIA,BRERAP30301-1/1161/R-889/2020,ARCON PROJECT PRIVATE LIMITED,"MAUZA-SIKANDARPUR, MOHALLA-SIKANDARPUR BISCUI FACTORY,DANAPUR,PATNA, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -599 AND 600",29 Jan 2020
