Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Total Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date
The Poem,SHRIRAM PROPERTIES,"Ward 12, SY No. 60/3, of Shetti Halli, SY No. 20, 21, 22 and 29, of Myadara Halli, Yeshwantpur, North Bangalore, Bangalore",₹11.62 K/sq.ft,"Mar, 2028",668 - 735 sq.ft.,7 Acres (70% open),PRM/KA/RERA/1251/309/PR/210319/004033,,972,"2, 2.5 BHK Apartments",57,"Cricket Pitch, Volleyball Court, Changing Room, Skating Rink, Fire Sprinklers, Table Tennis, Kid's Pool, Car Parking, 24X7 Water Supply, Multipurpose Room, Street Lighting, Senior Citizen Siteout, Indoor Games, Cycling & Jogging Track, Sewage Treatment Plant, Intercom, Children's Play Area, Theme Park, Entrance Gate Security Cabin, 24x7 CCTV Surveillance, Reserved Parking, Chess Board, Community Hall, Rain Water Harvesting, Library, 24x7 Security, Electrical meter Room, Cafeteria, Waiting Lounge, Reading Lounge, Tennis Court, Reflexology Park, Swimming Pool, Open Gym, Vastu Compliant, Fire Fighting System, Gymnasium, Squash Court, Jogging Track, Gated Community, Club House, Open Air Theatre, Yoga / Meditation Area, Lift(s), Fire Retardant Structure, Creche/Day Care, Badminton Court, RO Water System, Sun Deck, Multipurpose Hall, Basketball Court, Conference Room, Solar Water Heating, Internal Roads & Footpaths, Carrom, Power Backup, Billiards / Snooker Table",44,1,45,0,1974,112,"We are one of the leading residential real estate development companies in South India, primarily focused on the mid-market and affordable housing categories. We are among the five largest residential real estate companies in South India, including specifically in Bengaluru and Chennai, in terms of number of aggregate units launched in the calendar years 2012 to 2017 and the six months ended June 30, 2018. We are also present in the mid-market premium and luxury housing categories, commercial and office space category as well as plotted development category.

We are part of the Shriram Group, which is a prominent business group with four decades of operating history in India and a well-recognized brand in the retail financial services sector and several other industries. We believe that our relationship with the Shriram Group provides us with strong brand recall and that we benefit, and will continue to benefit, from the trust and confidence that homebuyers, lenders, financial investors, landowners, development partners, contractors and other stakeholders place in the Shriram brand and its operational history.

We commenced operations in Bengaluru in the year 2000 and, have expanded our presence to other cities in South India, i.e., Chennai, Coimbatore and Visakhapatnam. In addition, we also have presence in Kolkata in East India, where we are developing a large mixed-use project. Bengaluru and Chennai are two key markets for us. These cities are two large residential housing markets in India, contributing to approximately 31.24% of the launches and 34.22% of the sold inventory in India’s seven cities (Bengaluru, Mumbai, Delhi, Chennai, Pune, Hyderabad and Kolkata), across calendar years 2016 to 2017 and the six months ended June 30, 2018.

As of November 30, 2018, we have 25 completed projects, representing 12.86 million square feet of Saleable Area, out of which our 20 completed projects in the cities of Bengaluru and Chennai accounted for 87.69% of our Saleable Area. Further, 81.88% of our total Saleable Area for completed projects were in the mid-market category and affordable housing category (with midmarket and affordable categories accounting for 48.02% and 33.86% respectively), and the remainder in the commercial and office space and luxury housing categories, as of November 30, 2018.

SHRIRAM PROPERTIES- A SEAL OF TRUST!

PART OF THE FINANCIAL CONGLOMERATE SHRIRAM GROUP
22000+ HAPPY FAMILIES
ECONOMIC TIMES BUSINESS EXCELLENCE AWARD 2020 WINNER: DEVELOPER OF THE YEAR (RESIDENTIAL)
PRIVATE EQUITY INVESTMENT BY GLOBAL PLAYERS MITSUBISHI, TPG KOTAK, WALTON STREET CAPITAL STARWOOD CAPITAL AND TATA CAPITAL

Milestone & Awards:

Real Estate Awards 2021 by Global Real Estate Congress:
Most Trusted Real Estate Brand
Mid-Segment Project of the Year – Codename Yuva
Customer Service Excellence Award

By ET Business Excellence 2020, Times of India Group (TOI)
Developer of the Year Residential

12th Reality + Conclave & Excellence Awards, South -2020
CXO of the Year
Integrated Township Project of the Year

Smart City Empowering India Award – 2020
Best Efficient & Sustainable – Smart Real Estate Project",Under Construction,"Jun, 2021"
Casagrand Amor,CASAGRAND BUILDER PRIVATE LIMITED,"Begur, South Bangalore, Bangalore",₹6.45 K/sq.ft,"Sep, 2026",1697 - 1699 sq.ft.,7.82 Acres (70% open),ACK/KA/RERA/1251/310/PR/040324/007911,,480,3 BHK Apartment,32,"Amphitheater, Cricket Pitch, Sauna Bath, Reflexology Park, Spa, Swimming Pool, Skating Rink, Landscaping & Tree Planting, Gymnasium, Kid's Pool, Squash Court, Golf Course, Senior Citizen Siteout, Indoor Games, Cycling & Jogging Track, Business Center, Party Lawn, Children's Play Area, Entrance Lobby, Yoga / Meditation Area, Salon, Steam Room, Barbecue Area, Wall Climbing, Board Games, Lift(s), Terrace Garden, Chess Board, Multipurpose Hall, Basketball Court, Car Wash Area, Library",63,2,65,0,2004,164,"Casagrand Builder Private Limited is a real estate enterprise committed to building aspirations and delivering value. In the last fifteen years, we have developed over 22 million sqft of prime residential real estate across Chennai, Bengaluru, and Coimbatore. Over 18,250 happy families across 112+ landmark properties stand testimony to our commitment. In the sixteenth year of our journey, we at Casagrand are all set to progress further forward with projects worth over Rs. 8000 crores in the pipeline.",Under Construction,"Mar, 2024"
Brigade Horizon,BRIGADE ENTERPRISES LTD,"Survey Nos 248/1, Kumbalgodu, Mysore-Bangalore Road, Bangalore",₹8.17 K/sq.ft,"Dec, 2026",615 - 3215 sq.ft.,4.99 Acres (60% open),PRM/KA/RERA/1251/310/PR/190722/005086,,372,"1, 2, 3, 4 BHK Apartments",36,"Cricket Pitch, Tennis Court, Spa, Garbage Disposal, Swimming Pool, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Table Tennis, Mini Theatre, Fire Fighting System, Gymnasium, Car Parking, 24X7 Water Supply, Jogging Track, Street Lighting, Gated Community, Indoor Games, Cycling & Jogging Track, Party Lawn, Sewage Treatment Plant, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Visitor Parking, Lift(s), Badminton Court, 24x7 CCTV Surveillance, Sun Deck, Multipurpose Hall, Community Hall, Paved Compound, Library, Rain Water Harvesting, 24x7 Security, Power Backup",46,1,47,0,1986,150,"Developer Profile
Brigade Group is a Bangalore-based real estate company focussed on providing world-class property solutions including luxury apartments, commercial spaces, retail spaces and hospitality projects. The builder has a multi-domain portfolio encompassing property management services, education, property development and hospitality. Founded in 1986, the group has a presence in major cities of South India like Kochi, Chennai, Hyderabad, Mysore and Bangalore. An accredited agent in the USA, the developer also has a representative office in Dubai, United Arab Emirates.
Brigade Group has won the Best Office Space Award - World Trade Center Bangalore and Brigade Gateway at the CREDAI Real Estate Awards Karnataka 2013. It has been ranked among India's top 10 builders for consistent five years from 2007 to 2011 by Construction World. It has also received the CRISIL Rating PA2, 1995.
Experience and Strengths
The corporate philosophy of Brigade Group includes a stable and confident business model as well as processes involving innovation. The developer is environmentally conscious and develops projects in strict compliance with applicable regulations and best practices. It has been certified in ISO 9001:2015 and ISO 14001:2004 (Environmental Management Systems), 2008. The brand has gained the trust and admiration of numerous customers owing to its reliable services. It strives to retain its position of being the preferred developer of residential, commercial and hospitality spaces in the market by staying committed to its goals.
The team at Brigade Group is led by Chairman and Managing Director, M.R. Jaishankar, and Director, M.R. Gurumurthy. Several projects and concepts pioneered by the developer have been a huge success and created landmarks which changed the urban landscape. For instance, Brigade Towers was the first 14-storied building in Bangalore; Brigade Millennium at JP Nagar was Bangalore's first integrated enclave project launched in 2002, and Brigade Gateway at Rajajinagar is another prestigious development in Bangalore that was recognised as the most integrated city-centric mixed-use project.
The builder has partnered with some of the best-known architects, master planners, contractors, suppliers and consultants in the industry. Construction of properties using cutting-edge technology is one of the biggest strengths of Brigade Group. The company has been on the forefront when it comes to using new technologies like in-house pre-cast technology. Besides complying with international standards for delivering a high-quality product, the developer also adheres to the timelines. Moreover, it has launched an online portal for tracking project progress and payments; and an online booking platform for home-buying that has offered the best customer experience.
Projects
In 32 years, Brigade Group has grown rapidly and developed over 20 million square feet of real estate space. Brigade Metropolis at Whitefield, Bangalore is an award-winning 40-acre residential development. The developer has worked on 30 residential projects in Bangalore and other cities including 14 ongoing projects. It offers 1, 2 and 3BHK apartments sized between 800 sqft and 2,000 sqft; as well as spacious 4BHK and 5BHK apartments sized above 3,000 sqft.",Under Construction,"Jul, 2022"
Shriram Solitaire,SHRIRAM PROPERTIES,"Yelahanka, North Bangalore, Bangalore",₹8.2 K/sq.ft,Ready to Move,1045 - 1235 sq.ft.,3.09 Acres,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,,,"2, 2.5 BHK Apartments",21,"Children's Play Area, Amphitheater, Yoga / Meditation Area, Barbecue Area, Gazebo, Swimming Pool, Lift(s), Landscaping & Tree Planting, Badminton Court, Table Tennis, Kid's Pool, Gymnasium, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Multipurpose Hall, Basketball Court, Banquet Hall, Lawn Tennis Court, Party Lawn",14,Not Found,14,0,1974,112,"We are one of the leading residential real estate development companies in South India, primarily focused on the mid-market and affordable housing categories. We are among the five largest residential real estate companies in South India, including specifically in Bengaluru and Chennai, in terms of number of aggregate units launched in the calendar years 2012 to 2017 and the six months ended June 30, 2018. We are also present in the mid-market premium and luxury housing categories, commercial and office space category as well as plotted development category.

We are part of the Shriram Group, which is a prominent business group with four decades of operating history in India and a well-recognized brand in the retail financial services sector and several other industries. We believe that our relationship with the Shriram Group provides us with strong brand recall and that we benefit, and will continue to benefit, from the trust and confidence that homebuyers, lenders, financial investors, landowners, development partners, contractors and other stakeholders place in the Shriram brand and its operational history.

We commenced operations in Bengaluru in the year 2000 and, have expanded our presence to other cities in South India, i.e., Chennai, Coimbatore and Visakhapatnam. In addition, we also have presence in Kolkata in East India, where we are developing a large mixed-use project. Bengaluru and Chennai are two key markets for us. These cities are two large residential housing markets in India, contributing to approximately 31.24% of the launches and 34.22% of the sold inventory in India’s seven cities (Bengaluru, Mumbai, Delhi, Chennai, Pune, Hyderabad and Kolkata), across calendar years 2016 to 2017 and the six months ended June 30, 2018.

As of November 30, 2018, we have 25 completed projects, representing 12.86 million square feet of Saleable Area, out of which our 20 completed projects in the cities of Bengaluru and Chennai accounted for 87.69% of our Saleable Area. Further, 81.88% of our total Saleable Area for completed projects were in the mid-market category and affordable housing category (with midmarket and affordable categories accounting for 48.02% and 33.86% respectively), and the remainder in the commercial and office space and luxury housing categories, as of November 30, 2018.

SHRIRAM PROPERTIES- A SEAL OF TRUST!

PART OF THE FINANCIAL CONGLOMERATE SHRIRAM GROUP
22000+ HAPPY FAMILIES
ECONOMIC TIMES BUSINESS EXCELLENCE AWARD 2020 WINNER: DEVELOPER OF THE YEAR (RESIDENTIAL)
PRIVATE EQUITY INVESTMENT BY GLOBAL PLAYERS MITSUBISHI, TPG KOTAK, WALTON STREET CAPITAL STARWOOD CAPITAL AND TATA CAPITAL

Milestone & Awards:

Real Estate Awards 2021 by Global Real Estate Congress:
Most Trusted Real Estate Brand
Mid-Segment Project of the Year – Codename Yuva
Customer Service Excellence Award

By ET Business Excellence 2020, Times of India Group (TOI)
Developer of the Year Residential

12th Reality + Conclave & Excellence Awards, South -2020
CXO of the Year
Integrated Township Project of the Year

Smart City Empowering India Award – 2020
Best Efficient & Sustainable – Smart Real Estate Project",Ready to Move,
Prestige Park Grove,Not Found,Not Found,Not Found,Not Found,658 - 4170 sq.ft.,78 Acres,PRM/KA/RERA/1251/446/PR/100823/006141,,,Not Found,33,"Amphitheater, Cricket Pitch, Tennis Court, Spa, Skating Rink, Swimming Pool, Landscaping & Tree Planting, Mini Theatre, Fire Fighting System, Gymnasium, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Senior Citizen Siteout, Gated Community, Indoor Games, Lawn Tennis Court, Intercom, Club House, Children's Play Area, Yoga / Meditation Area, Lift(s), 24x7 CCTV Surveillance, Video Door Security, Multipurpose Hall, Community Hall, Basketball Court, Paved Compound, Beach Volley Ball Court, Power Backup, Cafeteria, DG Availability",Not Found,Not Found,Not Found,0,1986,220,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,
Prestige Sunflower,Not Found,Not Found,Not Found,Not Found,3075 - 4200 sq.ft.,,Not Available,,,Not Found,10,"Children's Play Area, 24X7 Water Supply, Health Facilities, Community Hall, Recreation Facilities, Indoor Games, Maintenance Staff, Rain Water Harvesting, 24x7 Security, Power Backup",Not Found,Not Found,Not Found,0,1986,211,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,
Prestige Song Of The South Phase 1,Not Found,Not Found,Not Found,Not Found,644 - 2467 sq.ft.,33 Acres (75% open),PRM/KA/RERA/1251/310/PR/170915/000243,,1733,Not Found,39,"Waiting Lounge, Amphitheater, Internet / Wi-Fi, Cricket Pitch, Tennis Court, Sauna Bath, Grocery Shop, Swimming Pool, Skating Rink, Vastu Compliant, Mini Theatre, Gymnasium, Fire Fighting System, Squash Court, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Indoor Games, Reception/Waiting Room, Sewage Treatment Plant, Club House, Children's Play Area, Steam Room, Football Field, Lift(s), Badminton Court, Aerobics Room, Open Car Parking, Basketball Court, Staff Quarter, Conference Room, Maintenance Staff, Banquet Hall, Rain Water Harvesting, Library, 24x7 Security, Cafeteria, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1986,217,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"May, 2016"
Prestige Finsbury Park Hyde,Not Found,Not Found,Not Found,Not Found,416 - 642 sq.ft.,15 Acres,PRM/KA/RERA/1251/472/PR/191206/003055,,554,Not Found,45,"Amphitheater, Reading Lounge, Internet / Wi-Fi, Cricket Pitch, Tennis Court, Swimming Pool, Skating Rink, Vastu Compliant, Fire Sprinklers, Landscaping & Tree Planting, Valet Parking, Gymnasium, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Gated Community, Indoor Games, Shopping Mall, Piped Gas Connection, Utility Shops, Business Center, Club House, Intercom, Children's Play Area, Yoga / Meditation Area, Lift(s), Party Hall, Badminton Court, Aerobics Room, RO Water System, 24x7 CCTV Surveillance, Health Facilities, Temple, Basketball Court, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Banquet Hall, Rain Water Harvesting, Library, 24x7 Security, Power Backup, Cafeteria, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1986,220,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"Jan, 2020"
Prestige Finsbury Park Regent,Not Found,Not Found,Not Found,Not Found,851 - 1431 sq.ft.,10 Acres,PRM/KA/RERA/1251/472/PR/191206/003056,,957,Not Found,88,"Amphitheater, Cricket Pitch, Changing Room, Spa, Skating Rink, Fountains, Fire Sprinklers, Table Tennis, Mini Theatre, Kid's Pool, Medical Store/Pharmacy, Water Softner Plant, Car Parking, 24X7 Water Supply, Concierge Service, Multipurpose Room, Senior Citizen Siteout, Indoor Games, Pergola, Shopping Mall, Piped Gas Connection, Party Lawn, Sewage Treatment Plant, Intercom, Children's Play Area, Salon, Steam Room, Recreation Facilities, Visitor Parking, 24x7 CCTV Surveillance, Reserved Parking, Chess Board, Community Hall, Spa/Sauna/Steam, Maintenance Staff, Banquet Hall, Library, Rain Water Harvesting, Laundromat, 24x7 Security, Jacuzzi, Cafeteria, Waiting Lounge, Reading Lounge, Internet / Wi-Fi, Grocery Shop, Tennis Court, Reflexology Park, Solar Lighting, Garbage Disposal, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Water Storage, Fire Fighting System, Gymnasium, Flower Garden, Squash Court, Golf Course, Jogging Track, Gated Community, Sports Facility, Lawn Tennis Court, Club House, Service Lift, Entrance Lobby, Yoga / Meditation Area, Security Cabin, Barbecue Area, Lift(s), Badminton Court, Terrace Garden, Creche/Day Care, RO Water System, Video Door Security, Restaurant, High Speed Elevators, Multipurpose Hall, Basketball Court, Conference Room, Paved Compound, Solar Water Heating, Internal Roads & Footpaths, ATM, Carrom, Power Backup, Acupressure Center, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1986,217,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"Jan, 2020"
Prestige Great Acres,Not Found,Not Found,Not Found,Not Found,1163 - 4000 sq.ft.,80 Acres (46% open),,,808,Not Found,35,"Amphitheater, Reading Lounge, Cricket Pitch, Volleyball Court, Tennis Court, Skating Rink, Swimming Pool, Landscaping & Tree Planting, Gymnasium, 24X7 Water Supply, Squash Court, Jogging Track, Street Lighting, Gated Community, Sports Facility, Lawn Tennis Court, Party Lawn, Sewage Treatment Plant, Club House, Children's Play Area, Entrance Lobby, Security Cabin, Yoga / Meditation Area, Recreation Facilities, Solid Waste Management And Disposal, Party Hall, Badminton Court, 24x7 CCTV Surveillance, Health Facilities, Multipurpose Hall, Basketball Court, Paved Compound, Beach Volley Ball Court, Rain Water Harvesting, 24x7 Security",Not Found,Not Found,Not Found,0,1986,219,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"Aug, 2021"
Prestige Bagmane Temple Bells,Not Found,Not Found,Not Found,Not Found,408 - 1611 sq.ft.,,PRM/KA/RERA/1251/310/PR/170915/000281,,,Not Found,33,"Amphitheater, Tennis Court, Swimming Pool, Fountains, Vastu Compliant, Landscaping & Tree Planting, Table Tennis, Gymnasium, Fire Fighting System, Squash Court, Car Parking, 24X7 Water Supply, Closed Car Parking, Concierge Service, Indoor Games, Lawn Tennis Court, Party Lawn, Club House, Intercom, Children's Play Area, Security Cabin, Lift(s), Aerobics Room, Badminton Court, 24x7 CCTV Surveillance, Reserved Parking, Multipurpose Hall, Basketball Court, Banquet Hall, Library, 24x7 Security, Power Backup, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1986,217,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"Jun, 2014"
Prestige Boulevard,Not Found,Not Found,Not Found,Not Found,749 - 1638 sq.ft.,3 Acres,PRM/KA/RERA/1251/446/PR/170824/000057,,144,Not Found,40,"Tennis Court, Changing Room, Spa, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Table Tennis, Gymnasium, Fire Fighting System, Kid's Pool, Medical Facilities, Closed Car Parking, Car Parking, 24X7 Water Supply, Multipurpose Room, Jogging Track, Gated Community, Indoor Games, Party Lawn, Club House, Intercom, Children's Play Area, Entrance Lobby, Security Cabin, Yoga / Meditation Area, Card Room, Lift(s), Aerobics Room, 24x7 CCTV Surveillance, Sun Deck, Reserved Parking, Multipurpose Hall, Paved Compound, Spa/Sauna/Steam, Maintenance Staff, Rain Water Harvesting, Carrom, 24x7 Security, Power Backup, Billiards / Snooker Table",Not Found,Not Found,Not Found,0,1986,219,"Over the last decade, the Prestige Group has firmly established itself as one of the leading and most successful developers of real estate in India by imprinting its indelible mark across all asset classes. Founded in 1986, the group’s turnover is today in excess of Rs 3518 Cr (for FY 15); a leap that has been inspired by CMD Irfan Razack and marshaled by his brothers Rezwan Razack and Noaman Razack. As of 30th June 2020, the group has completed 247 projects covering 134 million sft, and currently has 45 ongoing projects covering over 53 million sft, 56 mn sft of upcoming projects, and holds a land bank of 262 acres with potential developable area of 27 mn sft. The Market Capital of the company as on 30 June 2020 is INR 84,021 Mn. The group’s turnover for the quarter ended June 30, 2020 is INR 12,963 Mn.",Not Found,"Mar, 2016"
Prestige Misty Waters Vista Tower,Not Found,Not Found,Not Found,Not Found,,,,,,Not Found,0,Not Found,Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Not Found,
