Project Name,Builder Name,Project Address,Avg Price psft,Completion date,Sizes,Project Area,RERA,Project Size - Tower Count,Project Size - Unit Count,Configurations,Amenities - Count,Amenities - List,Photos Count,Videos Count,Media Count,Review Count,Builder-Established Date,Builder-Project count,Builder description,Possession Status,Launch Date,Price trends
Vida Project,NILA SPACES LTD,"Plot No. 46 J Block No. 46, Opp. Petrol Pump Gift City, Gift City",₹20.92 K/sq.ft,"Jun, 2028",483 - 1180 sq.ft.,1.26 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/GIFT Urban Development Authority/RN209AA10109/011022,,496,"Studio, 1, 2, 3 BHK Apartment,Studio Apartments",12,"Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Mini Theatre, Gymnasium, Flower Garden, Fire Fighting System, 24X7 Water Supply, Jogging Track, Street Lighting, +14 more",Not Found,Not Found,Not Found,0,2009,9,"Nila Spaces Limited is a progressive Real-Estate company that believes in changing the paradigm of the industry by adopting innovative technologies, benchmark quality, robust engineering and uncompromising business ethics. Since its inception, Nila Spaces Limited has functioned with marked distinction in the real estate arena and has demonstrated timeless values and transparency in all spheres of business conduct. Every challenge to provide unswerving real estate to contribute to the growth of the home buyer has been met with tenacity and unmatched dedication.",Under Construction,,₹11.2K/sq.ft
Anamika High Point,CONSTERA REALTY,"Opp. The Grand Bhagwati (TGB), S.G. Highway, South West, Ahmedabad",₹16.2 K/sq.ft,"Jun, 2030",1766 - 3345 sq.ft.,7.84 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/RAA12755/050124/300630,,580,"4, 5 BHK Apartments",12,"Waiting Lounge, Tennis Court, Sauna Bath, Vastu Compliant, Swimming Pool, Fire Sprinklers, Landscaping & Tree Planting, Mini Theatre, Fire Fighting System, Car Parking, 24X7 Water Supply, +21 more",Not Found,Not Found,Not Found,0,4,Not Found,"Established in 2018, Constéra Realty Private Limited brings trust, credibility, transparency and timely execution as an inheritance and results in fulfilling the commitments at the fullest expectation and satisfaction of customers. Constéra's goal is to be a customer-focused company with an incessant commitment to innovate and deliver the finest products & services maximizing the value for the customer by developing the best of the best residential and commercial projects with utmost transparency.
We are in the business of developing Residential & Commercial real estate landmarks that elevate cityscape by creating beautiful vistas. Our architects and engineers design real-estate projects & infrastructure that blend perfectly into surroundings creating harmonized buildings and spaces which offers Better and Sustainable living. We use the finest building materials to the highest quality standards which result in increased durability for a long-term sustainable living for the future.
We are a consortium of highly skilled and proficient professionals having 22+ years of experience, with burgeoning creativity and zest to stand out in any endeavor that we embark on. Our team includes consultants and specialists in numerous fields of construction and design, that are dedicated to developing Residential & Commercial real estate landmarks that elevate cityscape and have a positive impact on our customer's life. Our highly motivated team has already delivered approximately 5+ Million Square Feet of real estate space with an experience of completing around 20+ projects in residential & commercial space.",Under Construction,"Jan, 2024",₹13.1K/sq.ft
Polaris Callisto,POLARIS BUILDCON LLP,"B/S Sangath Nano, Koteshwar Bhat Road, Koteshwar, North West, Ahmedabad",₹40.37 K/sq.yd,"Nov, 2026",465 - 489 sq.yd.,0.58 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Municipal Corporation/RAA13500/140524/311227,,28,4 BHK Apartment,12,"Children's Play Area, Swimming Pool, Solid Waste Management And Disposal, Vastu Compliant, Letter Box, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Fire Fighting System, Community Buildings, +13 more",Not Found,Not Found,Not Found,0,1978,5,"Polaris Group Polaris Group has been a leader in the Real Estate industry for almost two decades. From changing skylines to ensuring inspiration and innovation in every project, their vision is based on determination & hard work. Executed residential to commercial projects, the team is undeterred & progressive. Maintaining the legacy of innovation in construction, we continue to add new milestones every year. Expertise with an environment-friendly approach, The Polaris Group reinforces by being cost-effective & implementing the latest technology in our projects to ensure complete customer satisfaction.

The visionary of all Polaris Group directors is renowned for his excellence, quality, performance, and years of land development experience. Our strength & conviction can be attributed to the dedicated & qualified team of directors. Like the Star, The Polaris Group inspires trust with its finest architecture and engineering expertise. Exceeding industry standards Polaris is making its mark in the industry which is consistently changing, evolving, and transcending expectations. It is the determination to transform every challenge into an opportunity.",Under Construction,"Dec, 2023",₹4.9 K/sq.ft
Krishna Solitude,KRISHNA INFRA,"Chenpur Rd, Opp. Skywalk, Krishnadham Tenement, Jagatpur, Ranip, North West, Ahmedabad",₹40.01 K/sq.yd,"Apr, 2029",,0.4974 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Urban Development Authority/MAA13989/120824/300429,,28,4 BHK Apartment,12,"Solid Waste Management And Disposal, Letter Box, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Entrance Gate Security Cabin, 24x7 CCTV Surveillance, Fire Fighting System, Community Buildings, 24X7 Water Supply, Street Lighting, +6 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Apr, 2023",₹4.5 K/sq.ft
Tulsi Paradise,TULSI PARADISE,"Near tapovan Circle to Agora mall ,S.P. Ring Road, North West, Gandhinagar",₹35 K/sq.yd,"Mar, 2027",,0.99 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA12307/250923,,120,3 BHK Apartment,8,"Children's Play Area, Entrance Lobby, Gazebo, Indoor Games, Banquet Hall, Landscaping & Tree Planting, 24x7 Security, Gymnasium",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Sep, 2023",₹4.6 K/sq.ft
Serenity Shivam,SHIVAM BUILDCON,"Next To Serenity Sky, Safal Parisar Road, Daskroi, South Bopal, Ahmedabad",₹4 K/sq.ft,"Dec, 2028",,1.87 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MAA12971/200224/311228,,344,3 BHK Apartment,12,"Security Cabin, Swimming Pool, Lift(s), Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, 24x7 CCTV Surveillance, Fire Fighting System, Flower Garden, 24X7 Water Supply, Community Hall, Internal Roads & Footpaths, +3 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Nov, 2023",₹4.3K/sq.ft
Shlok Abhilasha,SHLOK REALTORS,"Nr Satyamev Vista, Gota, SG Highway, Gota, North West, Ahmedabad",Not Found,"Dec, 2026",3096 - 3546 sq.ft.,0.67 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11316/030323,,60,4 BHK Apartment,12,"Waiting Lounge, Gazebo, Solar Lighting, Swimming Pool, Vastu Compliant, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), Closed Car Parking, +28 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Mar, 2023",₹5.9K/sq.ft
Vivaan Aura,VIVAAN GROUP,"Opp. The Atlantis, Near Ganga Residency, Zundal, North West, Ahmedabad",Not Found,"Dec, 2026",158 - 204 sq.yd.,0.7 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA11761/120523,,140,"2, 3 BHK Apartments",12,"Entrance Lobby, Security Cabin, Internet / Wi-Fi, Gazebo, Solar Lighting, Fire Sprinklers, Lift(s), Terrace Garden, 24x7 CCTV Surveillance, Gymnasium, Fire Fighting System, +8 more",Not Found,Not Found,Not Found,0,2003,8,"Vivaan Group is committed to providing you a higher quality oflife and redefining the standard of living throug hinnovative reale state products. We distinctively differentiate ourselves through our unvarying focus on 3 core values-Customer Centricity, Quality, and Transparency. We have consistently stood at the forefront of design, raising the bar on aesthetics, functionality, infrastructure, andeco-friendliness.",Under Construction,"May, 2023",₹3.5K/sq.ft
Ekarth Sarvam,EKARTH GROUP,"Near GNLU, Royal Street, TP-1, PDPU Road, Koba, Gandhinagar",₹47.62 K/sq.yd,"Dec, 2027",750 - 840 sq.yd.,2.37 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Gandhinagar Urban Development Authority/RAA13603/310524/311230,,106,5 BHK Apartment,12,"Waiting Lounge, Children's Play Area, Amphitheater, Security Cabin, Salon, Yoga / Meditation Area, Gazebo, Spa, Skating Rink, Swimming Pool, Mini Theatre, +11 more",Not Found,Not Found,Not Found,0,2008,2,"""Ekarth Group"" has been a beacon of innovation and excellence in real estate. We have established a strong foothold and a reliable reputation in the real estate market. We build iconic buildings in the thriving heart of GIFT City and Gandhinagar. Our approach is based on trust, respect and professionalism for dynamic communities. Our journey of uplifting is moving towards sustainable development, creating vibrant neighbourhoods and shaping the skyline with unique structures. We are passionate about creating exceptional commercial and residential spaces that redefine the standards of modern living.",Under Construction,"Apr, 2024",₹5.6 K/sq.ft
Polaris Calice,POLARIS BUILDCON LLP,"Dholeshwar Mahadev Road, Near Swaminarayan Dham, Opp. Randesan Metro Station, Randesan, Gandhinagar",₹39.9 K/sq.yd,"Dec, 2027",279 - 295 sq.yd.,1.11 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA11904/030623,,148,3 BHK Apartment,11,"Children's Play Area, Closed Car Parking, 24X7 Water Supply, Senior Citizen Siteout, Swimming Pool, Fire Sprinklers, Lift(s), 24x7 Security, 24x7 CCTV Surveillance, Power Backup, Gymnasium",Not Found,Not Found,Not Found,0,1978,5,"Polaris Group Polaris Group has been a leader in the Real Estate industry for almost two decades. From changing skylines to ensuring inspiration and innovation in every project, their vision is based on determination & hard work. Executed residential to commercial projects, the team is undeterred & progressive. Maintaining the legacy of innovation in construction, we continue to add new milestones every year. Expertise with an environment-friendly approach, The Polaris Group reinforces by being cost-effective & implementing the latest technology in our projects to ensure complete customer satisfaction.

The visionary of all Polaris Group directors is renowned for his excellence, quality, performance, and years of land development experience. Our strength & conviction can be attributed to the dedicated & qualified team of directors. Like the Star, The Polaris Group inspires trust with its finest architecture and engineering expertise. Exceeding industry standards Polaris is making its mark in the industry which is consistently changing, evolving, and transcending expectations. It is the determination to transform every challenge into an opportunity.",Under Construction,"Jun, 2023",₹5.0K/sq.ft
Kopren Park View,SHOOLIN DEVELOPERS,"Science City Approach Road,Ognaj Bypass Road, North West, Ahmedabad",₹40.49 K/sq.yd,"Dec, 2024",145 - 200 sq.yd.,0.92 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/Ahmedabad Municipal Corporation/MN228AA10128/211022,,136,"2, 3 BHK Apartments",12,"Natural Pond, Swimming Pool, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Electrification(Transformer, Solar Energy etc), 24X7 Water Supply, Car Parking, Jogging Track, Senior Citizen Siteout, Indoor Games, +16 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Ready to Move,"Oct, 2022",₹5.3 K/sq.ft
Supercity Joy,SHRINIVAS ORGANISORS PRIVATE LIMITED,"Science City, North West, Ahmedabad",₹3.92 K/sq.ft,Under Construction,720 - 1035 sq.ft.,3.68 Acres,PR/GJ/GANDHINAGAR/KALOL/AUDA/RAA09873/280222,,754,"1, 2 BHK Apartments",12,"Children's Play Area, Yoga / Meditation Area, Fire Sprinklers, Landscaping & Tree Planting, Fire Retardant Structure, 24x7 CCTV Surveillance, 24X7 Water Supply, Multipurpose Room, High Speed Elevators, Senior Citizen Siteout, Community Hall, +5 more",Not Found,Not Found,Not Found,0,15,Not Found,...,Under Construction,"Apr, 2022",₹7.1 K/sq.ft
Vishwanath Sarathya West,VISHWANATH BUILDERS,"Shela, South West, Ahmedabad",₹4.21 K/sq.ft,Under Construction,,1.94 Acres (65% open),PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10293/A1M/140323,,658,3 BHK Apartment,12,"Grocery Shop, Swimming Pool, Landscaping & Tree Planting, Gymnasium, Fire Fighting System, Car Parking, Senior Citizen Siteout, Indoor Games, Business Center, Children's Play Area, Entrance Lobby, +15 more",Not Found,Not Found,Not Found,0,4,Not Found,"Vishwanath Builders is one of the most trusted and reputed property builders in the real estate market in Ahmedabad. Built on the fundamentals of quality, honesty, and commitment, the company founded by Mr. Hitesh Vyas has successfully given life to dreams of beautiful luxurious apartments in Ahmedabad. Mr. Hitesh Vyas is a decorated civil engineer with a clear vision and meticulous precision. He is a master of concepts and he possesses extraordinary fundamental and technical expertise for project planning. Mr. Hitesh Vyas established Vishwanath Builders in 1996. As a visionary and iconic personality, he started right from the scratch and carried on to build expectations and dreams of people in the form of residential spaces. Over the years, the company has delivered several successful and landmark projects in Ahmedabad. Every business and family look towards the future with a vision and a better tomorrow. Vishwanath Builders, the eminent real estate builders, is here to help you to build your tomorrow. Mr. Hitesh Vyas decided to create luxurious living spaces for a better tomorrow. His eye for impeccable quality and detailed design makes him an exemplary personality in the real estate business. Every project by Vishwanath Builders is an epitome of proper planning, design, concept, and luxury. As one of the most trusted real estate developers in Ahmedabad, Mr. Vyas has always tried to see through the eyes of the end user. After all, people spend their hard-earned money to build a future home with high hopes and dreams. Comfortable, luxurious and affordable living in Ahmedabad was the main aim of the company, and they have lived up to the name. Vishwanath Builders has built some of the finest projects in Ahmedabad with more than 4 million square feet of the construction area. The company has provided housing facilities to more than 1700 families and helped them live their dream. The company started its journey with Sharanam, which was their revolutionary phase in quality construction and commitment. Sharanam Apartments Satellite and Sharanam Country South Bhopal are the first few projects of the Vishwanath Builders. We are the builders of the first tallest architectural masterpiece of Gujarat – the Shaligram 1. Post Gujarat’s massive earthquake, we took the pledge to provide safe and sturdy living spaces to the people of Ahmedabad. Our Shaligram series – the Shaligram Series Satellite and the Shaligram Apartments Satellite are iconic lifestyle projects known for its luxurious living and splendour. Our Ishaan series is another feather in the cap. Ishaan Apartments Satellite was built with the dream to provide an upgraded lifestyle to people with basic amenities and luxuries together. Likewise, the Vishwanath Series was designed to provide affordable living spaces to people in the rental sector. Indeed, we have achieved our dreams through our users’ vision and their happiness is our main motto. Vishwanath Builders is not only known for its residential projects. All our affordable commercial properties in Ahmedabad are equally popular. We build commercial shops and commercial office spaces in Ahmedabad with thorough research, planning, and detailing. We welcome you onboard! Your property investment in Ahmedabad with the most trusted real estate developer shall be the best bet.",Under Construction,"Mar, 2022",₹4.3K/sq.ft
Super Shaligram,SUPER SHALIGRAM LLP,"B/h Studio Complex, S G High Way, Gota, North West, Ahmedabad",₹9.54 K/sq.ft,"Mar, 2029",1282 - 2496 sq.ft.,2.98 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523,,410,"3, 4, 5 BHK Apartments",12,"Waiting Lounge, Cricket Pitch, Gazebo, Swimming Pool, Letter Box, Fire Sprinklers, Landscaping & Tree Planting, Water Conservation, Rain water Harvesting, Mini Theatre, Gymnasium, Fire Fighting System, +21 more",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"May, 2023",₹5.6K/sq.ft
Sharanya Altura,SHARANYA GROUP,"B/h Kaveri Sohan Vistara, Opposite Taj Skyline Nr. Shilaj Over Bridge, Sp Ring Road, Shilaj, South West, Ahmedabad",₹4.89 K/sq.ft,"Dec, 2027",,2.66 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA09900/090322,,424,3 BHK Apartment,12,"Skating Rink, Letter Box, Landscaping & Tree Planting, Table Tennis, Water Conservation, Rain water Harvesting, Gymnasium, Fire Fighting System, Car Parking, 24X7 Water Supply, Gated Community, Indoor Games, +14 more",Not Found,Not Found,Not Found,0,2006,3,Sharanya Group and Challenge Infrastructure is a property development company. It is committed to transforming the dreams of customers of buying property into a reality. The main focus of the firm is on developing projects with uncompromising standards of quality. It ensures that it meets the special demands of its discerning customers and provide them with the best option in today's real estate market.,Under Construction,"Apr, 2022",₹5.3K/sq.ft
Vivaan Solitaire,VIVAAN GROUP,"Vivaan Solitaire, Near Vivaan Infinity, Zundal, North West, Ahmedabad",Not Found,"Jun, 2026",,0.38 Acres,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA11999/220623,,56,3 BHK Apartment,12,"Entrance Lobby, Security Cabin, Vastu Compliant, Fire Sprinklers, Lift(s), Landscaping & Tree Planting, Terrace Garden, Table Tennis, 24x7 CCTV Surveillance, Gymnasium, 24X7 Water Supply, +10 more",Not Found,Not Found,Not Found,0,2003,8,"Vivaan Group is committed to providing you a higher quality oflife and redefining the standard of living throug hinnovative reale state products. We distinctively differentiate ourselves through our unvarying focus on 3 core values-Customer Centricity, Quality, and Transparency. We have consistently stood at the forefront of design, raising the bar on aesthetics, functionality, infrastructure, andeco-friendliness.",Under Construction,"Jun, 2023",₹3.6K/sq.ft
Solitaire Vista 2,ANMOL CONSTRUCTION,"Opp. Popular Paradise, Satyamev Vista Road, Near Solitaire Vista, Gota, North West, Ahmedabad",₹2.72 K/sq.ft,Under Construction,,1.05 Acres,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09415/031221,,160,2 BHK Apartment,10,"Children's Play Area, 24X7 Water Supply, Car Parking, Security Cabin, Senior Citizen Siteout, 24x7 Security, 24x7 CCTV Surveillance, Power Backup, Gymnasium, Club House",Not Found,Not Found,Not Found,0,Not Found,Not Found,Not Found,Under Construction,"Dec, 2021",₹5.3 K/sq.ft
