XID,Registration Number,Apartment Type,Block Number,Carpet Area (In sq. meters),Area of Exclusive Balcony (In sq. meters),Area of Exclusive Verandah (In sq. meters),Area of Exclusive Terrace (In sq. meters),Area of Exclusive Store (In sq. meters),Any Other Area (In sq. meters),Proposed Number of Apartments,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"3 BHK-1 (101,201,301,401,501)",1,79.33,16.93,0,0,0,0,5,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,3 BHK-10 (607)with Private Terrace,1,80.49,7.61,0,90.86,0,0,1,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"3 BHK-2 (102,202,302,402,502)",1,79.76,12.96,0,0,0,0,5,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"3 BHK-3 (103,203,303,403,503)",1,80.94,13.16,0,0,0,0,5,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"3 BHK-4 (104,204,304,404,504)",1,76.19,7.61,0,0,0,0,5,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,"3 BHK-5 (107,207,307,407,507)",1,80.49,7.61,0,0,0,0,5,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,3 BHK-6 (601)with Private Terrace,1,79.33,16.93,0,98.63,0,0,1,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,3 BHK-7 (602)with Private Terrace,1,79.76,12.96,0,95.88,0,0,1,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,3 BHK-8 (603)with Private Terrace,1,80.94,13.16,0,96.7,0,0,1,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r438325,RAJ/P/2024/3420,3 BHK-9 (604)with Private Terrace,1,76.19,7.61,0,87.51,0,0,1,
r438325,RAJ/P/2024/3420,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r438325,RAJ/P/2024/3420,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r273337,RAJ/P/2025/3479,2BHK +2T (Corner Unit),B-3,71.53,9.93,0,0,0,0,24,0
r273337,RAJ/P/2025/3479,2BHK +2T (Middle Unit),B-3,70.41,9.65,0,0,0,0,48,0
r273337,RAJ/P/2025/3479,3BHK+2T,B-3,89.27,10.67,0,0,0,0,24,0
r257873,RAJ/P/2017/027,3 BHK,,124.69,8.09,0,0,0,0,12,1
r257873,RAJ/P/2017/027,3 BHK,,123.9,20.68,0,0,0,0,12,9
r257873,RAJ/P/2017/027,3 BHK,,134.9,8.09,0,0,0,0,12,0
r257873,RAJ/P/2017/027,4 BHK,,153.47,17.13,0,0,0,0,6,4
r257873,RAJ/P/2017/027,4 BHK,,153.47,17.97,0,0,0,0,6,1
r257873,RAJ/P/2017/027,4 BHK,,164.72,27.01,0,0,0,0,6,4
r257873,RAJ/P/2017/027,4 BHK,,164.72,27.27,0,0,0,0,6,5
r257873,RAJ/P/2017/027,4 BHK,Block-1,188.08,35.59,0,0,0,0,10,1
r204817,RAJ/P/2017/341,SHOP,1,17.93,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,1,13.66,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,1,16.26,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,1,20.53,0,0,0,0,0,4,0
r204817,RAJ/P/2017/341,SHOP,1,15.61,0,0,0,0,0,4,0
r204817,RAJ/P/2017/341,SHOP,1,20.25,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,5,25.64,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,13.01,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,20.53,0,0,0,0,0,3,0
r204817,RAJ/P/2017/341,SHOP,5,16.07,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,17.56,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,5,20.25,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,5,15.14,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,15.61,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,14.86,0,0,0,0,0,2,0
r204817,RAJ/P/2017/341,SHOP,5,20.72,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,SHOP,5,29.73,0,0,0,0,0,1,0
r204817,RAJ/P/2017/341,2 BHK,Block - 1,41.85,2.7,0,0,0,0,144,0
r204817,RAJ/P/2017/341,2 BHK,Block - 2,41.84,2.7,0,0,0,0,168,0
r204817,RAJ/P/2017/341,2 BHK,Block - 3,59.94,12.39,0,0,0,0,120,0
r204817,RAJ/P/2017/341,2 BHK,Block - 4,41.85,2.7,0,0,0,0,144,0
r204817,RAJ/P/2017/341,2 BHK,Block - 5,41.85,2.7,0,0,0,0,144,0
r204817,RAJ/P/2017/341,2 BHK,Block - 6,57.47,0,0,0,0,0,168,0
r204817,RAJ/P/2017/341,1 BHK,Block - 7,29.95,0,0,0,0,0,228,0
r266739,RAJ/P/2017/054,1BHK,,23.63,1.96,0,0,0,0,3,2
r266739,RAJ/P/2017/054,2BHK,,51,4.02,0,0,0,0,90,80
r266739,RAJ/P/2017/054,2BHK,,51,4.02,0,0,0,0,207,177
r266739,RAJ/P/2017/054,2BHK,,51,4.02,0,0,0,0,153,137
r266739,RAJ/P/2017/054,2BHK (small),,40.03,2.56,0,0,0,0,5,3
r266739,RAJ/P/2017/054,EWS,,23.63,1.96,0,0,0,0,24,24
r266739,RAJ/P/2017/054,LIG,,40.03,2.56,0,0,0,0,22,22
r12406,RAJ/P/2017/163,EWS (1 BHK),Block - 1,26.14,4.5,0,0,0,0,72,30
r12406,RAJ/P/2017/163,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,
r12406,RAJ/P/2017/163,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r12406,RAJ/P/2017/163,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r12406,RAJ/P/2017/163,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r12406,RAJ/P/2017/163,LIG (2 BHK),Block - 1,41.16,6.6,0,0,0,0,72,49
r12406,RAJ/P/2017/163,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view
Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any) view
Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,
r12406,RAJ/P/2017/163,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r12406,RAJ/P/2017/163,"Electrical Drawings (Showing Electrical Legend, Floor Lighting Plan, Floor Power Plan, Single Line Diagram, Fire Alarm Layout, Floor Sound System and CCTV Camera, Equivalency Chart, Lightening Protection Earthing Details, if any)",view,,,,,,,,
r12406,RAJ/P/2017/163,"Plumbing Drawings (Showing pipelines of W/S, fixtures, tape, W/C, water tank, sewerage line, drainage lines, if any)",view,,,,,,,,
r269844,RAJ/P/2017/051,2 BHK,Block - 1,49.79,11.86,0,0,0,0,2,2
r269844,RAJ/P/2017/051,2 BHK,Block - 1,52.17,12.75,0,0,0,0,3,3
r269844,RAJ/P/2017/051,2 BHK,Block - 1,52.17,23.82,0,0,0,0,2,2
r269844,RAJ/P/2017/051,2 BHK,Block - 1,49.79,5.53,0,0,0,0,36,11
r269844,RAJ/P/2017/051,2 BHK,Block - 1,52.17,3.65,0,0,0,0,90,82
r269844,RAJ/P/2017/051,3 BHK,Block - 1,67.28,19.81,0,0,0,0,4,0
r269844,RAJ/P/2017/051,3 BHK,Block - 1,67.28,5.39,0,0,0,0,70,11
r22324,RAJ/P/2022/2207,Tower - A (3 BHK Type-1),Block - 1,128.8,22.17,0,0,0,0,24,1
r85501,RAJ/P/2017/019,2 BHK (LUXURY),Block - 1,63.02,5.44,0,0,0,0,24,20
r85501,RAJ/P/2017/019,2 BHK (STANDARD),Block - 1,55.23,5.03,0,0,0,0,36,30
r85501,RAJ/P/2017/019,3 BHK,Block - 1,84.87,7.68,0,0,0,0,12,8
r85501,RAJ/P/2017/019,3 BHK (CORNER),Block - 1,84.98,8,0,0,0,0,12,12
r85501,RAJ/P/2017/019,2 BHK (LUXURY),Block - 2,63.02,5.44,0,0,0,0,48,36
r85501,RAJ/P/2017/019,2 BHK (STANDARD),Block - 2,55.23,5.03,0,0,0,0,24,8
r85501,RAJ/P/2017/019,3 BHK,Block - 2,84.87,7.68,0,0,0,0,24,9
r85501,RAJ/P/2017/019,2 BHK (LUXURY),Block - 3,63.02,5.44,0,0,0,0,24,7
r85501,RAJ/P/2017/019,2 BHK (STANDARD),Block - 3,55.23,5.03,0,0,0,0,36,20
r85501,RAJ/P/2017/019,3 BHK,Block - 3,84.87,7.68,0,0,0,0,12,1
r85501,RAJ/P/2017/019,3 BHK (CORNER),Block - 3,84.98,8,0,0,0,0,12,9
r268533,RAJ/P/2017/209,2 BHK Premium,Block - 1,50.33,4.6,0,0,0,0,240,195
r268533,RAJ/P/2017/209,Shop No.1 & 3,Block - 1,85.09,0,0,0,0,0,2,0
r268533,RAJ/P/2017/209,Shop No.2,Block - 1,74.56,0,0,0,0,0,1,1
r268533,RAJ/P/2017/209,1 BHK,Block - 2,29.98,1.68,0,0,0,0,36,17
r268533,RAJ/P/2017/209,2 BHK (Study),Block - 2,59.8,6.12,0,0,0,0,72,63
r268533,RAJ/P/2017/209,2 BHK Small,Block - 2,44.84,2,0,0,0,0,120,91
r268533,RAJ/P/2017/209,EWS,Block - 2,29.98,1.68,0,0,0,0,60,58
r268533,RAJ/P/2017/209,Shop No.4 & 7,Block - 2,72.99,0,0,0,0,0,2,0
r268533,RAJ/P/2017/209,Shop No.5,Block - 2,53.48,0,0,0,0,0,1,0
r268533,RAJ/P/2017/209,Shop No.6,Block - 2,53.69,0,0,0,0,0,1,0
r273337,RAJ/P/2017/031,"2 BHK+2 Toilets(Magnolia-1,Corner)",,70.46,9.76,0,0,0,0,24,2
r273337,RAJ/P/2017/031,2BHK+2Toilets (Magnolia-1 Corner),,70.46,9.76,0,0,0,0,24,21
r273337,RAJ/P/2017/031,2BHK+2Toilets (Magnolia-2 Middle),,68.35,10.37,0,0,0,0,48,28
r273337,RAJ/P/2017/031,2BHK+2Toilets (Magnolia-2 Middle),,68.35,10.37,0,0,0,0,48,37
r273337,RAJ/P/2017/031,3 BHK+2 Toilets ( Lavender-1),,86.83,10.72,0,0,0,0,24,19
r273337,RAJ/P/2017/031,3 BHK+2 Toilets ( Lavender-1),,86.83,10.72,0,0,0,0,24,19
r61689,RAJ/P/2017/022,2 BHK + 2 Bathroom + Store (Magnolia),,75.7,6.06,0,0,0,0,24,22
r61689,RAJ/P/2017/022,2 BHK + 2 Bathroom + Store (Magnolia),,75.7,6.06,0,0,0,0,48,46
r61689,RAJ/P/2017/022,2 BHK + 2 Bathroom + Store (Magnolia),,75.7,6.06,0,0,0,0,24,22
r61689,RAJ/P/2017/022,3 BHK + 2 Bathrooms (Lavender),,93.2,10.35,0,0,0,0,24,22
r61689,RAJ/P/2017/022,"Document Name View
Floor Plan (Door, windows, rooms, LB, Kitchen, if any) view","Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,
r61689,RAJ/P/2017/022,"Floor Plan (Door, windows, rooms, LB, Kitchen, if any)",view,,,,,,,,
r61689,RAJ/P/2017/022,3 BHK + 2 Bathrooms (Lavender),,93.2,10.35,0,0,0,0,24,15
r104230,RAJ/P/2017/041,2 BHK,Block - 1,72.82,7.4,0,0,0,0,26,2
r104230,RAJ/P/2017/041,2 BHK 1st floor (A),Block - 1,72.82,16.13,0,0,0,0,2,0
r104230,RAJ/P/2017/041,2 BHK 2nd floor,Block - 1,72.82,15.64,0,0,0,0,1,0
r104230,RAJ/P/2017/041,3 BHK,Block - 1,86.2,8.47,0,0,0,0,8,3
r104230,RAJ/P/2017/041,3 BHK 2nd floor,Block - 1,86.2,30.98,0,0,0,0,1,1
r104230,RAJ/P/2017/041,3 BHK Duplex,Block - 1,107.61,53.25,0,0,0,0,3,0
r104230,RAJ/P/2017/041,4 BHK Duplex,Block - 1,121.5,69.14,0,0,0,0,1,0
r104230,RAJ/P/2017/041,2 BHK,Block - 2,72.82,7.4,0,0,0,0,27,15
r104230,RAJ/P/2017/041,2 BHK 1st floor (A),Block - 2,72.82,16.13,0,0,0,0,2,0
r104230,RAJ/P/2017/041,2 BHK 1st floor (B),Block - 2,72.82,15.64,0,0,0,0,1,0
r104230,RAJ/P/2017/041,3 BHK,Block - 2,86.2,8.47,0,0,0,0,9,3
r104230,RAJ/P/2017/041,3 BHK 1st floor,Block - 2,86.2,30.98,0,0,0,0,1,1
r104230,RAJ/P/2017/041,3 BHK Duplex,Block - 2,107.61,53.25,0,0,0,0,3,0
r104230,RAJ/P/2017/041,4 BHK Duplex,Block - 2,121.5,69.14,0,0,0,0,1,0
r276055,RAJ/P/2017/001,3 BHK + SERVANT A,Block - 1,105.3,17,0,0,0,0,36,8
r276055,RAJ/P/2017/001,3 BHK + SERVANT B,Block - 1,105.3,17,0,0,0,0,36,7
r276055,RAJ/P/2017/001,3 BHK A TYPE,Block - 1,99.44,15,0,0,0,0,18,1
r276055,RAJ/P/2017/001,3 BHK B TYPE,Block - 1,104,10,0,0,0,0,18,1
r276055,RAJ/P/2017/001,3 BHK C TYPE,Block - 1,96.47,15,0,0,0,0,18,2
r276055,RAJ/P/2017/001,3 BHK D TYPE,Block - 1,95.35,14,0,0,0,0,18,6
r276055,RAJ/P/2017/001,3 BHK E TYPE,Block - 1,91.26,7,0,0,0,0,36,1
r276055,RAJ/P/2017/001,3 BHK F TYPE,Block - 1,85.97,9,0,0,0,0,18,3
r276055,RAJ/P/2017/001,3 BHK G TYPE,Block - 1,82.43,9,0,0,0,0,18,5
r276055,RAJ/P/2017/001,4 BHK + SERVANT,Block - 1,154,27,0,0,0,0,36,13
r276863,RAJ/P/2018/869,3BHK LUXURY,,89.25,8.95,0,0,0,0,24,24
r7470,RAJ/P/2017/158,2 BHK,,68.5,14.94,0,0,0,0,56,44
r7470,RAJ/P/2017/158,2 BHK,,68.5,14.94,0,0,0,0,56,50
r7470,RAJ/P/2017/158,2 BHK,,66.48,15.29,0,0,0,0,84,76
r7470,RAJ/P/2017/158,2 BHK,,68.5,14.94,0,0,0,0,56,56
r7470,RAJ/P/2017/158,2 BHK,,66.71,14.93,0,0,0,0,56,55
r7470,RAJ/P/2017/158,3 Bhk,,88.05,16.48,0,0,0,0,56,54
r7470,RAJ/P/2017/158,3 Bhk,,88.05,16.48,0,0,0,0,56,39
r7470,RAJ/P/2017/158,3 Bhk,,88.05,16.48,0,0,0,0,56,9
r7470,RAJ/P/2017/158,4 BHK,,118.05,19,0,0,0,0,56,28
r68510,RAJ/P/2017/298,1 BHK Type 1,,53.16,6.68,0,0,0,0,20,0
r68510,RAJ/P/2017/298,1 BHK Type 2,,41.63,4.08,0,0,0,0,96,0
r68510,RAJ/P/2017/298,1 BHK Type 3,,42.55,3.11,0,0,0,0,7,0
r68510,RAJ/P/2017/298,2 BHK Type 1,,63.03,3.62,0,0,0,0,24,0
r68510,RAJ/P/2017/298,2 BHK Type 2,,67.58,9.83,0,0,0,0,36,0
r68510,RAJ/P/2017/298,2 BHK Type 3,,70.88,12.46,0,0,0,0,36,0
r68510,RAJ/P/2017/298,2 BHK Type 4,,75.53,12.79,0,0,0,0,8,0
r68510,RAJ/P/2017/298,2 BHK Type 5,,76.36,12.79,0,0,0,0,16,0
r68510,RAJ/P/2017/298,3 BHK Type 1,,87,13.74,0,0,0,0,12,12
r68510,RAJ/P/2017/298,3 BHK Type 2,,90.39,12.08,0,0,0,0,24,7
r68510,RAJ/P/2017/298,3 BHK Type 3,,100.17,14.34,0,0,0,0,28,0
r68510,RAJ/P/2017/298,3 BHK Type 4,,100.92,7.38,0,0,0,0,4,0
r68510,RAJ/P/2017/298,commercial type 1,,562.36,0,0,0,0,0,1,0
r68510,RAJ/P/2017/298,commercial Type 2,,144.42,0,0,0,0,0,1,0
r68510,RAJ/P/2017/298,Studio,,25.85,3.22,0,0,0,0,6,0
r68510,RAJ/P/2017/298,2 BHK-DELUXE_TYPE-02,Block - 1,73.21,12.08,0,0,0,0,4,4
r68510,RAJ/P/2017/298,2 BHK-ELITE_TYPE-02,Block - 1,78.32,12.26,0,0,0,0,4,1
r68510,RAJ/P/2017/298,2 BHK-EXECUTIVE-TYPE-01,Block - 1,63.08,3.44,0,0,0,0,12,6
r68510,RAJ/P/2017/298,2 BHK-PREMIUM-TYPE-04,Block - 1,67.45,9.48,0,0,0,0,12,5
r68510,RAJ/P/2017/298,3 BHK-DELUXE-TYPE-02,Block - 1,101.54,15.33,0,0,0,0,6,4
r68510,RAJ/P/2017/298,3 BHK-DELUXE-TYPE-04,Block - 1,99.41,15.33,0,0,0,0,3,2
r68510,RAJ/P/2017/298,3 BHK-DELUXE-TYPE-06,Block - 1,97.27,15.33,0,0,0,0,5,4
r68510,RAJ/P/2017/298,4 BHK_ELITE_TYPE-02,Block - 1,141.03,15.7,0,0,0,0,2,2
r68510,RAJ/P/2017/298,V.H.O.,Block - 1,5.3,0,0,0,0,0,12,0
r276055,RAJ/P/2017/001,1 BHK Type 1,,53.16,6.68,0,0,0,0,20,0
r276055,RAJ/P/2017/001,1 BHK Type 2,,41.63,4.08,0,0,0,0,96,0
r276055,RAJ/P/2017/001,1 BHK Type 3,,42.55,3.11,0,0,0,0,7,0
r276055,RAJ/P/2017/001,2 BHK Type 1,,63.03,3.62,0,0,0,0,24,0
r276055,RAJ/P/2017/001,2 BHK Type 2,,67.58,9.83,0,0,0,0,36,0
r276055,RAJ/P/2017/001,2 BHK Type 3,,70.88,12.46,0,0,0,0,36,0
r276055,RAJ/P/2017/001,2 BHK Type 4,,75.53,12.79,0,0,0,0,8,0
r276055,RAJ/P/2017/001,2 BHK Type 5,,76.36,12.79,0,0,0,0,16,0
r276055,RAJ/P/2017/001,3 BHK Type 1,,87,13.74,0,0,0,0,12,12
r276055,RAJ/P/2017/001,3 BHK Type 2,,90.39,12.08,0,0,0,0,24,7
r276055,RAJ/P/2017/001,3 BHK Type 3,,100.17,14.34,0,0,0,0,28,0
r276055,RAJ/P/2017/001,3 BHK Type 4,,100.92,7.38,0,0,0,0,4,0
r276055,RAJ/P/2017/001,commercial type 1,,562.36,0,0,0,0,0,1,0
r276055,RAJ/P/2017/001,commercial Type 2,,144.42,0,0,0,0,0,1,0
r276055,RAJ/P/2017/001,Studio,,25.85,3.22,0,0,0,0,6,0
r276055,RAJ/P/2017/001,2 BHK-DELUXE_TYPE-02,Block - 1,73.21,12.08,0,0,0,0,4,4
r276055,RAJ/P/2017/001,2 BHK-ELITE_TYPE-02,Block - 1,78.32,12.26,0,0,0,0,4,1
r276055,RAJ/P/2017/001,2 BHK-EXECUTIVE-TYPE-01,Block - 1,63.08,3.44,0,0,0,0,12,6
