xid,Project name,Review,Sentiment
R265661,Aishwaryam Courtyard Gold,"""DON'T BUY WORRIES FOR YOUR LIFE OUT OF YOUR HARD EARNED MONEY"" Worst ever builder and management i have seen. According to them possesion means flats with four walls only. Not A single work is checked for Its quality.. Everywhere there are flaws. Even after 10 months of possesion they are asking People to beg for their own parking. Everywhere leakages, improper concreting and plaster. No time for Issue resolution. Not A single person in their team is staying with them for A month. You give 10 lakhs more somewhere else but Dont buy headache for life by booking in Aishwaryam group. Now this is the 5th time the project engineer has left the organization. BIG management issue. There is nobody to take care now. -- Just to add up... Everything is as usual and they are fooling people. No changes at all. They even do not bother about internal finishing(stair cases, lift sides, railings ) of the building even after 2.5 years and now crying to move out. Everywhere you will see the cement hills on the pillars from the dry balcony of every flat. Always remember 'If you buy any house in Essen group you are buying REPENTANCE' ",negative
R265661,Aishwaryam Courtyard Gold,"Can't give ""0"" star. Pathetic planning. Built ""sewage treatment plant"" in open. Coming horrible foul smell. Lot of pump noise coming from STP 24*7. Pathetic builder. ",negative
R265661,Aishwaryam Courtyard Gold,"Bakwas builder. All kitchen trolleys came out within 6 months of possession. Roofs are leaking in many flats. Walls are hollow, We cannot put a 10 ltr geyzer also due to weakness in construction of walls. ",negative
R265661,Aishwaryam Courtyard Gold,"Deciding on Aishwaryam Comfortgold has completely changed my home search. The spacious layouts bring a luxurious lifestyle that's unmatched. The location is fantastic, making it easy to get to everything I need. I'm really happy with my new home decision! ",positive
R265661,Aishwaryam Courtyard Gold,"The largest master bedroom is a game-changer! Aishwaryam Comfortgold offers a lifestyle of opulence. The location is unbeatable, with easy access to everything you need. So glad we made this choice for our new home. ",positive
R265661,Aishwaryam Courtyard Gold,Facing leakage issue in my flat aishwaryam courtyard phase 2 C building. Think Before investing ,negative
R265661,Aishwaryam Courtyard Gold,As owner of a flat here kindly avoid buying new flats at any cost DO NOT BUY HOME AT AISHWARYAM 1. The flats claim to be tallest in PCMC so he ready to climb up stairs every single time especially for people on top floors so if you want to shed weight go ahead LIFTS DONT WORK 2. If you pay Rs X you get comfort and construction quality of -X pathetic material bad quality leaks and damages and fittings of worst possible quality for premium home ,negative
R265661,Aishwaryam Courtyard Gold,Worst quality of construction...non technical workers and management team ...wastage of money... ,negative
R10208,VTP Township Codename  Pegasus,Best project in eastern Pune with top class amenities.,positive
R10208,VTP Township Codename  Pegasus,Project is really promising but approach is not. You may get lost if you don't know exact way . Builder promises that there would be a good road but you never know what and how promises work. I believe had they made approach road first people wouldn't have thought twice to invest. ,negative
R10208,VTP Township Codename  Pegasus,Best township in eastern pune in recent time. Should visit at least once. ,positive
R10208,VTP Township Codename  Pegasus,Nice project just 1.5 km from eon IT park Kharadi ,positive
R10208,VTP Township Codename  Pegasus,Good place..a little far but that's okay ,positive
R10208,VTP Township Codename  Pegasus,"Amazing Township Concept, luxurious Amenities ",positive
R367377,Sharanya Skyvue,"Very Good And Spacious Flats, Nicely Maintained ",positive
R367377,Sharanya Skyvue,Very beautiful and specious flats. Price is on little higher side ,positive
R367377,Sharanya Skyvue,Nice elevation.premium location and locality in thaltej area. ,positive
R367377,Sharanya Skyvue,One of the best upcming luxurious 4BHK homes... perfect location and well connected to metro and state highway and other amenities.. ,positive
R367377,Sharanya Skyvue,"Good quality work, very professionals and project brefing by the sales head person Mr. Dipesh Nair was also good. ",positive
R367377,Sharanya Skyvue,Great Society of Thaltej 17 Floor High rise apartment Great place to stay ,positive
R367377,Sharanya Skyvue,Nice architecture in this Building ,positive
R367377,Sharanya Skyvue,Very good place  Nice appartments,positive
R267281,SBP City of Dreams,"Worst Project and rules in this project. Unnecessary charges for parking, house purchasing and things. I cannot even meet my friends living in this society. The management and the security guard are little unprecedented and little unpolite. What does it mean Bachelor's are not allowed, are we criminals? If someone complaints about us or something I would be the most apologetic person you can find however making judgment on behalf of one individual or some individual, this is rouge. ",negative
R267281,SBP City of Dreams,"I am very disappointed with my experience at SBP City of Dreams. I lived in their property for almost 10 months, during which time I paid a security deposit and monthly maintenance fees. However, it has now been 4 months since I moved out, and the management is not helping me get my security deposit refunded.

Despite my repeated follow-ups, the maintenance staff is not responsive and is not providing any updates on the status of my security deposit return. I have been contacting them every other day, but they do not seem to be making any effort to resolve this issue.

The lack of customer service and transparency from SBP City of Dreams management is extremely frustrating. They have not provided any breakdown of the maintenance fees I paid or explained why my security deposit is being withheld. This has caused me a lot of unnecessary stress and financial inconvenience.

I would not recommend living at SBP City of Dreams, as they clearly do not prioritize taking care of their residents, even after they have moved out. Their poor service and unresponsiveness are unacceptable. I am very disappointed with my overall experience and hope others can learn from my situation.",negative
R267281,SBP City of Dreams,One of the. Worst society.. after the 10pm it’s difficult to sleep peacefully due to noise pollution of bikes car … drunkers are enjoying openly as shouting … using abussive language….. as per rental this society is overpriced….. ,negative
R267281,SBP City of Dreams,"See the construction quality of SBP 116, don't waste your hard earned money. These flats are hardly 6 years old and see the condition. Water is flowing through the cracks of walls. ",negative
R267281,SBP City of Dreams,"Good VIBE TO LIVE
CLEAN ATMOSPHERE
GOOD SECURITY
CCTV CAMERA ON EVERY 6 APARTMENTS
JUST A CONSTRUCTION GOING ON WHICH MAY DISTURBS YOU",positive
R267281,SBP City of Dreams,"The quality of material used in this project is much more than worse .
These people literally loot there customers . The quality of doors and walls is zero .

Number of cracks in structure.. we should invest in SBP projects ..
Its my biggest mistake.

Believe me I am writting this on my personal experience
I have to replace each and everything
Worst quality",negative
R267281,SBP City of Dreams,Very very bad experience as Street dogs are with in campus face so much difficulty very bad experience,negative
R267281,SBP City of Dreams,"After flat payment done they don't know you for any of your issues.
Maintenance department never pick any call they sit idle but never pick call whenever ever you visit maintenance office they confirm issue & said soon concern person visit at ur place but no one comes to resolve the issue in a week after 3-4 visit they said plumber busy tha, carpenter busy tha .. kaal Tak aa jayega Cheapest product use unprofessionals behaviour and cheapest quality of doors, tiles and all other sanitary materials.. litterly wastage of money
Avoid buying flats in Sbp any projects. They show some things else & provide something else",negative
R206111,Windsor Troika,"We purchased an apartment at Windsor Troika and had it registered in December 2024. We have had a satisfying experience during the entire transaction, to begin with we dropped directly at the site sales office itself and were greeted by very courteous Mr. Mukunda the Sales Head who made us comfortable ,took us through the introduction to the property ,Site visit & the initial booking process.

Following this we have had a very comfortable experience purchasing our apartment, thanks to the co-operation & support provided by CRM team Geetha, and Deepak from the very beginning till the time of registration & handover of the property.

Both the Sales & CRM teams were always available to answer our questions and guide us through the queries & required procedures .

We appreciate their care in creating a truly memorable experience in purchasing the property .",positive
R206111,Windsor Troika,"We recently purchased a property here , and we couldn't be more satisfied with our experience. The space itself is fantastic — it’s well-ventilated and designed to provide ample natural light, creating a comfortable and refreshing environment.

From the very beginning, the customer relationship management (CRM) team@ Geetha Mam, was incredibly helpful and cooperative. She ensured that every step of the process was smooth and clear. The sales team was equally supportive, always available to answer our questions and guide us through the entire procedure.

Their assistance made the property registration process seamless, and we truly felt supported throughout.
Will share more about our experience living there once we move in.",positive
R206111,Windsor Troika,"I liked spacious of the apartment. I had seen multiple apartments nearby. By far this was the spacious one. The natural light and air, is also very good. The walking path is good for a long walk.
The team from Windsor was very helpful during visit and all the steps in buying process.
I recommend it for any one looking around the same area.",positive
R206111,Windsor Troika,"One of the best properties available in Bangalore. Big and spacious flats. Very well ventilated and well lit flats. The most important features are the wonderful balconies in each flat and wide, spacious corridors. ",positive
R206111,Windsor Troika,"We recently purchased an apartment in Windsor Troika.Our entire experience of purchasing was smooth.The Windsor team are really hospitable especially Mukund Sir ,Ajay and Geetha..They all guided and supported us in our purchase journey. I would recommend everyone to purchase their dream house Windsor Troika. ",positive
R206111,Windsor Troika,"Recently in 1st wk of dec we bought a new 2BHK flat at windsor Troika begur road bangalore. Realy it is an astonishing and a pleasant moment for me to own a house as per my requirements in a short time of 15 days. The visit, negotiations and the office work to complete the registration, possesion and handing over the keys were so fast and smooth because of the efficient CRM and staff in the office. As far as the Troika structure quality and my stay in the house yet to experience. How ever I am confident that all comforts will be available as per the promises made by the builder because this is a 2nd deal with windsor in 10 years. I can honestly say that Windsor Troika is one amongst the best projects with large space and well ventilated flats. The builder has paid great attention to quality, which is evident in the structure and finishing. The location is ideal, with easy access to work hubs, markets, and schools. The amenities are fantastic, and the overall atmosphere is peaceful. Whether it’s the green spaces or the modern clubhouse, everything here is designed to give you a high quality of life. ",positive
R206111,Windsor Troika,"Windsor Troika is a rare breed among the long list of builders in Bangalore and a game changer in the real estate market. We have recently booked a 3BHK apartment and must confess that our apartment, common amenities, building complex, construction quality and pricing have exceeded all our expectations. We are indeed lucky and blessed to have this deal
worked out in a seamless manner by a team of efficient CRM and Sales staff at Windsor.

The property at Akshaya Nagar is considered a strategic and growing location, between the yellow and pink metro lines. This makes it attractive for working professionals to commute to their main work locations across Bengaluru. The complex is located in a serene and peaceful environment with well-maintained common areas, broad walkways, beautiful gardens, infinity pool, tennis court, badminton court and cricket practice pitch to name a few highlights. The Multistoried car parking is rare to witness in apartment complexes and this saves a lot of space for the owners.

While we have visited many complexes, Windsor Troika is definitely unique. Firstly, the land is not cluttered with multiple towers. A simple model with all major amenities and just two towers spread around 4 -5 Acres shared among 330 apartments gives everyone a lot of living and breathing space. Needless to say, one gets quite a bit of undivided property share. While there is definitely a good sense of community living, one can utilize these top-class amenities without waiting in long queues, quite common with large apartment complexes having many towers with shared amenities.

We would like to sincerely thank MD Srinivas Rao for being kind enough and allocating us two adjacent car parking spaces at the floor of our choice. We sincerely wish him all the very best for his future endeavors and hope that Windsor Edifices gets listed in the equity markets and reach greater heights with a large market capitalization.",positive
R206111,Windsor Troika,"The amenities here are excellent, including a modern clubhouse, swimming pool, gym, and beautifully landscaped gardens. It's clear that a lot of attention has been given to providing a premium living experience for residents. Additionally, the Cauvery water connection ensures a reliable and consistent water supply, which is a huge plus. ",positive
R206111,Windsor Troika,"Windsor Troika Apartment has truly exceeded my expectations in every aspect! The flats are incredibly spacious, with natural sunlight flooding every corner of the home, creating a bright and positive living environment. One of the standout features is the massive balconies that stretch along the entire length of all rooms, offering a perfect space to relax and enjoy fresh air.

The amenities here are excellent, including a modern clubhouse, swimming pool, gym, and beautifully landscaped gardens. It's clear that a lot of attention has been given to providing a premium living experience for residents. Additionally, the Cauvery water connection ensures a reliable and consistent water supply, which is a huge plus.

The entire buying process was seamless, from the initial inquiry to the final handover. Overall, I am thoroughly impressed with Windsor Troika and would highly recommend it to anyone looking for a spacious, well-ventilated home with great amenities!",positive
R206111,Windsor Troika,"I went for my friends birthday party tehre which turned out to be a sleepover which I really enjoyed. The night securities where on point in ensuring our safety both inside and outside the apartment. It is a really cool apartment with luxurious houses, floating swimming pool, all kinds of activity rooms and an amazing home theatre. Honestly, the best apartment in begur road ",positive
R379918,Nimbus Express Park View 2 Low Rise,"I feel sad about dropping a review about the society where I live. Structure quality is good at this competitive price, and the maintenance and the management of amenities promised by the builder became a headache to all of us.

We all are afraid for our safety nowadays based on the following points:
- Water leaking to the basement from various places (expansion joints, damaged pipes, blocked drain system, etc.)
- Leak water in the basement creates seepage, weakening the pillars, creating a bad smell, spreading mosquitos, etc.
- Frequent breakdown of lifts. Randomly freezes on any floor and the rescue system barely works.
- Security is a big concern here
- The maintenance team is not up to the mark

I've attached photos of the present situation of the project. Have a look at those.",negative
R379918,Nimbus Express Park View 2 Low Rise,"Bad quality of construction work delivered like problem in walls plaster, bad quality of sanitary fittings were installed, seepages all over the interior and exterior.

So anyone interested in buying new flat must check all points before buying.

Maintenance team is not doing their jobs properly. Security is not up to mark.

So dear think before your decision.",negative
R379918,Nimbus Express Park View 2 Low Rise,"This society is situated at greater Noida, beside Yamuna Express way . It's a quiet, good place for living. Flat price and rental price are quite cheaper than Noida . ",positive
R379918,Nimbus Express Park View 2 Low Rise,"The Express Park View-2 is a critically well located residential apartments. It is located right at the entrance of Greater Noida and on the junction from where Yamuna Expressway initiates. This provides good connectivity to upcoming Jewar Airport, Universities like GBU, NIU, Galgotia etc. at one end and Noida along with well planned green upcoming sub-city of Greater Noida. Metro-connectivity is at a 10-15min drive.

It's enjoys neighbourhood of a good gendry of Purvanchal Royal City and Shopping complex in front of it for daily needs.
The facilities are currently very good with well maintained swimming pool, gym, yoga, library, billiards, kids play zone, etc.

The peripheral apartments enjoys the far sight sun setting view of green farmland, hindan river, Noida 152 high rise development across the River and Metro line along with Noida-G.Noida express as a Cityscape.

People living are gentle and well behaved mix of elderly & mid-ages owners along with young students living on rent (due to neighbourhood universities) in the premises.
Nimbus employees and current maintenance team are cooperative.

All in all, beauty lies in the eyes of beholder. It depends upon personal preferences. Comparing to other upcoming about to delivered residential projects, Nimbus-The Park View-2 is best suitable for those who looks forward to a affordable property for habitation which has higher chances for appreciation in future.
",positive
R379918,Nimbus Express Park View 2 Low Rise,"Not a place where Family will want to stay.
But it is heaven for Drinkers and Bachlors.
Condition of corridors, Lifts and Security is very bad .
",negative
R379918,Nimbus Express Park View 2 Low Rise,The rooms are adequate for a family of four but if in case you don't have a family then your friends will have to go through the arduous and onerous trial of the association called NIMBUS security. They will make your friends wait for an hour even when you have the owner with you. And if in case someone chooses to ignore them then it's fine. You can do what you want. Extremely incompetent and unprofessional.The view is amazing though. ,negative
R379918,Nimbus Express Park View 2 Low Rise,"Staying here since more than a year. Best for residential as well as the society is equipped with Club House, Gym, Swimming Pool, Table Tennis, Basketball, Cricket & Badminton. ",positive
R379918,Nimbus Express Park View 2 Low Rise,Good place for residents with all facilities. We stayed for 4 days in a Airbnb property. ,positive
R379918,Nimbus Express Park View 2 Low Rise,"I own a flat here,it's been 8 months we shifted from Delhi trust me there are alot eating joints here ,good families are living here.nice club House ,swimming pool and playing area seepage is the issue but thats almost in every society..nice secure homely atmosphere. ",positive
R379918,Nimbus Express Park View 2 Low Rise,This nimbusmarket toilet are no hygienic and 1 to 2 weeks not clean and maintainace not clean market bathroom so badly I am not comfortable this maintainance work 😡😡 ,negative
R379918,Nimbus Express Park View 2 Low Rise,Living in this apartment society near the expressway has been fantastic! The convenient location provides easy access to transportation and amenities. The well-maintained facilities and friendly community make it a great place to call home. Highly recommend for anyone seeking comfort and convenience. ,positive
R11112,Shriram Sameeksha,"I live here in Bangalore for 3 years.
Shriram Sameeksha, Bangalore, is the worst place. Google reviews should include negative Star options so places like this can get real ⭐

Trash plastic burning smell is ample if you like it.

Vehicles move in any direction.

People love to write their love letter on other people's vehicles rear windows.

This property is in Bangalore but most securities that work here can't communicate in English or Kannada.",negative
R11112,Shriram Sameeksha,"Look and feel of the properties are good enough. Customer care and buying experience has been good. Access road is really horrible, repeated requests to provide at least drivable mud road has fallen to deaf ears. Developer has assured that road will be constructed on possession, but condition of road is so bad that we cant believe those words. Update: Road is built. ",positive
R11112,Shriram Sameeksha,"This is an excellent place to live. It has a big football/ tennis court and even a single side- basket ball court. There is even a swimming pool, with sand parks followed by a club house for entertainment. The houses too are great. There is even a supermarket inside this apartment for buying groceries and other essentials. ",positive
R11112,Shriram Sameeksha,Very small apartments. Rent is about 18 to 22 k. We can get nice and big individual houses with lesser rent. ,negative
R11112,Shriram Sameeksha,"Below 1 rating not possible.
It's pathetic.
There is a proverb in Hindi ""Hathi ke daant dikhane ke liye kuch aur khane ke liye kuch aur !"".
In this apartment the main attraction shown are field and space outside house(because facilities inside house are highly under criticism by the owners as well openly).
If we talk about amenities - those are only to show... nothing available literally for kids. Someone will understand only when they start staying.",negative
R11112,Shriram Sameeksha,"Will never ever go with Shriram Properties again, worst decision to buy a flat with them. They will not even respond to your queries or assign someone to resolve your issue... It's 'we don't care attitude' once the flat is sold. Parking was assigned 200 meters away from flat which was highlighted but the mails were left unread and unacknowledged. ",negative
R11112,Shriram Sameeksha,"I would not want to give any stars to this builder.

Regret the decision of buying a property at Shriram Sameeksha. No complains on the quality of the construction, however, the customer service of the company is pathetic.

The staff have a very "" I don't care attitude because they know that even if a customer goes to top management as well, there will be no resolution.

The handover of the apartment was due last Mar 2016. In spite of the delay we have not made any noise and have been prompt on payment. Now there is a very petty issue of tiles to be changed which the builder is not able to rectify and is only prolonging to give handover. The builder is also threatening to charge interest for withholding the last payment and the staff is expecting the customer to follow up with their internal teams for the work to be done.

Have gone up to the COO desk, and have not got any resolution from there as well. So obviously you can't expect much from the staff when management itself is not concerned.
12
",negative
R11112,Shriram Sameeksha,"Very good apartment with spacious environment and packed with essential amenities,,, overall a very good place to live with peace and happy,,, but they are very poor in issuing khatas for the flats,,,, because that much delay we are facing in getting our khatas even we have been paid for it in right time. Sriram group pls consider this khata issue and make the khata delivery fast as soon as possible ",positive
R11112,Shriram Sameeksha,"The apartment has lot of amenities inside.

Drawback is the connectivity to the nearest bus stop.

If you depend on your own vehicle, then it's a ideal place to invest.",positive
R11112,Shriram Sameeksha,"Excellent property next to Airforce Forest and the Jarakbandi nature reserve, though away from hustle and bustle of city , this property is just 5 kms from Jalahalli metro station and 12 kms from MG road. It is rera registered , apartment complex has got oc and khata . ",positive
R22804,Pareena Mi Casa,"Pros:
1. Backup is available
2. Clubhouse (Active Amenities): Basketball, Badminton (Outdoor), Swimming Pool (Outdoor), Gym, Yoga Room (Though it can accommodate max. 5 people)
3. Clubhouse (In-progress Amenities): Banquet Hall, Amphitheatre
4. Commercial Complex: It's in-progress
5. Flat sizes (1000+ Sq Ft for 2 BHK, 1500+ & 2000+ Sq Ft. for 3BHKs)
6. Balcony size is good
7. Prices are lower than Tulip societies (with similar amenities) as it's in the same locality of Tulip

Cons:
1. Maintenance team is very lazy. They don't do any work without following up minimum 5 times. They will send you to builder team and builder team will send you to maintenance for small small works. It's pathetic in this regard.
2. Construction finishing is not done well. You will have to spend 3-4 months to get the finishing done as they don't do the work without following up minimum 5 times.
3. On backup, even one AC is not working.
4. It gets a lot of cold in winters here as it's an open area with cool breezes.",negative
R22804,Pareena Mi Casa,Great property with several amenities. It has been managed well by facility team. Project and CRM team are very responsive and supporting. ,positive
R22804,Pareena Mi Casa,"The only positive aspect of this society is that the flats are spacious and well-designed, offering ample living space. However, the overall experience is far from satisfactory. The construction quality is poor, with seepage issues appearing within the first year itself. The maintenance team is highly unresponsive, often ignoring complaints or taking weeks—sometimes even months—to resolve basic issues.

One of the biggest concerns is electricity. Despite having a DG backup, power cuts are frequent, especially during summer, as the management seems to prefer running on DG to charge higher rates. While all nearby societies, including those around Pareena Micassa, have electricity, this society conveniently remains without power, as per the maintenance team’s explanation. The maintenance charges are also unreasonably high, yet the services provided are subpar.

Another major drawback is the internet service. No external internet providers are allowed because the society has an exclusive tie-up with a local vendor, whose service is highly unreliable. Frequent disruptions make it frustrating, and to make matters worse, residents are forced to purchase the in-house Wi-Fi just to get an extension.

Overall, the society functions in a monopolistic manner, prioritizing profits over resident welfare. Even rural areas seem to have better electricity availability than what is provided here.",negative
R22804,Pareena Mi Casa,The Pareena society is really going to be a nice place for living out of hustle busle of city. The CRM team has been extremely cooperative and helpful in carrying out all the work and still committed to good quality before hand over. ,positive
R22804,Pareena Mi Casa,"Just received the keys of our flat here in Tower 5, Pareena Micasa. Tower 1,2,3 looks very much occupied, and in tower 5 also, people have started moving in and getting interiors done. Playground is functional and pool/ club would be functional within a month as per project manager here. The flat and overall Society looks in good condition. Looking forward to get shifted here soon :) ",positive
R22804,Pareena Mi Casa,"Very good society and also all available facilities, CRM team members are very cooperative and politely and specially Very good behaviour of Mr Priyanshu Pandey and very supportive.",positive
R22804,Pareena Mi Casa,"Society is good , behaviour of crm team is good as well as maintained ",positive
R22804,Pareena Mi Casa,"Excellent environment with all facilities. CRM team, specially Priyanshu is very cooperative and provides me better service. Thank you Pareena Micassa. ",positive
