Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,SATYAMEV LUXOR,PARTNERSHIP FIRM,27,15,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,SATYAMEV LUXOR,PARTNERSHIP FIRM,27,15,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11845/240523,SUPER SHALIGRAM,"12,084","7,844.97","SHANTAMANI FARM, B/H STUDIO COMPLEX, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,410,5,SUPER SHALIGRAM LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11836/230523,Satatya Syril II,"4,431","2,091.66","FP No. 112/2, Survey No. 147/2, T.P.S. No. 64 (Tragad),, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2028,Residential/Group Housing,168,1,RIDDHISH BUILDCON,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11115/311222,SANKALP GWALA,"4,887","3,023.32","SANKALP GWALA, BH RAJ THAL RESTAURANT LANE, NEAR KAVISHA HOUSE, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2024,Residential/Group Housing,160,4,RIDDHISH BUILDCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10879/111122,The Kimana Towers,"7,628","3,131.1","The Kimana Towers, Opp. Amrutbaug Party Plot, Bopal Ambli Road, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2026,Residential/Group Housing,76,1,SUN VN DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,55,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10685/230922,Oeuvre 3,"7,648","2,414.84","Opposite Devkutir Bunglows, Near Parshwanath Jain Temple, Behind Shell Petrol Pump, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2027,Residential/Group Housing,110,1,MADHAV INFRAVISION,PARTNERSHIP FIRM,33,16,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10656/130922,Swati Symphony,"4,981","3,022.71","Nr. Doordarshan Tower, Drive-In Road, Ahmedabad City, Ahmedabad, Gujarat,",30/09/2027,Residential/Group Housing,104,2,SWATISANDHYA PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,20,19,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10653/120922,SHALIGRAM LUXURIA,"10,956","3,743.2","SHALIGRAM LUXURIA, B/S SHALIGRAM CORPORATES,, Ahmedabad City, Ahmedabad, Gujarat,",30/11/2025,Residential/Group Housing,104,4,SHALIGRAM HEIGHTS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,20,25,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10581/240822,PRATHAM HEIGHTS,"1,591","1,101.25","SURVEY NO. 695/1 F.P NO. 50/1, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2025,Residential/Group Housing,54,1,SHANU BUILDCON,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10292/A1R/050423,THE GOLD SKY VILLA,"7,993","4,667.56","THE GOLD SKY VILLE, SHILAJ CIRCLE, TOWARDS BHADAJ CIRCLE, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2026,Residential/Group Housing,109,3,SHANU BUILDCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA10154/050522,ARCHWAY,"12,173","8,708.31","Final Plot no. 19 Rev. Survey no. 131/P of TP scheme no. 34, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2026,Residential/Group Housing,280,7,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,COMPANY,17,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,HARMONY HARIKESH,"11,594","8,066.93","opp. Super bungalows, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2027,Residential/Group Housing,348,8,ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,COMPANY,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09838/210222,HARMONY HARIKESH,"11,594","8,066.93","opp. Super bungalows, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2027,Residential/Group Housing,348,8,MAHAPRABHU RESIDENCY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,5,4,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09547/251221,Gharana,"4,250","2,688.23","Gharana, Opp. Sankalp Iconic Tower, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2025,Residential/Group Housing,72,3,SHEETAL INFRASTRUCTURE PRIVATE LIMITED,COMPANY,18,9,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09476/151221,CLOUD 9 (PHASE-2),"16,390","10,098.5","CLOUD 9, F.P. No. 648, TP 21, Nr. Statue of Jhansi Ki rani,, Ahmedabad City, Ahmedabad, Gujarat,",30/09/2024,Residential/Group Housing,110,2,CLOUD 9 INFRASPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,7,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09415/031221,SOLITAIRE VISTA-2,"4,251","2,837.77","SOLITAIRE VISTA-2 OPP. POPULAR PARADISE, Ahmedabad City, Ahmedabad, Gujarat,",30/10/2025,Residential/Group Housing,160,4,ANMOL CONSTRUCTION,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09077/A1R/040422,Swati Senor,"4,590","2,525.35","Swati Senor, Besides Shell Petrol Pump, Opp. Swagat Bunglow BRTS Stand,, Ahmedabad City, Ahmedabad, Gujarat,",30/06/2026,Residential/Group Housing,54,1,SWATI CONSTRUCTION,PARTNERSHIP FIRM,21,21,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA09057/150921,OEUVRE 2,"5,099","2,164.42","OEUVRE 2, BESIDE RAJPATH CLUB, BEHIND RUDRAKSH BUNGALOWS,, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2025,Residential/Group Housing,105,1,MADHAV OEUVRE 2 LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA08770/140721,Malabar Exotica,"7,656","2,801.38","Malabar Exotica, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2024,Residential/Group Housing,224,4,GANESH HOUSING CORPORATION LIMITED,COMPANY,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07800/181220,SOLITAIRE VISTA,"1,973","1,341","OPP. POPULAR PARADISE, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2023,Residential/Group Housing,80,2,ANMOL CONSTRUCTION,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07419/A1R/010121,Spectra,"10,535","4,715.68","Survey No. 336,357,359,360,361/A,362/A, F.P.-58+60/1, TPS-3 (Bopal), Ahmedabad City, Ahmedabad, Gujarat,",31/12/2024,Residential/Group Housing,300,6,SAANVI NIRMAN SPACELINK,PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07132/A1R/311220,SANKALP GRACE 3,"3,914","2,276.16","Sankalp Grace 3, FP No. 12/2, Ahmedabad City, Ahmedabad, Gujarat,",30/06/2024,Residential/Group Housing,96,2,SANKALP ORGANISERS PRIVATE LIMITED,COMPANY,13,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA07126/A1R/100321,Sharanya Skyvue,"5,465.53","3,738.28","Sharanya Skyvue, Opp. times Square, Ahmedabad City, Ahmedabad, Gujarat,",30/06/2026,Residential/Group Housing,128,2,Sharanya Buildspace LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06978/A2R/310523,Swati Parkside,"20,632","13,416.75","Swati Parkside, Applewoods Township , Ahmedabad City, Ahmedabad, Gujarat,",30/06/2025,Residential/Group Housing,384,4,SWATISANDHYA PROCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,20,19,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA06468/131219,ORCHID LEGACY,"4,05,332.39","15,415.17","APPLEWOODS TOWNSHIP, , Ahmedabad City, Ahmedabad, Gujarat,",30/06/2024,Residential/Group Housing,476,4,GOYAL SAFAL DEVELOPERS,PARTNERSHIP FIRM,40,105,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122,THE NORTH,"6,308","3,526","Opp Antrix Colony BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat, 380058",29/02/2024,Residential/Group Housing,88,1,TRUE VALUE BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03638/A2R/240122,THE NORTH,"6,308","3,526","Opp Antrix Colony BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat, 380058",29/02/2024,Residential/Group Housing,88,1,TRUE VALUE BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03398/120918,WATERLILY-PHASE 5,"58,134","2,210","SHANTIGRAM, ADANI TOWNSHIP, Ahmedabad City, Ahmedabad, Gujarat, 382423",30/06/2020,Residential/Group Housing,103,2,ADANI TOWNSHIP & REAL ESTATE COMPANY PRIVATE LIMITED,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02005/150318,SHYAM HILLS,"23,429.34","2,371.73","""SHYAM HILLS"" NEAR G.S.T.CROSSING, Ahmedabad City, Ahmedabad, Gujarat, 382470",31/12/2018,Residential/Group Housing,646,16,SHREE RANG INFRASTRUCTURE PVT LTD,COMPANY,6,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01901/070318,NORTH PARK Phase - 4 &7,"22,124","14,051","Shantigram, Ahmedabad City, Ahmedabad, Gujarat, 382423",30/06/2026,Residential/Group Housing,37,4,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,COMPANY,18,13,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01824/010318,NORTH PARK (Phase-2 And 3),"46,143","34,228","Shantigram, Ahmedabad City, Ahmedabad, Gujarat, 382423",30/06/2026,Residential/Group Housing,40,8,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,COMPANY,18,13,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01521/030218,"Water Lily Ph-2 (Towers-C1,C2,C3,C4)","16,499","13,217","Shantigram, Ahmedabad City, Ahmedabad, Gujarat, 382423",30/06/2018,Residential/Group Housing,4,4,Adani Township and Real Estate Company Private Limited,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
