Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
11,PUSHPA RESIDENCY,S.S ENGINEERING (BARODA),"8, SHILPA APPARTMENT, SANKAR GHANEKAR MARG OPP. GHOKALE ROAD, SOUTH DADAR Vadodara 400028",Residential/Group Housing,ssengineering123@rediffmail.com,9223295382,PR/GJ/VADODARA/VADODARA/Others/RAA01525/050218,Vadodara,05-02-2018
12,PRANAV BUNGALOWS,RAVI CORPORATION,A-1 KALPANA NAGAR SOCIETY NEW VIP RING ROAD Vadodara 390022,Residential/Group Housing,pranavshah1981@yahoo.com,9979660221,PR/GJ/VADODARA/VADODARA/Others/RAA04312/EX1/081121,Vadodara,11-12-2018
13,SAIVILLA BUNGLOWS,SAIVILLA ENTERPRISE,B-244 SWAMINARAYAN NAGAR NIZAMPURA Vadodara 390002,Residential/Group Housing,dsdprajapati@gmail.com,9824020955,PR/GJ/VADODARA/VADODARA/Others/RAA04029/151118,Vadodara,15-11-2018
14,KP VILLAS,GALAXY DEVELOPERS,"1004-1005,SHAPATH V, OPP.KARNAVATI CLUB,S.G.HIGHWAY, VEJALPUR Ahmedabad 380051",Residential/Group Housing,sales@kpinfra.com,9979857381,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA01712/EX1/060519,Ahmedabad,21-02-2018
15,ASTHA HOMES(mahemdabad),B N Projects Private Limited,"32, Nirant Park House Opp Sun & Step Club, Thaltej, Ahmedabad Ahmedabad 380059",Residential/Group Housing,bnprojects007@gmail.com,9727752880,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01936/080318,Ahmedabad,08-03-2018
16,NILKANTH GREENS,NILKANTH INFRASTRUCTURE,"NILKANTH GREEN, NR.RELIANCE PETROL PUMP, SARDAR PATEL RING ROAD, VASTRAL. Ahmedabad 382418",Residential/Group Housing,nilkanth.infra@gmail.com,9825276935,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01673/170218,Ahmedabad,17-02-2018
17,Pushpak City,Shivam Land Developers,"Pushpak City, Nr. Nayanramya Club, Mahemdabad Road, Hathijan, Ahmedabad-382445 Ahmedabad 382445",Residential/Group Housing,ghanshyam71281@gmail.com,9925236186,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01869/EX1/140219,Ahmedabad,05-03-2018
18,SHIVALIK HOMES,SHIVALAY CORPORATION,"23, ITIHAS RESIDENCY NIKOL Ahmedabad 382350",Residential/Group Housing,prakashshingala2014@gmail.com,9879605575,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01296/120118,Gandhinagar,12-01-2018
19,VRUNDAVAN BUNGLOWS,SNEH INFRASTRUCTURE,A/11 PARTH APPARTMENT BAPUNAGAR Ahmedabad 382350,Residential/Group Housing,vrundavan77@gmail.com,9925145450,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA03433/170918,Gandhinagar,17-09-2018
20,KP COURTYARD,POOJA DEVELOPERS,"1004-1005, Shapath V, Opp. Karnavati Club S.G.Highway, Vejalpur Ahmedabad 382210",Residential/Group Housing,accounts@kpinfra.com,9979857381,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA01713/EX1/100419,Ahmedabad,21-02-2018
21,ARSHAD MERIDIAN,blue diamond corporation,"1 MENA GURJARI SOCIETY P.T.COLLEGE ROAD, PALDI Ahmedabad 380007",Residential/Group Housing,bluediamond9327@gmail.com,9825034488,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00571/EX1/020319,Ahmedabad,01-11-2017
22,NEEL DEEP TOWER,PRAKRUTEE ENTERPRISE,72 B KALYAN BAUG SCOEITY MANJALPUR Vadodara 390011,Residential/Group Housing,to_dharmeshpatel@yahoo.co.in,9825822550,PR/GJ/VADODARA/VADODARA/Others/RAA04213/011218,Vadodara,01-12-2018
23,Pramukh Signature,PSY DEVELOPERS,"704, 7TH FLOOR, PRATIKMALL, KOBA HIGHWAY, GANDHINAGAR Gandhinagar 382421",Residential/Group Housing,pramukhsignature11310@gmail.com,9825308625,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01166/301217,Gandhinagar,30-12-2017
24,Narayan Highlife Duplex Apartment,NARAYAN REALTY PRIVATE LIMITED,4A Amarakunj Society Urmi Vaccine Road Vadodara 390007,Residential/Group Housing,kartik@narayanrealty.com,9825309060,PR/GJ/VADODARA/VADODARA/Others/RAA01735/230218,Vadodara,23-02-2018
25,KRISHNA RESIDENCY,SHIVAM DEVELOPERS,"KRISHNA RESIDENCY, NEAR ZEN SCHOOL PADRA VADODARA Vadodara 391440",Residential/Group Housing,sanjaypatel4842@yahoo.com,9227104842,PR/GJ/VADODARA/PADRA/Others/RAA04704/EX1/180419,Vadodara,21-01-2019
26,THE OTHERSIDE,SHANTIKRUPA ESTATES PRIVATE LIMITED,"901, MILESTONE BLDG DRIVE IN ROAD, THALTEJ Ahmedabad 380054",Residential/Group Housing,info@shantikrupa.com,9909985402,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523,Ahmedabad,12-12-2017
27,Pramukh Elegance,PSY PROJECTS,"704, 7th floor Pratik Mall Koba Highway Gandhinagar 382421",Residential/Group Housing,pramukhelegance290917@gmail.com,9825308625,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01171/010118,Gandhinagar,01-01-2018
28,Siddharth Lifestyle Homes,Shree B R Patel Corporation,"Beside DPS School, Harni Dena Road Harni Vadodara 390022",Residential/Group Housing,anand@brpatelgroup.com,9724594110,PR/GJ/VADODARA/VADODARA/Others/RAA02669/EX1/270120,Vadodara,15-05-2018
29,Satyamev Riviera,Shree Gayatri Infracon,"FF/20 Sarthi Complex, Nr Visat Petrol Pump Sabarmati, Ahmedabad. Ahmedabad 380005",Residential/Group Housing,satyamevrivera@gmail.com,9824538519,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA01233/060118,Gandhinagar,06-01-2018
30,SHUBH PIONEER,Shubh Associates,"block no.:- 78,f.p.:-136, t.p. scheme no.:-03 ,at village:- koba,gandhinagar Gandhinagar 382421",Residential/Group Housing,shubhpioneer4@gmail.com,8866555858,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA02205/310318,Gandhinagar,31-03-2018
31,Narayan AURA,NARAYAN REALTY PRIVATE LIMITED,4A Amarakunj Society Urmi Vaccine Road Vadodara 390007,Residential/Group Housing,kartik@narayanrealty.com,9825309060,PR/GJ/VADODARA/VADODARA/Others/RAA02416/190418,Vadodara,19-04-2018
32,SATYAM FABULA,SIDDHI VINAYAK CREATION,SAHYOG APPARTMENT 2 NEW SAMA ROAD Vadodara 390024,Residential/Group Housing,satyamexoticaduplex@gmail.com,9898437712,PR/GJ/VADODARA/VADODARA/Others/RAA03793/231018,Vadodara,23-10-2018
33,GOVERDHAN II,SHREEJI ENTERPRISE,"SB 7, PRANAM COMPLEX, URMI DINESH MILL ROAD , Vadodara 390020",Residential/Group Housing,thakkar360@gmail.com,9687888225,PR/GJ/VADODARA/VADODARA/Others/RAA03624/081018,Vadodara,08-10-2018
34,"STAR RESIDENCY FOR TOWER A+B, C, D+E",SATYA DEVELOPERS,"STAR RESIDENCY, T. P. NO. 1 BHAYLI Vadodara 391410",Residential/Group Housing,jayesh_76@hotmail.com,9974740999,PR/GJ/VADODARA/VADODARA/Others/RAA02662/EX1/100322,Vadodara,14-05-2018
35,MONALISA LAKEWOODS,MONAREECA ENTERPRISES,"32, Queens Park Premises Co.Op.Hou.Soc. Santacruz (W),Mumbai Mumbai City 400049",Residential/Group Housing,monalisalakewood@gmail.com,9825017079,PR/GJ/VADODARA/VADODARA/Others/RAA04640/080119,Vadodara,08-01-2019
36,Union Residency,Sumangal Corporation,"4TH FLOOR, UNION SQUARE GhOD DOD ROAD Surat 395007",Residential/Group Housing,office@unionreality.in,9825114959,PR/GJ/SURAT/SURAT CITY/SUDA/RAA03496/260918,Surat,26-09-2018
37,"Mangla Greens (Tower No. A-7 to A-13, B-8, 9, 20, 21)",Manish Kiritbhai Patel ( Proprietor of Mangla Enterprise),10th Floor Ozone Dr Vikram Sarabhai Marg Vadiwadi Vadodara Vadodara 390023,Residential/Group Housing,greens.mangla@gmail.com,9825045989,PR/GJ/VADODARA/VADODARA/Others/RAA00529/251017,Vadodara,25-10-2017
38,Shree Tirupati Balaji Town,WEAL DEVELOPERS,"Chaitanya Vill, Opp. Narmad Liabrary, Ghoddod Road, Surat Surat 395007",Residential/Group Housing,wealdeveloper@gmail.com,9824150240,PR/GJ/SURAT/SURAT CITY/SUDA/RAA03602/EX1/110220,Surat,05-10-2018
39,ABHAY RATNA SHINE,Ashokkumar Nahar (Proprietor of Abhay Ratna Developers),"B/2 Nilam Park Anand Bunglows Nr Hetvi Tower, 100 ft Prahladnagar Road, Satelite Ahmedabad 380015",Residential/Group Housing,abhayratnashinerera@gmail.com,8200798615,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00783/EX1/150918,Ahmedabad,21-11-2017
40,ICON GREEN,VINAYAK ASSOCIATES,"ICON GREEN, B/H ANU CO-OP SOCIETY DANTESWER Vadodara 390004",Residential/Group Housing,icon.green01@gmail.com,9426306131,PR/GJ/VADODARA/VADODARA/Others/RAA02546/040518,Vadodara,04-05-2018
41,Shreedhar Century,MAHIDHAR CONSTRUCTION PRIVATE LIMITED,"2 Kamal Nayan Bungalows, Nr. Garden Residency Basant Bahar 3 & 4, Gala Gymkhana Road, South Bopal Ahmedabad 380058",Residential/Group Housing,milap.patel1411@gmail.com,9879051816,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA06048/EX1/291220,Gandhinagar,17-09-2019
42,ROYAL GOLD,ROYAL ENTERPRISE,"ROYAL GOLD, B/H ROYAL RESIDENCY, NR PARIWAR CROSSING, 27.00 MT. ROAD, WAGHODIYA ROAD, VADODARA Vadodara 390019",Residential/Group Housing,prajapati_shankarbhai@yahoo.com,9824020955,PR/GJ/VADODARA/VADODARA/Others/RAA04132/EX1/100419,Vadodara,27-11-2018
43,SHREE RAM RESIDENCY,M/S SITARAM DEVELOPERS,"b-5 vidhyavihar soc,new sama road,vadodara b-5 vidhyavihar soc,new sama road,vadodara Vadodara 390002",Residential/Group Housing,hardikvadgama9626@gmail.com,9377619626,PR/GJ/VADODARA/VADODARA/Others/RAA01478/EX1/230119,Vadodara,01-02-2018
44,HIGHSTREET,LAND MARK DEVELOPERS,"REVA INFRASTRUCTURE INC., 7-ASHISH COMPLEX, SARDAR NAGAR MAIN ROAD, NR. ASTRON CINEMA, RAJKOT Rajkot 360001",Residential/Group Housing,landmarkdevelopers63@gmail.com,9825078383,PR/GJ/RAJKOT/RAJKOT/Others/RAA04305/111218,Rajkot,11-12-2018
45,SILICON LUXURIA,silicon buildcon,"BLOCK NO.388 , F.P. NO.105 T.P. S.NO.14, R.S. 409/1 MOJE PAL Surat 395009",Residential/Group Housing,siliconluxuriarera@gmail.com,9825108788,PR/GJ/SURAT/SURAT CITY/SUDA/RAA01860/050318,Surat,05-03-2018
46,DIVYAPUNJ BUNGALOWS,Ashapura Infratech Private Limited,"B-403 Millenium Plaza,opp. Swaminarayan Temple Vastrapur,Ahmedabad-380015. Ahmedabad 380015",Residential/Group Housing,ashapura.infratech1@gmail.com,9712936271,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01032/161217,Ahmedabad,16-12-2017
47,GOVARDHAN GALAXY,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, OPP DASTAN FARM S.P RING ROAD, KATHWADA Ahmedabad 382330",Residential/Group Housing,nkpatel9626@gmail.com,9879564588,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04154/EX1/170519,Ahmedabad,28-11-2018
48,GIRIRAJ GREENS,SHREE KALYANKRUPA DEVELOPERS,"GIRIRAJ GREENS, NR. SEVAKUNJ NR. NH-8, AJWA ROAD Vadodara 390019",Residential/Group Housing,info.girirajgreens@yahoo.com,9825069191,PR/GJ/VADODARA/VADODARA/Others/RAA01101/261217,Vadodara,26-12-2017
49,SHREEJI RESIDENCY,SHREEJI REALTY,"5, Shiv Vatika Society, Opp. Paswanath Flats, Manjalpur, Vadodara. Vadodara 390011",Residential/Group Housing,shreejiresidency@gmail.com,9824011129,PR/GJ/VADODARA/VADODARA/Others/RAA03892/301018,Vadodara,30-10-2018
50,Anand garden,Shreeji Enterprise,Anand Garden Opp. Vedant Villa Narayan Garden Road Gotri Vadodara 390021,Residential/Group Housing,mjsatiya@gmail.com,9825014671,PR/GJ/VADODARA/VADODARA/Others/RAA02131/220318,Vadodara,22-03-2018
51,HARI DARSHAN DUPLEX,SHRI HARI DEVELOPERS,NEAR BILL SCHOOL BILL ROAD Vadodara 391410,Residential/Group Housing,dpatel6040@yahoo.com,9924119040,PR/GJ/VADODARA/VADODARA/Others/RAA05655/050719,Vadodara,05-07-2019
52,KESHAV GALAXY,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, NR. DASTAN FARM S.P. RING ROAD, KATHWADA, AHMEDABAD Ahmedabad 382430",Residential/Group Housing,hemang@galaxygroup.info,9979889891,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00606/061117,Ahmedabad,06-11-2017
53,PRASHANTI GREENS,Amin Corporation,"41/10 Nisarg Apt, Pratapgunj, Vadodara 390002",Residential/Group Housing,aayushamin@gmail.com,9662261555,PR/GJ/VADODARA/VADODARA/Others/RAA03209/210718,Vadodara,21-07-2018
54,STAVAN SIGNATURE,INN ZEN BUILDCON PRIVATE LIMITED,"5, BHAKTINAGAR SOCIETY, NR. BOOTBHAVANI TEMPLE, VEJALPUR Ahmedabad 380051",Residential/Group Housing,raj.bathi@yahoo.com,9924999924,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA04142/281118,Gandhinagar,28-11-2018
55,TULSI HEIGHTS,PRAGATI ASSOCIATES,"BH. DABHOI DASHALAD BHAVAN , NR. PRANAV BUNGLOWS OPP. L & T KNOWLEDGE CITY , AJWA WAGHODIA RING ROAD Vadodara 390019",Residential/Group Housing,tulsiheightsvadodara@gmail.com,8460076750,PR/GJ/VADODARA/VADODARA/Others/RAA02623/EX1/140219,Vadodara,09-05-2018
56,BHAVYA DARSHAN,MOHAK REALTY,"BHAVYA DARSHAN , NR. SOMA TALAV RAILWAY CROSSING WAGHODIA TARSALI RING ROAD , TARSALI Vadodara 390025",Residential/Group Housing,rmeerk@gmail.com,9879578438,PR/GJ/VADODARA/VADODARA/Others/RAA02983/250618,Vadodara,25-06-2018
57,GALAXY SPECIA,GALAXY MALL PRIVATE LIMITED,"GALAXY HOUSE, NR. DASTAN S.P. RING ROAD, KATHWADA, NARODA, AHMEDABAD Ahmedabad 382430",Residential/Group Housing,hemang@galaxygroup.info,9979889891,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00413/111017,Ahmedabad,11-10-2017
58,ELITE SAHAJANAND,CONTRACT REALITY,"8, ELITE HOME SANDHNA SOCIETY, SUBHANPURA Vadodara 390007",Residential/Group Housing,contracts_inc3@yahoo.com,9825281575,PR/GJ/VADODARA/VADODARA/Others/RAA02273/EX1/300519,Vadodara,05-04-2018
59,VICENZA HIGHBREEZE,PAWAN INFRAHOMES PRIVATE LIMITED,"vicenza cloud 9 , kalali talsat road vadodara Vadodara 390012",Residential/Group Housing,dalia_kp@yahoo.co.in,9227106388,PR/GJ/VADODARA/VADODARA/Others/RAA04773/300119,Vadodara,30-01-2019
60,Akanksha,B. Nanji A,"""Moorti Bunglow"", 5, Ashoknagar B/H Sundravan, Satellite Ahmedabad 380015",Residential/Group Housing,akankshabnanji@gmail.com,9327010273,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00930/EX2/010421,Ahmedabad,06-12-2017
61,Sun Residency,Pyramid Properties,"4, GAUTAM NAGAR RACE COURCE, ALKAPURI Vadodara 390007",Residential/Group Housing,baghelchetan848@yahoo.com,9824009166,PR/GJ/VADODARA/VADODARA/Others/RAA02350/EX2/140219,Vadodara,12-04-2018
62,NEELKANTH STATUS,JAYKISHAN B KARDA (PROPRIETOR OF MARUTI CORPORATION),"343,NAYANNAGAR SAIJPUR BOGHA ,KRISHNANAGAR Ahmedabad 382340",Residential/Group Housing,neelkanth555@yahoo.com,9824614552,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01900/060318,Ahmedabad,06-03-2018
63,ADITYA 18,ADITYA INFRASTRUCTURE,1 D ADITYA BUNGALOWS THALTEJ Ahmedabad 380054,Residential/Group Housing,adityainfrastructure18@gmail.com,8153805566,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00837/281117,Gandhinagar,28-11-2017
64,Eden I,SHREE SIDDHI INFRABUILDCON LLP,"D-1001, Ganesh Meridian, Opp. Amiraj Farm, New Gujarat High Court ,S.G.Highway, Ahmedabad 380060",Residential/Group Housing,nikitpatel@shreesiddhi.co.in,9825010981,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00114/080917,Ahmedabad,08-09-2017
65,aaviskaar enclave,AMAR PRAVINCHANDRA SHETHNA H.U.F.,"8/1725, ASHAPURI SADAN, MAIN ROAD, GOPIPURA, SURAT Surat 395001",Residential/Group Housing,aaviskaar@gmail.com,9898055655,PR/GJ/SURAT/SURAT CITY/SUDA/RAA02955/EX1/080419,Surat,20-06-2018
66,Ganesh Genesis,Shiv Siddhi Corporation,"D-1001/1002, Ganesh Meridian Nr. New Gujarat High Court, S.G.Highway, Ahmedabad 380060",Residential/Group Housing,info@shreesiddhi.co.in,9979999141,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00515/EX1/201218,Ahmedabad,23-10-2017
67,Shreeji Maher,Shreeji Developers,"Shreeji Maher, PDPU Road, Raysan, Gandhinagar 382007",Residential/Group Housing,adhyaru_ankit@yahoo.com,9998810720,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA02141/230318,Gandhinagar,23-03-2018
68,SHREEJI UPVAN,Propritorship of VARSHABEN SANJAYBHAI PATEL,"2-BHAKTINANDAN BUNGLOW NR, SAI CHOKDI MANJALPUR,VADODARA-390011 Vadodara 390011",Residential/Group Housing,shashipatel20886@gmail.com,9898414126,PR/GJ/VADODARA/VADODARA/Others/RAA03822/251018,Vadodara,25-10-2018
69,Ratnaakar Beaumonde,Nishant Construction Private Limited,"801-802 Regency Plaza, Anandnagar Crossroads Satellite Ahmedabad 380015",Residential/Group Housing,rera@ratnaakar.com,9979851444,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00664/101117,Ahmedabad,10-11-2017
70,TREZURE ENCLAVE,TAKSHASHILA DHORAJIA INFRASTRUCTURE,"TAKSHASHILA TREZURE ENCLAVE NR. SHILAJ CROSSING, SHILAJ Ahmedabad 380054",Residential/Group Housing,shaileshdhorajia@yahoo.com,9426502365,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02269/050418,Ahmedabad,05-04-2018
71,dev residency,kalp associates,"4. royal wings duplex, sama savli road, vadodara Vadodara 390008",Residential/Group Housing,nileshsapra412021@gmail.com,9909907456,PR/GJ/VADODARA/VADODARA/Others/RAA03303/310718,Vadodara,31-07-2018
72,THE OTHERSIDE,SHANTIKRUPA ESTATES PRIVATE LIMITED,"901, MILESTONE BLDG DRIVE IN ROAD, THALTEJ Ahmedabad 380054",Residential/Group Housing,info@shantikrupa.com,9909985402,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523,Ahmedabad,30-12-2019
73,"Water Lily Ph-2 (Towers-C1,C2,C3,C4)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-2@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01521/030218,Ahmedabad,03-02-2018
74,"Water Lily Ph-4 (Towers - C5,C6,C11,C12)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-4@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01511/030218,Ahmedabad,03-02-2018
75,"Water Lily Ph-3 (Towers-A6,A7)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,waterlily-3@adani.com,9099995963,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA00576/021117,Ahmedabad,02-11-2017
76,"MEADOWS PHASE-2 (TOWER - D,E&F)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-2@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01519/030218,Ahmedabad,03-02-2018
77,"MEADOWS PHASE I ( Tower A,B&C )",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-1@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01520/030218,Ahmedabad,03-02-2018
78,MEADOWS PHASE-4 (TOWER -J&K),Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-4@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01518/030218,Ahmedabad,03-02-2018
79,VEDANT RESIDENCY,VEDANT ENTERPRISE,NR. SUN RESIDENCY WAGHODIA DABHOI RING ROAD Vadodara 390019,Residential/Group Housing,chintushah11@yahoo.com,9558371552,PR/GJ/VADODARA/VADODARA/Others/RAA04051/EX1/070220,Vadodara,17-11-2018
80,SHIVALIK-IV,OM ORGANIZER,"B/22 KASTURBA NAGAR,NEAR NUNTAN VIDHYALYA NEW SAMA ROAD, VADODARA Vadodara 390008",Residential/Group Housing,b.sanjup@gmail.com,9574516804,PR/GJ/VADODARA/VADODARA/Others/RAA02947/EX2/181121,Vadodara,19-06-2018
81,SARVOPARI FLORA,BAPASHREE INFRASTRUCTURE PRIVATE LIMITED,"BASEMENT 28 SAURASTHRA SOCIETY NEAR NEW VIKAS GRUH ROAD, FATEHPURA, PALDI Ahmedabad 380007",Residential/Group Housing,ketan@biplgroup.com,9925000660,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA04291/071218,Ahmedabad,07-12-2018
82,PARK WOODS,SHREE SAI DEVELOPERS,"F/1, SHREE JALANAND TOWNSHIP GORWA REFINERY ROAD, GORWA Vadodara 390016",Residential/Group Housing,parkwoods1412@gmail.com,7984679235,PR/GJ/VADODARA/VADODARA/Others/RAA02748/EX2/160922,Vadodara,30-05-2018
83,BARSANA RESIDENCY,ADITYA DEVELOPERS,1 HARI VANDAN UNDERA Vadodara 391330,Residential/Group Housing,adityadevlopers@gmail.com,8980004580,PR/GJ/VADODARA/VADODARA/Others/RAA03046/290618,Vadodara,29-06-2018
84,MAPLE LEAF HEIGHTS,SHREEJI REALITIES,"4 ,5,6 Kailash Complex Old Padra Road Vadodara 390020",Residential/Group Housing,chintanshah1110@yahoo.in,9879755577,PR/GJ/VADODARA/VADODARA/Others/RAA01653/EX1/A1R/140622,Vadodara,16-02-2018
85,MANGAL MURTI APPARTMENT,KUNAL KUNTI ASSOCIATES,110 FIRST FLOOR SHIVAM COMPLEX NR ANAND SURGICAL HOSPITAL SAIJPUR BOGHA Ahmedabad 382345,Residential/Group Housing,nkkourani1954@gmail.com,9327010035,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01202/040118,Ahmedabad,04-01-2018
86,SVASAAR PRAVESH 1,SVASAAR VALUE BUILDERS,FF SUPER MARKET BH HANDLOOM HOUSE ASHRAM ROAD Ahmedabad 380009,Residential/Group Housing,svasaarpravesh11@gmail.com,9426064634,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA03995/EX1/230721,Ahmedabad,06-11-2018
87,"MEADOWS PHASE-3 (TOWER - G,H&I)",Adani Township and Real Estate Company Private Limited,"Atreco House, CBD-Shantigram, Nr.Vaishnodevi Circle, S.G.Highway, Ahmedabad 382421",Residential/Group Housing,meadows-3@adani.com,9099995963,PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00577/021117,Ahmedabad,02-11-2017
