Sr.No.,Project Name,Promoter Name,Promoter Address,Project Type,Email Id,Mobile No,Project Registration No.,District,Approved on
11,KARNAVATI PLATINUM K9,B K Construction Co. ( Sole Proprietor- Bhisham J Ramani),"17/A, Kamla society, Stadium Road, Navrangpura, Ahmedabad Ahmedabad 380009",Commercial,bhishamramani@yahoo.com,9227227997,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00624/071117,Ahmedabad,07-11-2017
12,suryan monolith,SUTARIYA DEVELOPERS,"a-804,shapath-4, opp.karnavati club, s.g.highway, ahmedabad Ahmedabad 380015",Commercial,info@sutariya.in,9978002222,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA02569/EX1/270219,Gandhinagar,07-05-2018
13,AKSHAR COMPLEX,MUKHI DEVELOPERS,"B-2 KRISHNA BUNGLOWS, MOTERA Gandhinagar 382424",Commercial,shyamakshar11@yahoo.com,7874781466,PR/GJ/GANDHINAGAR/DEHGAM/AUDA/CAA04108/261118,Gandhinagar,26-11-2018
14,NIRMIT SQUARE,GIRNAR PROJECTS PRIVATE LIMITED,"S.P.No.1, Girnar Scooter Compund Nr. Vepari Maha Mandal, Odhav Ahmedabad 382410",Commercial,nirmitsquarerera@gmail.com,9924444301,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA04099/EX1/220121,Ahmedabad,22-11-2018
15,BHADANI ERA,DELUXE CONSTRUCTION CO.PVT.LTD,"R.S. NO.18/1+19/3, BL.NO.20 BHARTHANA, VESU Surat 395007",Commercial,bhadaniera@gmail.com,9974117799,PR/GJ/SURAT/SURAT CITY/SUDA/CAA03523/EX1/300419,Surat,27-09-2018
16,ATRIA BUSINESS ZONE,SHYAM BUILDCON,"ATRIA BUSINESS ZONE OPP. ARAVIND MILL,ASARWA, AHMEDABAD Ahmedabad 380016",Commercial,atriabusinesszone@gmail.com,9998720159,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02390/EX1/180619,Ahmedabad,17-04-2018
17,M SQUARE,NIRVAN DEVELOPERS,"B.No.6,11,22,25, M square, Opp. CNG pump, Kadodara char rasta, Kadodara Surat 394327",Commercial,nirvandevelopers.knp@gmail.com,9974085054,PR/GJ/SURAT/PALSANA/SUDA/CAA03583/041018,Surat,04-10-2018
18,DEVI KRUPA,ARJUNBHAI GADHER,"GANDHIGRAM MAIN ROAD NR. POLICE CHOWKI, RAIYA ROAD, Rajkot 360007",Commercial,devikruparajkot@gmail.com,9322512316,PR/GJ/RAJKOT/RAJKOT/Others/CAA05256/110419,Rajkot,11-04-2019
19,J9 Highstreet,Rachna Organizers,"Opp Celestial Dream, Vesu Canal Road Vesu Surat 395007",Commercial,j9highstreet@gmail.com,9998220335,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02014/150318,Surat,15-03-2018
20,TITAANIUM,vissa developers,"BESIDE WHITE TEMPLE, ALTHAN-KHAJOD ROAD Surat 395017",Commercial,vissa.developers@gmail.com,9979875918,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02170/260318,Surat,26-03-2018
21,DEVASHRAY ARCADE AND IND. ESTATE,NARANBHAI D DESAI PROPRIETOR OF N. K. DEVELOPERS,"31, KARNAVATI BUNGLOWS, OPP. BARODA EXPRESS HIGHWAY, CTM Ahmedabad 380026",Commercial,nkd2107@gmail.com,9825321132,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01656/EX1/070219,Ahmedabad,16-02-2018
22,Vallabh Industrial Park,Vrundavan Buildcon,"BH HP Petrol Pump, OPP.Kadmawala Mill Narol, Isanpur Highway Ahmedabad 382405",Commercial,vrundavanbuildcon09@gmail.com,9426687388,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02583/080518,Ahmedabad,08-05-2018
23,Fortune The Shopping Island,SOKU DEVELOPERS PRIVATE LIMITED,FORTUNE THE SHOPPING ISLAND BESIDES GALAXY CIRCLE PAL Surat 394510,Commercial,sokudevelopers@gmail.com,9824327891,PR/GJ/SURAT/SURAT CITY/SUDA/CAA02045/170318,Surat,17-03-2018
24,VIVEKANAND GARMENT PARK,Rajvi Developers,"VIVEKANAND GARMENT PARK,MOTIPURA CHOKDI SHAHWADI NAROL Ahmedabad 382405",Commercial,vivekanandgarmentpark@gmail.com,9825095591,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00615/A1C/150419,Ahmedabad,07-11-2017
25,REVATI PLAZA,REVATI INFRASTRUCTURE,SUR NO 427 1 NIKOL SP RING ROAD NIKOL Ahmedabad 382350,Commercial,revatiinfra@gmail.com,9925048482,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA04543/311218,Ahmedabad,31-12-2018
26,JAHNAVI ARCADE,JEET CORPORATION,Jahnvi arcade ODHAV Ahmedabad 382415,Commercial,dudhat.mukesh97@gmail.com,9998939871,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02843/060618,Ahmedabad,06-06-2018
27,Golden Arcade,Akshar Engineering (Electronics),"Plot No. C-14, Golden Arcade, Opp. Govt. Polytechnic Sector-25, G.I.D.C., Gandhinagar. Gandhinagar 382044",Commercial,goldengroup1997@gmail.com,9825018262,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA01744/230218,Gandhinagar,23-02-2018
28,Dharmkunj Arcade,Shreeji Developers,"DHARMKUNJ ARCADE, OPP GIRIVAR PRIDE ODHAV RING ROAD CIRCLE, ODHAV Ahmedabad 382415",Commercial,rajni.spacecitiz@gmail.com,9824603757,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA03597/051018,Ahmedabad,05-10-2018
29,ANANTA SIGNATURE,SIGNATURE DEVELOPERS,C/O ANANTA SIGNATURE NEAR DENA CROSSING MOTNATH MAHADEV ROAD HARNI Vadodara 390022,Commercial,chintan@anantabuilders.com,9033321122,PR/GJ/VADODARA/VADODARA/Others/CAA03715/161018,Vadodara,16-10-2018
30,G9 BUSINESS CENTER,MANIYA DEVELOPERS,"BLOCK NO. 126/B KHARDVA, CHORASI Surat 395009",Commercial,p.s.vaghani@gmail.com,9824011110,PR/GJ/SURAT/CHORASI/SUDA/CAA01818/010318,Surat,01-03-2018
31,PIRAMYD ICON,PIRAMYD ASSOCIATES,"PIRAMYD ICON, NEAR PALANPUR JAKATNAKA ADAJAN, SURAT Surat 395009",Commercial,piramyd_s@yahoo.co.in,9825129395,PR/GJ/SURAT/SURAT CITY/Others/CAA00104/080917,Surat,08-09-2017
32,AAGAM EMPORIO,K.D. CORPORATION,"POOJA ABHISHEK, SKIP FLOOR OPP. JAIN TEMPLE , ATHWA LINES SURAT Surat 395007",Commercial,aagamemporio2017@gmail.com,9825149990,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01855/EX1/190918,Surat,05-03-2018
33,RADHA RAMAN TEXTILE MARKET PHASE-1,DMD DEVELOPERS PRIVATE LIMITED,"A 16-21, RRTM B/H Bharat Cancer Hospital, Saroli Surat 395010",Commercial,dmdauravesu1@gmail.com,9887664049,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01102/261217,Surat,26-12-2017
34,Radha Raman Textile Market Phase 2,DMD DEVELOPERS PRIVATE LIMITED,"A 16-21, RRTM B/H Bharat Cancer Hospital, Saroli Surat 395010",Commercial,dmdauravesu1@gmail.com,9887664049,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01590/A1C/190922,Surat,09-02-2018
35,West Gate ( Block C ),Aditya Constructions,True Value House Opp Sundervan Near ISRO Satellite Ahmedabad 380015,Commercial,truevaluenirman@hotmail.com,8980063000,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01012/131217,Ahmedabad,13-12-2017
36,the capital,Sahjanand Buildtech LLP,"THE CAPITAL SCIENCE CITY ROAD,SOLA Ahmedabad 380060",Commercial,sahjanandgroup@gmail.com,9825209245,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00409/111017,Ahmedabad,11-10-2017
37,HENY ARCADE,PARTH CORPORATION,"HENNY HEIGHTS, DABHOLI GAM DABHOLI Surat 395004",Commercial,parth@bpshah.com,9979650832,PR/GJ/SURAT/SURAT CITY/SUDA/CAA05287/160419,Surat,16-04-2019
38,Pramukh Cyprus,PSY Associates,"704, 7TH FLOOR, PRATIKMALL, KOBA HIGHWAY, GANDHINAGAR Gandhinagar 382421",Commercial,pramukhcyprus@gmail.com,9824681886,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA01445/EX1/161018,Gandhinagar,30-01-2018
39,Arvind Megaestate,Ahmedabad Industrial Infrastructure (One) LLP,"24, Government Servant's Society Near Municipal Market, Off. C G Road, Navrangpura, Ahmedabad Ahmedabad 380009",Commercial,rera.megaestate@arvindinfra.com,9824502024,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00730/161117,Ahmedabad,16-11-2017
40,Raajmahal Mall,Raajmahal Developers,"SH NO. 301-303 ,3rd floor Richmond Plaza , Vesu Surat 395007",Commercial,raajmahal@pradeepsinghi.com,9825146850,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01184/EX2/310820,Surat,03-01-2018
41,ZENON PHASE-1,ZENON ENTERPRISE,"Near Opera House, Bamroli Road Surat Surat 395007",Commercial,project.zenon1@gmail.com,9824054678,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01906/EX3/EX1/140622,Surat,07-03-2018
42,SHREE RANG VILLAGE,SHREE RANG INFRACON,"214,PRATIK MALL GANDHINAGAR KOBA HIGHWAY Gandhinagar 382421",Commercial,ar.apshah@gmail.com,9558255555,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA04913/250219,Gandhinagar,25-02-2019
43,Gopal Charan Industrial Estate,Hari Krushn Buildcon,"Nr. Alok Estate, B/h. Vepari Mahamandal Odhav S.P. Ring Road Circle, Odhav, Ahmedabad-382415 Ahmedabad 382415",Commercial,kjlakhani59@yahoo.com,9328608193,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01343/180118,Ahmedabad,18-01-2018
44,Vishala Supreme,G Geveraiya Developers,"Vishala Supreme, Opp. Torrent Power, B/h. Surya Kiran Bungalows, Ring Road, Nikol, Ahmedabad - 382350 Ahmedabad 382350",Commercial,b.gevariya@yahoo.com,9327008122,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01482/010218,Ahmedabad,01-02-2018
45,SAI PLATINA,SAI KAIVAL BUILDERS,"Sai Platina, Opp Om Complex Bamroli Char Rasta, Bamroli Vadod Road Surat 394210",Commercial,saikaivalbuilders@gmail.com,9825178400,PR/GJ/SURAT/SURAT CITY/SUDA/CAA04128/271118,Surat,27-11-2018
46,GOKUL SOLITAIRE,DCR INFRA,"F.P NO. 96/1, GOKUL SOLITARE VIP ROAD, VESU Surat 395007",Commercial,ronak4243@gmail.com,9824301496,PR/GJ/SURAT/SURAT CITY/Others/CAA04456/261218,Surat,26-12-2018
47,MADHAV ORCHID,MADHAV CREATORS,"MADHAV ORCHID, OPP. ROYAL RESTAURENT, S.P.RING ROAD, ODHAV, AHMEDABAD ODHAV Ahmedabad 382415",Commercial,apexengineers2006@gmail.com,8141721647,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00649/091117,Ahmedabad,09-11-2017
48,Vraj Plaza,S S INFRASTRUCTURE,"61, umiya nagar society near gujarat vidhyapith college, randheja Gandhinagar 382620",Commercial,shailesh.8desai@gmail.com,9979662626,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA03878/291018,Gandhinagar,29-10-2018
49,BINALI,B. Nanji A,"""Moorti Bunglow"", 5, Ashoknagar B/H Sundravan, Satellite Ahmedabad 380015",Commercial,binalicomplex@gmail.com,9327010273,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01789/EX1/070322,Ahmedabad,28-02-2018
50,ISCON EMPORIO,ADITYA GRAND INFRALINK LLP,"ISCON HOUSE, OPP. ASSOCIATED PETROL PUMP C G ROAD Ahmedabad 380009",Commercial,jgupta@iscongroup.com,9825030008,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00141/130917,Ahmedabad,13-09-2017
51,Sahjanand Business Park,Sahjanand Developers,"7, Karia Complex, AMC Building, East Zone, Virat Nagar Cross Road, Odhav, Ahmedabad - 382415 Ahmedabad 382415",Commercial,sahjananddevelopers1@gmail.com,7698218008,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00952/081217,Ahmedabad,08-12-2017
52,RADHE SIGNATURE,RADHE ASSOCIATES,RADHE SIGNATURE KUDASAN Gandhinagar 382421,Commercial,radheysignature@gmail.com,9099902909,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/CAA04390/EX1/050719,Gandhinagar,16-12-2018
53,One Indiabulls Vadodara,Sentia Infrastructure Limited,M 62 63 First Floor Connaught Place New Delhi 110001 M 62 63 First Floor Connaught Place New Delhi 110001 New Delhi 110001,Commercial,oibpbarodarera@indiabulls.com,9601265048,PR/GJ/VADODARA/VADODARA/Others/CAA00691/EX2/050319,Vadodara,14-11-2017
54,MAANSQUARE,MAANCORPORATION,"MAAN SQUARE, CANAL ROAD,ALTHAN Surat 395017",Commercial,maancorpo@gmail.com,9909920999,PR/GJ/SURAT/CHORASI/SUDA/CAA02159/EX1/250521,Surat,26-03-2018
55,Takshashila Metro Industrial Park,RaghavConpro LLP,"18/A Sardar Patel Co op. Housing Society Near Raman nagar, Maninagar Ahmedabad 380008",Commercial,tmvatva@gmail.com,9824039584,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01112/EX1/200219,Ahmedabad,27-12-2017
56,SHETH CORPORATE TOWER,"NIRMAN HOTELS PVT. LTD.,","CHAMPARANYA BUNGLOW, NEAR HOTEL PARK PLAZA ELLISBRIDGE, Ahmedabad 380006",Commercial,bhaveshseth@yahoo.com,9819871666,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00647/EX1/120918,Ahmedabad,09-11-2017
57,EMPIRE BUSINESS HUB,E B H BUILDCON,"R.S.NO.458/1 & 458/2, OPP-SHAKTI ARCADE SCIENCE CITY ROAD, SOLA Ahmedabad 380060",Commercial,empirebhub@gmail.com,9099099859,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA00779/201117,Ahmedabad,20-11-2017
58,GOLDEN ICON,NAVDEEP REAL ESTATE PRIVATE LIMITED,"ASARWA BETHAK, ASARWA Ahmedabad 380016",Commercial,navdeepreal@gmail.com,9825414343,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02574/070518,Ahmedabad,07-05-2018
59,Colonnade,M/s. S. K. Enterprise,"6, Vidhyanagar Society - II Ushmanpura, Ahmedabad Ahmedabad 380014",Commercial,anushrienterprise12@gmail.com,8160275657,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01563/EX1/230519,Ahmedabad,07-02-2018
60,GALAXY ICON,GALAXY INFRA,TP 07 FINAL PLOT 89 NEXT TO JD MARKET OPP RAGHUKUL MARKET RING ROAD Surat 395002,Commercial,savanidharmendra@gmail.com,9898055440,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01142/291217,Surat,29-12-2017
61,DREAM RISE,anokhi associates,"B, 18 AGRAWAL TOWER, BHUYANG DEV CROSS ROAD GHATLODIA Ahmedabad 380061",Commercial,dream.rise@yahoo.in,9825019197,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01418/240118,Ahmedabad,24-01-2018
62,ELITE,SHIVEN DEVELOPERS,"ELITE, NR. BANDHAN PARTY PLOT, NR GANESH MERIDIAN, SOLA Ahmedabad 380061",Commercial,shivendevelopers@yahoo.in,8140876876,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02554/050518,Ahmedabad,05-05-2018
63,Siddharth Annexe 3,SHARNAM REALTY,3 Darshan Park Society 2 VIP Road Karelibaug Vadodara 390018 Vadodara 390018,Commercial,siddharthannexe3@gmail.com,9426505408,PR/GJ/VADODARA/VADODARA/Others/CAA02458/EX1/190918,Vadodara,23-04-2018
64,BHOOMI INDUSTRIAL & BUSINESS PARK,BHOOMI DEVELOPERS,"Bhoomi Indu.Estate & Business Park, Ranasan Gandhinagar Gandhinagar 382330",Commercial,bhoomiindustrial@gmail.com,9825063022,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA01661/EX1/091123,Gandhinagar,16-02-2018
65,TAPI ARCADE,TATSAM DEVELOPERS,"T.P. 18, PLOT NO. 6,7,8 MOTA VARACHHA SURAT Surat 394101",Commercial,rajukathiriya1980@gmail.com,9925031405,PR/GJ/SURAT/SURAT CITY/SUDA/CAA04072/EX1/271119,Surat,19-11-2018
66,GLOBALE TEXTILE MARKET,GLOBALE INFRASPACE LLP,"Globale Textile Market Umarwada, Kadodara Road, Surat Surat 395010",Commercial,accounts@globale.co.in,9099982118,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00821/241117,Surat,24-11-2017
67,Madhusudan Business Park,Srushti Developers,"Madhusudan Business Park, Near Mann Petrol Pump, N. H. No. 8, Naroda, Ahmedabad - 380025 Ahmedabad 380025",Commercial,raju_2210@yahoo.com,9825901466,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01583/090218,Ahmedabad,09-02-2018
68,KASTURI INDUSTRIAL ESTATE,KASTURI DEVELOPERS,"KASTURI ESTATE, OPP. GANGOTRI ESTATE, Ahmedabad 382415",Commercial,kasturi_works@yahoo.com,9376647609,PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA03139/110718,Ahmedabad,11-07-2018
69,Sarovar Arcade & Park,Sarovar Developers pvt ltd,"SANTOOR AVENUE13-A PUSHPKUNJ SOCIETY , KANKARIA Ahmedabad 380028",Commercial,sarovarsetu@gmail.com,9824056659,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01077/EX1/071218,Ahmedabad,21-12-2017
70,MANSI APPERAL PARK,MANSI DEVELOPERS,"MANSI DEVELOPERS. BHARAT SURYODAY MILL COMPOUND, NEW COTTON MILL CHAR RASTA, AMRAIWADI, AHMEDABAD. Ahmedabad 380026",Commercial,mansidevelopers@hotmail.com,9825064128,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA03836/251018,Ahmedabad,25-10-2018
71,SHYAMVED INDUSTRIAL ESTATE (BLOCK-C),MARUTINANDAN DEVELOPERS,"Block No. 25/B/2, FP No. 20/2, TPS No. 243, Opp. Fortune North Nr. 220 KV Substation, 200 Ft. Ring Road, Ranasan Gandhinagar 383305",Commercial,fortuneeastrera@gmail.com,9979853005,PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/CAA00810/241117,Gandhinagar,24-11-2017
72,Omkar Estate,Aakar Developers,Omkar Estate Gujkomasal Road Opp Jalaram Estate Bh Umiya Weigh Bridge Narol Ahmedabad 382405,Commercial,akardevelopers237@gmail.com,9879635463,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01898/060318,Ahmedabad,06-03-2018
73,BUSINESS PLAZA,CHHAYABEN TOLIYA,NR SHREENATHJI RESIDENCY SARU SECTION ROAD Jamnagar 361008,Commercial,mjdevelopersjam@gmail.com,9825210827,PR/GJ/JAMNAGAR/JAMNAGAR/Others/CAA07903/120121,Jamnagar,12-01-2021
74,SAKAR-IX,BAKERI URBAN DEVELOPMENT PVT. LTGD.,SANSKRUT 1ST FLOOR NR OLD HIGHCOURT ROAD ASHRAM ROAD Ahmedabad 380009,Commercial,mitesh.sheth@bakeri.com,9327627153,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00027/290817,Ahmedabad,29-08-2017
75,CITY CENTER,Jash Developers,"CITY CENTER, NEAR SURYA PALACE 24 MTRS MAIN ROAD, VADODARA Vadodara 390020",Commercial,citycentersayajgunj@gmail.com,9979891535,PR/GJ/VADODARA/VADODARA/Others/CAA04546/010119,Vadodara,01-01-2019
76,SATYAM 64,SATYAM DEVELOPERS LIMITED,"Satyam House, B/H Rajpath Club Opp. Vaibhav Gokul Bungalow, S.G. Highway, Bodakdev, Ahmedabad Ahmedabad 380059",Commercial,skyline@satyamdevelopers.com,9909983009,PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00861/EX1/A1C/150219,Ahmedabad,29-11-2017
77,JYOTIRLING AVENUE,JYOTIRLING DEVELOPERS,"SHOP NO 4 STRALING COMPLEX, OPP RAM NURCING BEHIND ASHTVINAYAK MALL TAKHTESHWAR BHAVNAGAR Bhavnagar 364001",Commercial,jyotirlingavenue@gmail.com,9824222410,PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/CAA05929/EX2/250422,Bhavnagar,22-08-2019
78,RED FLAG APPAREL PARK,AGRASEN INFRASTRUCTURE,"181/2 In Lane Opp.Cozy Hotel, Aarvee Denim Lane N/R M.G. Textile Mill Shahwadi Narol Ahmedabad 382405",Commercial,redflagdeveloper@gmail.com,9033475757,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02503/EX3/A1C/311221,Ahmedabad,25-04-2018
79,Zion Prime,ZION BUILDCON,PLOT NO.:74 NEAR COPPER STONE THALTEJ SHILAJ MAIN ROAD THALTEJ AHMEDABAD Ahmedabad 380054,Commercial,zionbuildcon@gmail.com,9825060084,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01085/221217,Ahmedabad,22-12-2017
80,Gala Empire,Gala Projects LLP,"9th Floor, Safal Profitaire,Near Prahaladnagar Garden Corporate Road Ahmedabad Ahmedabad 380015",Commercial,galaempire@galainfra.com,8980977777,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00145/140917,Ahmedabad,14-09-2017
81,DARSHANAM ARISE,NISHTHA BUILDCORP,"A/2 SEVASHRAM SOCIETY NEAR ATMAJYOTI ASHRAM, ELLORAPARK Vadodara 390023",Commercial,darshanamariserera@gmail.com,9227150600,PR/GJ/VADODARA/VADODARA/Others/CAA02500/250418,Vadodara,25-04-2018
82,ADDOR ASPIRE,ADDIS INFRABUILD LLP,"32, 3rd Floor, Roopa Building, Sona Roopa, Opp. Lal Bunglow, C G Road, Ahmedabad - 380009 Ahmedabad 380009",Commercial,accounts@addorgroup.com,7069076111,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA01175/020118,Ahmedabad,02-01-2018
83,TULSI ARCADE,TULSI CORPORATION,"T.P. 24,F.P. 112, NR. ABHISHEK-3 SUDAMA CHOWK,MOTA VARACHHA, Surat 395006",Commercial,tulsicorporation7@gmail.com,8000172000,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01676/EX1/211019,Surat,17-02-2018
84,SKY VIEW,KRUPA ENTERPRISE,"SKY VIEW COMMERCIAL BUILDING, SARTHANA -KAMREJ MAIN ROAD NR. SWAMINAYAN MANDIR, OPP LAND MARK SARTHANA SURAT Surat 395006",Commercial,skyview487@gmail.com,9712765639,PR/GJ/SURAT/SURAT CITY/SUDA/CAA01878/060318,Surat,06-03-2018
85,THE TRILLIUM,THE TRILLIUM,"THE TRILLIUM, BEFORE NAVRACHNA UNIVERSITY, VASNA – BHAYLI ROAD TP-2, BHAYLI Vadodara 391410",Commercial,petalstrillium@gmail.com,9727940707,PR/GJ/VADODARA/VADODARA/Others/CAA00836/EX1/180219,Vadodara,27-11-2017
86,VINAYAK TEXTILE MARKET,VISHNU ENTERPRISE,"R S NO 35, F P 69 T P-8 VINAYAK TEXTILE MARKET KARNI MATA CIRCUL Surat 395010",Commercial,vinayaktextilemarket@gmail.com,9376333394,PR/GJ/SURAT/SURAT CITY/Surat Municipal Corporation/CN27AA09927/120522,Surat,12-05-2022
87,THE WORLD,HINDVA HOSPITALITY LLP,B 209 SHANTINIKETAN BUSINESS CENTRE OPP GANGOTRI BUNGLOWS VRUNDAVAN PARTY PLOT ROAD NIKOL Surat 382330,Commercial,finance@hindva.com,9825220902,PR/GJ/SURAT/SURAT CITY/SUDA/CAA00382/EX2/070120,Surat,09-10-2017
