XID,Configuration,List Item,Price,Area
R123001,"2.5 BHK Apartment
1.53 Cr - 1.67 Cr",1490 SQ.FT,₹ 1.53 Cr,Super Builtup Area: 1490 sq.ft
R123001,"2.5 BHK Apartment
1.53 Cr - 1.67 Cr",1498 SQ.FT,₹ 1.54 Cr,Super Builtup Area: 1498 sq.ft
R123001,"2.5 BHK Apartment
1.53 Cr - 1.67 Cr",1575 SQ.FT,₹ 1.62 Cr,Super Builtup Area: 1575 sq.ft
R123001,"2.5 BHK Apartment
1.53 Cr - 1.67 Cr",1617 SQ.FT,₹ 1.66 Cr,Super Builtup Area: 1617 sq.ft
R123001,"2.5 BHK Apartment
1.53 Cr - 1.67 Cr",1630 SQ.FT,₹ 1.67 Cr,Super Builtup Area: 1630 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",1779 SQ.FT,₹ 1.82 Cr,Super Builtup Area: 1779 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",1825 SQ.FT,₹ 1.87 Cr,Super Builtup Area: 1825 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",1835 SQ.FT,₹ 1.88 Cr,Super Builtup Area: 1835 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",2001 SQ.FT,₹ 2.05 Cr,Super Builtup Area: 2001 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",2059 SQ.FT,₹ 2.11 Cr,Super Builtup Area: 2059 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",2142 SQ.FT,₹ 2.2 Cr,Super Builtup Area: 2142 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",2192 SQ.FT,₹ 2.25 Cr,Super Builtup Area: 2192 sq.ft
R123001,"3 BHK Apartment
1.82 Cr - 2.75 Cr",2679 SQ.FT,₹ 2.75 Cr,Super Builtup Area: 2679 sq.ft
R123001,"4 BHK Apartment
2.38 Cr - 3.08 Cr",2317 SQ.FT,₹ 2.38 Cr,Super Builtup Area: 2317 sq.ft
R123001,"4 BHK Apartment
2.38 Cr - 3.08 Cr",3008 SQ.FT,₹ 3.08 Cr,Super Builtup Area: 3008 sq.ft
R12332,3 BHK Apartment,1180 SQ.FT,₹ 1.15 Cr,Builtup Area: 1180 sq.ft
R12332,3 BHK Apartment,1415 SQ.FT,₹ 1.45 Cr,Builtup Area: 1415 sq.ft
R12332,3 BHK Apartment,1680 SQ.FT,Price on Request,Builtup Area: 1680 sq.ft
R12332,3 BHK Apartment,1698 SQ.FT,₹ 1.85 Cr,Builtup Area: 1698 sq.ft
R1234,2 BHK Apartment,680 SQ.FT,Price on Request,Carpet Area: 680 sq.ft
R1234,2 BHK Apartment,682 SQ.FT,Price on Request,Carpet Area: 682 sq.ft
R1234,2 BHK Apartment,722 SQ.FT,Price on Request,Carpet Area: 722 sq.ft
R12352,"3 BHK Apartment
3.52 Cr",2350 SQ.FT,₹ 3.53 Cr,Builtup Area: 2350 sq.ft
R12398,"2 BHK Apartment
1.79 Cr - 2.03 Cr",1100 SQ.FT,₹ 1.79 Cr,Builtup Area: 1100 sq.ft
R12398,"2 BHK Apartment
1.79 Cr - 2.03 Cr",1200 SQ.FT,₹ 1.95 Cr,Builtup Area: 1200 sq.ft
R12398,"2 BHK Apartment
1.79 Cr - 2.03 Cr",1250 SQ.FT,₹ 2.03 Cr,Builtup Area: 1250 sq.ft
R12398,"3 BHK Apartment
2.44 Cr - 2.92 Cr",1500 SQ.FT,₹ 2.44 Cr,Builtup Area: 1500 sq.ft
R12398,"3 BHK Apartment
2.44 Cr - 2.92 Cr",1600 SQ.FT,₹ 2.6 Cr,Builtup Area: 1600 sq.ft
R12398,"3 BHK Apartment
2.44 Cr - 2.92 Cr",1750 SQ.FT,₹ 2.84 Cr,Builtup Area: 1750 sq.ft
R12398,"3 BHK Apartment
2.44 Cr - 2.92 Cr",1800 SQ.FT,₹ 2.93 Cr,Builtup Area: 1800 sq.ft
R12418,"1 BHK Apartment
1.24 Cr",600 SQ.FT,₹ 1.24 Cr,Builtup Area: 600 sq.ft
R12418,"2 BHK Apartment
2.32 Cr - 2.86 Cr",1125 SQ.FT,₹ 2.32 Cr,Builtup Area: 1125 sq.ft
R12418,"2 BHK Apartment
2.32 Cr - 2.86 Cr",1390 SQ.FT,₹ 2.86 Cr,Builtup Area: 1390 sq.ft
R12418,"3 BHK Apartment
3.16 Cr",1535 SQ.FT,₹ 3.16 Cr,Builtup Area: 1535 sq.ft
R12418,"4 BHK Apartment
3.16 Cr",1535 SQ.FT,₹ 3.16 Cr,Builtup Area: 1535 sq.ft
R12466,"2 BHK Apartment
2.52 Cr",699 SQ.FT,₹ 2.52 Cr,Carpet Area: 699 sq.ft
R12466,"3 BHK Apartment
2.82 Cr - 3.06 Cr",782 SQ.FT,₹ 2.82 Cr,Carpet Area: 782 sq.ft
R12466,"3 BHK Apartment
2.82 Cr - 3.06 Cr",831 SQ.FT,₹ 2.99 Cr,Carpet Area: 831 sq.ft
R12466,"3 BHK Apartment
2.82 Cr - 3.06 Cr",850 SQ.FT,₹ 3.06 Cr,Carpet Area: 850 sq.ft
R12466,"4 BHK Apartment
3.05 Cr - 3.56 Cr",847 SQ.FT,₹ 3.05 Cr,Carpet Area: 847 sq.ft
R12466,"4 BHK Apartment
3.05 Cr - 3.56 Cr",988 SQ.FT,₹ 3.56 Cr,Carpet Area: 988 sq.ft
R12488,"2 BHK Builder Floor
60 L - 65 L",650 SQ.FT,"₹ 60.0 L
i",Builtup Area: 650 sq.ft
R12488,"2 BHK Builder Floor
60 L - 65 L",780 SQ.FT,"₹ 65.0 L
i",Builtup Area: 780 sq.ft
R12488,"3 BHK Builder Floor
85 L - 90 L",1000 SQ.FT,"₹ 85.0 L
i",Builtup Area: 1000 sq.ft
R12488,"3 BHK Builder Floor
85 L - 90 L",1050 SQ.FT,"₹ 90.0 L
i",Builtup Area: 1050 sq.ft
R12488,"4 BHK Builder Floor
1.09 Cr - 1.15 Cr",1170 SQ.FT,"₹ 1.09 Cr
i",Builtup Area: 1170 sq.ft
R12488,"4 BHK Builder Floor
1.09 Cr - 1.15 Cr",1230 SQ.FT,"₹ 1.15 Cr
i",Builtup Area: 1230 sq.ft
R12500,"2 BHK Apartment
1.92 Cr",1350 SQ.FT,₹ 1.92 Cr,Saleable Area: 1350 sq.ft
R12500,"2.5 BHK Apartment
1.54 Cr",1080 SQ.FT,₹ 1.54 Cr,Saleable Area: 1080 sq.ft
R12500,"3 BHK Apartment
2.42 Cr",1700 SQ.FT,₹ 2.42 Cr,Saleable Area: 1700 sq.ft
R12500,"4 BHK Apartment
2.85 Cr",2000 SQ.FT,₹ 2.85 Cr,Saleable Area: 2000 sq.ft
R12514,"4 BHK Apartment
3.26 Cr",2160 SQ.FT,₹ 3.26 Cr,Super Builtup Area: 2160 sq.ft
R12530,"2 BHK Apartment
2.25 Cr",1600 SQ.FT,₹ 2.25 Cr,Builtup Area: 1600 sq.ft
R12530,"3 BHK Apartment
2.95 Cr",2100 SQ.FT,₹ 2.95 Cr,Builtup Area: 2100 sq.ft
R12536,"3 BHK Apartment
2.6 Cr - 3.09 Cr",1600 SQ.FT,₹ 2.6 Cr,Builtup Area: 1600 sq.ft
R12536,"3 BHK Apartment
2.6 Cr - 3.09 Cr",1900 SQ.FT,₹ 3.09 Cr,Builtup Area: 1900 sq.ft
R12546,"3 BHK Apartment
1.62 Cr - 2.3 Cr",1200 SQ.FT,₹ 1.62 Cr,Super Builtup Area: 1200 sq.ft
R12546,"3 BHK Apartment
1.62 Cr - 2.3 Cr",1450 SQ.FT,₹ 1.96 Cr,Super Builtup Area: 1450 sq.ft
R12546,"3 BHK Apartment
1.62 Cr - 2.3 Cr",1600 SQ.FT,₹ 2.17 Cr,Super Builtup Area: 1600 sq.ft
R12546,"3 BHK Apartment
1.62 Cr - 2.3 Cr",1700 SQ.FT,₹ 2.3 Cr,Super Builtup Area: 1700 sq.ft
R12548,"2 BHK Apartment
1.2 Cr",585 SQ.FT,"₹ 1.2 Cr
i",Carpet Area: 585 sq.ft
R12564,"1 BHK Apartment
17.43 L",410 SQ.FT,₹ 17.43 L,Builtup Area: 410 sq.ft
R12564,"2 BHK Apartment
30.39 L",715 SQ.FT,₹ 30.39 L,Builtup Area: 715 sq.ft
R12564,"3 BHK Apartment
43.52 L",1024 SQ.FT,₹ 43.52 L,Builtup Area: 1024 sq.ft
R12564,"4 BHK Apartment
58.95 L",1387 SQ.FT,₹ 58.95 L,Builtup Area: 1387 sq.ft
R12564,"5 BHK Apartment
74.93 L",1763 SQ.FT,₹ 74.93 L,Builtup Area: 1763 sq.ft
R12566,2 BHK Apartment,811 SQ.FT,Price on Request,Builtup Area: 811 sq.ft
R12566,3 BHK Apartment,1100 SQ.FT,Price on Request,Builtup Area: 1100 sq.ft
R12568,"3 BHK Apartment
2.21 Cr - 2.67 Cr",1650 SQ.FT,₹ 2.21 Cr,Builtup Area: 1650 sq.ft
R12568,"3 BHK Apartment
2.21 Cr - 2.67 Cr",2000 SQ.FT,₹ 2.67 Cr,Builtup Area: 2000 sq.ft
R12608,"2 BHK Apartment
2.05 Cr",1300 SQ.FT,₹ 2.05 Cr,Builtup Area: 1300 sq.ft
R12608,"3 BHK Apartment
2.24 Cr",1422 SQ.FT,₹ 2.24 Cr,Builtup Area: 1422 sq.ft
R12632,"2 BHK Apartment
1.75 Cr",1200 SQ.FT,₹ 1.75 Cr,Builtup Area: 1200 sq.ft
R12632,"3 BHK Apartment
2.19 Cr - 2.48 Cr",1500 SQ.FT,₹ 2.19 Cr,Builtup Area: 1500 sq.ft
R12632,"3 BHK Apartment
2.19 Cr - 2.48 Cr",1700 SQ.FT,₹ 2.48 Cr,Builtup Area: 1700 sq.ft
R12640,"2 BHK Apartment
2.15 Cr",1200 SQ.FT,₹ 2.15 Cr,Builtup Area: 1200 sq.ft
R12640,"3 BHK Apartment
2.87 Cr",1600 SQ.FT,₹ 2.87 Cr,Builtup Area: 1600 sq.ft
R12676,"3 BHK Apartment
1.91 Cr - 2.5 Cr",1300 SQ.FT,₹ 1.91 Cr,Builtup Area: 1300 sq.ft
R12676,"3 BHK Apartment
1.91 Cr - 2.5 Cr",1700 SQ.FT,₹ 2.5 Cr,Builtup Area: 1700 sq.ft
R12726,"3 BHK Apartment
1.97 Cr - 2.35 Cr",1450 SQ.FT,₹ 1.97 Cr,Builtup Area: 1450 sq.ft
R12726,"3 BHK Apartment
1.97 Cr - 2.35 Cr",1727 SQ.FT,₹ 2.35 Cr,Builtup Area: 1727 sq.ft
R127477,"3 BHK Apartment
9.85 Cr - 10.23 Cr",1515 SQ.FT,₹ 9.85 Cr,Carpet Area: 1515 sq.ft
R127477,"3 BHK Apartment
9.85 Cr - 10.23 Cr",1574 SQ.FT,₹ 10.23 Cr,Carpet Area: 1574 sq.ft
R127477,"4 BHK Apartment
12.75 Cr - 18.49 Cr",1962 SQ.FT,₹ 12.75 Cr,Carpet Area: 1962 sq.ft
R127477,"4 BHK Apartment
12.75 Cr - 18.49 Cr",2200 SQ.FT,₹ 14.3 Cr,Carpet Area: 2200 sq.ft
R127477,"4 BHK Apartment
12.75 Cr - 18.49 Cr",2844 SQ.FT,₹ 18.49 Cr,Carpet Area: 2844 sq.ft
R127477,"5 BHK Apartment
19.5 Cr",3000 SQ.FT,₹ 19.5 Cr,Carpet Area: 3000 sq.ft
R12754,2 BHK Apartment,930 SQ.FT,₹ 1.9 Cr,Builtup Area: 930 sq.ft
R12754,2 BHK Apartment,963 SQ.FT,Price on Request,Builtup Area: 963 sq.ft
R12754,2 BHK Apartment,970 SQ.FT,Price on Request,Builtup Area: 970 sq.ft
R12768,"3 BHK Apartment
1.84 Cr - 2.17 Cr",1400 SQ.FT,₹ 1.84 Cr,Builtup Area: 1400 sq.ft
R12768,"3 BHK Apartment
1.84 Cr - 2.17 Cr",1650 SQ.FT,₹ 2.17 Cr,Builtup Area: 1650 sq.ft
R12780,3 BHK Apartment,1500 SQ.FT,₹ 1.84 Cr,Builtup Area: 1500 sq.ft
R12780,3 BHK Apartment,1600 SQ.FT,₹ 1.96 Cr,Builtup Area: 1600 sq.ft
R12780,3 BHK Apartment,1648 SQ.FT,₹ 2.02 Cr,Builtup Area: 1648 sq.ft
R12780,3 BHK Apartment,1800 SQ.FT,Price on Request,Builtup Area: 1800 sq.ft
R12790,"3 BHK Apartment
2.85 Cr",1750 SQ.FT,₹ 2.85 Cr,Builtup Area: 1750 sq.ft
R12790,"4 BHK Apartment
3.91 Cr",2400 SQ.FT,₹ 3.91 Cr,Builtup Area: 2400 sq.ft
R12812,"3 BHK Apartment
2.28 Cr",1700 SQ.FT,₹ 2.28 Cr,Builtup Area: 1700 sq.ft
R12834,"3 BHK Builder Floor
40 L - 55 L",720 SQ.FT,"₹ 40.0 L
i",Builtup Area: 720 sq.ft
R12834,"3 BHK Builder Floor
40 L - 55 L",800 SQ.FT,"₹ 50.0 L
i",Builtup Area: 800 sq.ft
R12834,"3 BHK Builder Floor
40 L - 55 L",850 SQ.FT,"₹ 55.0 L
i",Builtup Area: 850 sq.ft
R12834,"4 BHK Builder Floor
70 L - 90 L",900 SQ.FT,"₹ 70.0 L
i",Builtup Area: 900 sq.ft
R12834,"4 BHK Builder Floor
70 L - 90 L",950 SQ.FT,"₹ 80.0 L
i",Builtup Area: 950 sq.ft
R12834,"4 BHK Builder Floor
70 L - 90 L",1100 SQ.FT,"₹ 90.0 L
i",Builtup Area: 1100 sq.ft
R130133,"2 BHK Apartment
57.41 L - 61.83 L",1170 SQ.FT,₹ 57.41 L,Super Builtup Area: 1170 sq.ft
R130133,"2 BHK Apartment
57.41 L - 61.83 L",1260 SQ.FT,₹ 61.83 L,Super Builtup Area: 1260 sq.ft
R130133,"3 BHK Apartment
79.49 L - 90.78 L",1620 SQ.FT,₹ 79.49 L,Super Builtup Area: 1620 sq.ft
R130133,"3 BHK Apartment
79.49 L - 90.78 L",1665 SQ.FT,₹ 81.7 L,Super Builtup Area: 1665 sq.ft
R130133,"3 BHK Apartment
79.49 L - 90.78 L",1850 SQ.FT,₹ 90.78 L,Super Builtup Area: 1850 sq.ft
R13344,"3 BHK Apartment
13.71 Cr - 14.2 Cr",2016 SQ.FT,₹ 13.71 Cr,Super Builtup Area: 2016 sq.ft
R13344,"3 BHK Apartment
13.71 Cr - 14.2 Cr",2088 SQ.FT,₹ 14.2 Cr,Super Builtup Area: 2088 sq.ft
R13344,"4 BHK Apartment
15.97 Cr - 16.46 Cr",2349 SQ.FT,₹ 15.97 Cr,Super Builtup Area: 2349 sq.ft
R13344,"4 BHK Apartment
15.97 Cr - 16.46 Cr",2421 SQ.FT,₹ 16.46 Cr,Super Builtup Area: 2421 sq.ft
R133579,"4 BHK Apartment
3.69 Cr - 3.75 Cr",2380 SQ.FT,₹ 3.69 Cr,Super Builtup Area: 2380 sq.ft
R133579,"4 BHK Apartment
3.69 Cr - 3.75 Cr",2381 SQ.FT,₹ 3.69 Cr,Super Builtup Area: 2381 sq.ft
R133579,"4 BHK Apartment
3.69 Cr - 3.75 Cr",2416 SQ.FT,₹ 3.75 Cr,Super Builtup Area: 2416 sq.ft
R13494,"2 BHK Apartment
1.14 Cr - 1.29 Cr",607 SQ.FT,"₹ 1.14 Cr
i",Carpet Area: 607 sq.ft
R13494,"2 BHK Apartment
1.14 Cr - 1.29 Cr",675 SQ.FT,"₹ 1.27 Cr
i",Carpet Area: 675 sq.ft
R13494,"2 BHK Apartment
1.14 Cr - 1.29 Cr",674 SQ.FT,"₹ 1.27 Cr
i",Carpet Area: 674 sq.ft
R13494,"2 BHK Apartment
1.14 Cr - 1.29 Cr",693 SQ.FT,"₹ 1.29 Cr
i",Carpet Area: 693 sq.ft
R135659,"Plot
43.41 L - 86.55 L",167 SQ.YD,₹ 43.41 L,Plot Area: 167 sq.yd
R135659,"Plot
43.41 L - 86.55 L",200 SQ.YD,₹ 51.98 L,Plot Area: 200 sq.yd
R135659,"Plot
43.41 L - 86.55 L",333 SQ.YD,₹ 86.55 L,Plot Area: 333 sq.yd
r1363,"3 BHK Apartment
1.35 Cr - 1.52 Cr",1334 SQ.FT,₹ 1.35 Cr,Carpet Area: 1334 sq.ft
r1363,"3 BHK Apartment
1.35 Cr - 1.52 Cr",1442 SQ.FT,₹ 1.46 Cr,Carpet Area: 1442 sq.ft
r1363,"3 BHK Apartment
1.35 Cr - 1.52 Cr",1469 SQ.FT,₹ 1.49 Cr,Carpet Area: 1469 sq.ft
r1363,"3 BHK Apartment
1.35 Cr - 1.52 Cr",1496 SQ.FT,₹ 1.51 Cr,Carpet Area: 1496 sq.ft
r1363,"3 BHK Apartment
1.35 Cr - 1.52 Cr",1500 SQ.FT,₹ 1.52 Cr,Carpet Area: 1500 sq.ft
r1363,"3.5 BHK Apartment
1.72 Cr",1704 SQ.FT,₹ 1.72 Cr,Carpet Area: 1704 sq.ft
r1363,"4 BHK Apartment
1.9 Cr - 2.26 Cr",1700 SQ.FT,₹ 1.9 Cr,Carpet Area: 1700 sq.ft
r1363,"4 BHK Apartment
1.9 Cr - 2.26 Cr",1804 SQ.FT,₹ 2.02 Cr,Carpet Area: 1804 sq.ft
r1363,"4 BHK Apartment
1.9 Cr - 2.26 Cr",2013 SQ.FT,₹ 2.25 Cr,Carpet Area: 2013 sq.ft
r1363,"4 BHK Apartment
1.9 Cr - 2.26 Cr",2023 SQ.FT,₹ 2.26 Cr,Carpet Area: 2023 sq.ft
R136463,1 BHK Apartment,450 SQ.FT,₹ 55.0 L,Builtup Area: 450 sq.ft
R136463,1 BHK Apartment,592 SQ.FT,Price on Request,Builtup Area: 592 sq.ft
R136463,1 BHK Apartment,750 SQ.FT,₹ 91.67 L,Builtup Area: 750 sq.ft
R136463,"2 BHK Apartment
97.78 L",800 SQ.FT,₹ 97.78 L,Builtup Area: 800 sq.ft
R136463,3 BHK Apartment,1300 SQ.FT,Price on Request,Builtup Area: 1300 sq.ft
R136463,3 BHK Apartment,1400 SQ.FT,₹ 1.71 Cr,Builtup Area: 1400 sq.ft
R1366,"3 BHK Apartment
2.95 Cr",965 SQ.FT,₹ 2.95 Cr,Carpet Area: 965 sq.ft
R137813,"3 BHK Apartment
3 Cr - 5.75 Cr",1953 SQ.FT,₹ 3.0 Cr,Builtup Area: 1953 sq.ft
R137813,"3 BHK Apartment
3 Cr - 5.75 Cr",2925 SQ.FT,₹ 5.75 Cr,Builtup Area: 2925 sq.ft
R137813,"4 BHK Apartment
5.75 Cr",2925 SQ.FT,₹ 5.75 Cr,Builtup Area: 2925 sq.ft
R137819,"3 BHK Apartment
1.99 Cr - 2.25 Cr",1500 SQ.FT,₹ 1.99 Cr,Builtup Area: 1500 sq.ft
R137819,"3 BHK Apartment
1.99 Cr - 2.25 Cr",1600 SQ.FT,₹ 2.12 Cr,Builtup Area: 1600 sq.ft
R137819,"3 BHK Apartment
1.99 Cr - 2.25 Cr",1650 SQ.FT,₹ 2.18 Cr,Builtup Area: 1650 sq.ft
R137819,"3 BHK Apartment
1.99 Cr - 2.25 Cr",1700 SQ.FT,₹ 2.25 Cr,Builtup Area: 1700 sq.ft
R137819,"4 BHK Apartment
2.91 Cr - 3.77 Cr",2200 SQ.FT,₹ 2.91 Cr,Builtup Area: 2200 sq.ft
R137819,"4 BHK Apartment
2.91 Cr - 3.77 Cr",2850 SQ.FT,₹ 3.77 Cr,Builtup Area: 2850 sq.ft
R137841,"1 BHK Apartment
32.27 L",650 SQ.FT,₹ 32.27 L,Builtup Area: 650 sq.ft
R137841,"2 BHK Apartment
40.21 L - 44.68 L",810 SQ.FT,₹ 40.21 L,Builtup Area: 810 sq.ft
