Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
HRERA-PKL-PKL-355-2022,TRIDENT HILLS1,TRIDENT HILLS PRIVATE LIMITED,"SECTOR-3,4 4A, VILLAGE ISLAM
NAGAR, DISTT. PANCHKULA, HARYANA",PANCHKULA,2494.8,356.4,No,2138.4,855.4,712.8,0,0,0,0,0,0,0,0,Not Found,Not Found,60.69725 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NjY4,oc\HRERA-PKL-PKL-355-2022-OC_uploaded.pdf
HRERA-PKL-PKL-339-2022,THE VALLEY GARDENS,DLF HOMES PANCHKULA PVT. LTD.,"SECTOR 3, VILLAGE BHAGWANPUR
AND ISLAMABAD, PINJORE KALKA URBAN COMPLEX",PANCHKULA,2461,1514,No,492,951,0,0,60,0,0,0,0,0,43649,Not Found,Not Found,34.229 (Acre),Not available,Not available,TILES / MARBLE / GRANITE/ LAMINATE FLOORING/ IPS FLOORING,ACRYLIC EMULSION/ OBD/ WHITEWASH,MS/ ALUMINUM/ WOODEN/ UPVC,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjgy,oc\HRERA-PKL-PKL-339-2022-OC_uploaded.pdf
HRERA-PKL-JJR-620-2024,"NEW HAVEN PHASE 1C, BAHADURGARH",HL PROMOTERS PRIVATE LIMITED (HLPPL),"SECTOR 37, VILL NUNA MAJRA ,
BAHADURGARH",JHAJJAR,76.36,127.07,No,55.14,64.36,12.43,0,22.52,249.35,0,0,0,0,0,Not Found,Not Found,6.863 (Acre),Not available,Not available,TILES,VITRIFIED FLOOR TILES WITH GRANITE PLATFORM AND CERAMIC DADO TILES ABOVE PLATFORM,FLUSH/SKIN DOORS ( ANX ATTACHED ),"AC POINTS IN LIVING ROOM AND ALL BEDROOMS, PREFIT ELECTRICAL SWITCHES, POWER BACKUP FOR DESIGNATED AREAS INSIDE THE BUILDING, CONCEALED ELECTRIC WIRING, PROVISION FOR FANS, CABLE TV/TELEPHONE CONNECTION POINT",PASSENGER LIFTS FOR ALL BUILDINGS,"AC POINTS IN LIVING ROOM AND ALL BEDROOMS, PREFIT ELECTRICAL SWITCHES, POWER BACKUP FOR DESIGNATED AREAS INSIDE THE BUILDING, CONCEALED ELECTRIC WIRING, PROVISION FOR FANS, CABLE TV/TELEPHONE CONNECTION POINT",TILES WITH OIL BOUND DISTEMPER,Not Found,Not Available
HRERA-PKL-JJR-616-2024,HL CITY SECTOR 40 PART 2,HL RESIDENCY,"HL CITY VILLAGE NUNA MAJRA SE
CTOR 37 BAHADURGARH",JHAJJAR,420,294,No,400,100,42,336,84,17,21,0,0,0,3.26135,Not Found,Not Found,18.55 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-JJR-615-2024,HL CITY SECTOR 40,HL RESIDENCY,"HL CITY VILLAGE NUNA MAJRA SE
CTOR 37 BAHADURGARH",JHAJJAR,248,174,No,236,60,25,199,50,10,12,0,0,0,1.3565,Not Found,Not Found,11.36 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-JJR-432-2023,HL CITY,HL RESIDENCY PRIVATE LIMITED,"SECTOR-37, BAHADURGARH",JHAJJAR,362,140,No,140,28,28,28,120,0,73,0,0,0,0,Not Found,Not Found,5.481 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
HRERA-PKL-JJR-327-2022,"NEW HEAVEN, PHASE 1B, BAHADURGARH",HL PROMOTERS PRIVATE LIMITED (HLPPL),"HL PROMOTERS PRIVATE LIMITED
SECTOR 37, VILLAGE NUNA MAJRA, BAHADURGARH",JHAJJAR,46.52,77.41,No,33.59,39.20,7.57,0,13.72,151.90,0,0,0,0,1371.411,Not Found,Not Found,4.316 (Acre),Not available,Not available,TILES,VITRIFIED FLOOR TILES WITH GRANITE PLATFORM AND CERAMIC DADO TILES ABOVE PLATFORM,FLUSH/SKIN DOORS,"AC POINTS IN LIVING ROOM AND ALL BEDROOMS, PRE-FIT ELECTRICAL SWITCHES, POWER BACKUP FOR DESIGNATED AREAS INSIDE THE BUILDING, CONCEALED ELECTRIC WIRING, PROVISION FOR FANS, CABLE TV/TELEPHONE CONNECTION POINT",PASSENGER LIFTS FOR ALL BUILDINGS,"AC POINTS IN LIVING ROOM AND ALL BEDROOMS, PRE-FIT ELECTRICAL SWITCHES, POWER BACKUP FOR DESIGNATED AREAS INSIDE THE BUILDING, CONCEALED ELECTRIC WIRING, PROVISION FOR FANS, CABLE TV/TELEPHONE CONNECTION POINT",TILES WITH OIL BOUND DISTEMPER,Not Found,Not Available
HRERA-PKL-JJR-267-2021,HL CITY GOLD,HL RESIDENCY (PROPRIETORSHIP FIRM) PROPRIETOR SHAILAJA,"VILLAGE NUNA MAJRA SECTOR 37
BAHADURGARH",JHAJJAR,120,85,No,0,160,38,0,48,0,0,0,0,0,0,Not Found,Not Found,9.6861 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTAyNQ==,oc\HRERA-PKL-JJR-267-2021-OC_uploaded.pdf
HRERA-PKL-FBD-98-2019,AMOLIK RESIDENCY,AMOLIK RESIDENCY LLP,"SECTOR 85 - 86 DIVIDING ROAD
, SRS CHOWK , SECTOR 86 , FARIDABAD",FARIDABAD,830,220,No,231,109,96,89,68,14,450,10,0,0,0,Not Found,Not Found,9.05625 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTEw,oc\HRERA-PKL-FBD-98-2019-OC_uploaded.pdf
HRERA-PKL-FBD-94-2019,HIGHTECH AFFORDABLE HOMES,HIGHTECH CONSTRUCTION CO. PVT. LTD.,"KHERI ROAD, SECTOR-87, FARIDA
BAD",FARIDABAD,150,555,No,280,170,30,80,134,235,900,0,0,0,1418.339,Not Found,Not Found,5.00694 (Acre),Not available,Not available,CERAMIC TILES / IPS FLOORING,COUNTER TOP-TERRAZO/STONE & WALL TILES-UPTO 2FEET HEIGHT ABOVE COUNTER,MS Z-SECTION FRAME IN CHOWKHAT & PAINTED FLUSH DOOR IN DOOR,"SWITCH, SOCKET & MCV ETC",ONE NO. LIFT IN EACH TOWER 15 NOS PASSENGERS,N.A.,WHITE WASH & PUTTY,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjk3,oc\HRERA-PKL-FBD-94-2019-OC_uploaded.pdf
HRERA-PKL-FBD-76-2018,"PHASE-I, PLOTS, SECTOR-81",COUNTYWIDE PROMOTERS PVT. LTD.,"SECTOR-81, FARIDABAD.",FARIDABAD,400.00,60.00,Yes,230.00,85.00,140.00,0,0,0,0,0,0,0,0.00,Not Found,Not Found,15.12 (Acre),Not available,Not available,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,NOT APPLICABLE.,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE1,oc\HRERA-PKL-FBD-76-2018-OC_uploaded.pdf
HRERA-PKL-FBD-641-2024,PARKLANDS PRIDE PLOTS,BPTP PARKLANDS PRIDE LIMITED,SECTOR 77-78 FARIDABAD,FARIDABAD,116,25,No,95,47,8,0,91,0,0,0,0,0,0,Not Found,Not Found,3.8375 (Acre),Not available,Not available,NA,-NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTI2Nw==,oc\HRERA-PKL-FBD-641-2024-OC_uploaded.pdf
HRERA-PKL-FBD-622-2024,THE PRESIDENTIAL WORLD,MARINA REAL ESTATE BUILDERS LLP,"VILLAGE KHERIKALAN, SECTOR 84",FARIDABAD,720,360,No,360,720,100,0,540,0,0,0,0,0,0,Not Found,Not Found,14.88125 (Acre),Not available,Not available,VITRIFIED TILES/ GRANITE/ MARBLE,"COUNTER TOP - GRANITE/ MARBLE TOP, VITRIFIED TILES UP TO 2 FEET HEIGHT ABOVE COUNTER",POWER COATED ALUMINUM/ UPVC,ISI MARKED,1 LIFT IN EACH TOWER,ISI MARKED,OIL BOUND DISTEMPER (OBD)/ ACRYLIC EMULSION,Not Found,Not Available
HRERA-PKL-FBD-61-2018,HONOR HOMES,FIDATO BUILDCON PRIVATE LIMITED,"SECTOR 89, FARIDABAD, HARYANA",FARIDABAD,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0.0560,Not Found,Not Found,11.706 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
HRERA-PKL-FBD-602-2024,ADVITYA HEIGHTS,ADVITYA RESIDENCY LLP,"SECTOR-143, FARIDABAD",FARIDABAD,223.56,389.47,No,750,140,20.41,51.99,27.75,66.45,255.1,0,0,0,5947.894,Not Found,Not Found,13.30208 (Acre),Not available,Not available,CERAMIC TILES,CERAMIC TILES,MS Z SECTION FRAME /PRESS STEEL/ALUMINIUM/WOOD/UPVC,ISI MARKED OR EQUIVALENT,AS PER NBC.,ISI MARKED OR EQUIVALENT,NA,Not Found,Not Available
HRERA-PKL-FBD-595-2024,ADORE LEGEND III,ADORE PROPINFRA LLP,"VILLAGE TIGAON, SECTOR 104, F
ARIDABAD",FARIDABAD,420,280,No,336,336,224,224,224,140,140,140,0,0,0.0948,Not Found,Not Found,9.0375 (Acre),Not available,Not available,VITRIFIED TILES/ CERAMIC TILES,"COUNTER TOP - MARBLE TOP/ KOTA STONE, TILE UP TO 2 FEET HEIGHT ABOVE THE COUNTER",MS Z- SECTION / PRESS STEEL / POWER COASTED ALUMINUM,ISI MARKED,2 LIFT IN EACH TOWER,ISI MARKED,COLOUR WASH/ DRY DISTEMPER/ OIL BOUND DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTExMQ==,oc\HRERA-PKL-FBD-595-2024-OC_uploaded.pdf
HRERA-PKL-FBD-594-2024,"KLJ GREENS - TOWER B-8, B-9, B-10, J-1 & J-2",M/S KLJ DEVELOPERS PVT. LTD.,"KLJ GREENS, POCKET B, KLJ GRO
UP HOUSING COLONY, VILLAGE NEEMKA",FARIDABAD,49.35,8.73,Yes,20.09,24.53,0.41,191.16,0,0,0,2.97,0,0,0,Not Found,Not Found,40636.58 (Sqr/mtrs),Not available,Not available,"DRG/DINING - VITRIFIED TILES KITCHEN - BALCONY AND TOILET - ANTI SKID TILES BED ROOMS - VITRIFIED TILES / WOODEN, CORRIDOR - KOTA STONE PARKING - TRIMIX ROADS - CC","RCC PLATFORM WITH GRANITE TOP, SS SINK WITH CP FITTING, OF RYBO MAKE OR EQUIVALENT",DOOR FRAME - 65 X 100 MM MARANDI FRAME WITH FLUSH DOOR SHUTTERS DOOR/WINDOW - UPVC DOOR/WINDOWS WITH GLASS,SWITCHES OF ABB MAKE OR EQUIVALENT,2 LIFTS EACH TOWER - 1 LIFT CAPACITY 13 PASSENGERS AND OTHER LIFT 10 PASSENGER WITH DEEP LIFT WELL,WIRE AND SWITCHES ONLY,CEMENT PLASTER WITH OIL BOUND DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA3OQ==,oc\HRERA-PKL-FBD-594-2024-OC_uploaded.pdf
HRERA-PKL-FBD-470-2023,PRINCESS PARK ( TOWER A K L M AND EWS),BPTP LIMITED,SECTOR 86 FARIDABAD,FARIDABAD,0,0,No,0,0,0,0,0,0,0,0,0,0,0,532,526,47541.629 (Acre),30-06-2024,80,VITRIFIED TILES,"CERAMIC TILES, CERAMIC TITLES ABOVE WORKING PLATFORM, REST OIL BOUND DISTEMPER, MARBLE COUNTER WITH SINGLE BOWL STAINLESS STEEL SINK WITH DRAIN BOARD",UPVSC WINDOW,MODULAR SWITCHES,NA,COPPER WIRING AND MODULAR SWITCHES,PAINTED IN PLEASING SHADES OF OIL BOUND DISTEMPER,Not Found,Not Available
HRERA-PKL-FBD-466-2023,AMOLIK PARK VIEW,AMOLIK PARK LLP,"SECTOR 84, FARIDABAD, HARYANA
121002",FARIDABAD,108,32.7,No,386,95,14,80,37,28,326,450,0,0,863,Not Found,Not Found,5.11875 (Acre),Not available,Not available,VITRIFIED TILES/IPS/CERAMIC TILES,"PLATFARM & WALL FINISH - MARBLE/GRANITE, TILES UPTO 2 FEET FROM COUNTER, STAINLESS STEEL SINK (SINGLE BOWL) AND SS TAP","INTERNAL - MS WOODEN, EXTERNAL - MS",ISI MARKED,TWO NUMBER OF LIFT IN EACH TOWER,ISI MARKED,COLOUR WASH/ DRY DISTEMPER/ OIL BOUND DISTEMPER (OBD),Not Found,Not Available
HRERA-PKL-FBD-447-2023,BPTP DISTRICT 4,RIDGECRAFT HOMES PRIVATE LIMITED,SECTOR 84 FARIDABAD,FARIDABAD,483,245,No,341,295,15,0,74,0,0,0,0,0,0.863,Not Found,Not Found,13.86 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
HRERA-PKL-FBD-400-2023,ADORE SMART CITY 2,ADORE PROPBUILD LLP,SECTOR 97 VILLAGE KHERIKALAN,FARIDABAD,485,242.5,No,242.5,485,0,0,363.75,0,0,0,0,0,0.276,Not Found,Not Found,10.20 (Acre),Not available,Not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Found,Not Available
HRERA-PKL-FBD-387-2022,ADORE SMART CITY,ADORE PROPBUILD LLP,SECTOR 97 VILLAGE NACHAULI,FARIDABAD,390,195,No,195,390,0,0,292.5,0,0,0,0,0,0.2184,Not Found,Not Found,8.175 (Acre),Not available,Not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Found,Not Available
HRERA-PKL-FBD-374-2022,ASTER WOODS,AMOLIK BUILDCON LLP,SECTOR 98 FARIDABAD,FARIDABAD,1023.23200,278.33184,No,443.52000,459.579900,0,0,100.00000,0,0,0,0,0,27.50,Not Found,Not Found,30.0063 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NzM5,oc\HRERA-PKL-FBD-374-2022-OC_uploaded.pdf
HRERA-PKL-FBD-310-2022,BPTP DISTRICT 6 BLOCK L,COUNTRYWIDE PROMOTERS PRIVATE LIMITED,SECTOR 84 FARIDABAD,FARIDABAD,116,38,No,242,35,13,6,86,0,0,0,0,0,0.315,Not Found,Not Found,6.31875 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
HRERA-PKL-FBD-272-2021,PARKLAND PRIDE- PHASE II,BPTP PARKLANDS PRIDE LTD.,SECTOR- 77 AND 78 FARIDABAD,FARIDABAD,404,105,No,235,71,8,0,0,0,0,0,0,0,10.19,102,55,19396 (Acre),31-12-2027,0,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
HRERA-PKL-FBD-213-2020,GODREJ RETREAT VIBE,GODREJ PROPERTIES LIMITED,SECTOR 83,FARIDABAD,84,9,No,163,39,20,0,33,0,0,0,0,0,0,Not Found,Not Found,7.494 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE5NQ==,oc\HRERA-PKL-FBD-213-2020-OC_uploaded.pdf
HRERA-PKL-FBD-191-2020,PARK ELITE PREMIUM,M/S BPTP LTD.,"SECTOR 84, FARIDABAD",FARIDABAD,66.33,32.25,No,165.8,29,0,13.7,0,90,0,0,0,0,0,449,423,5.03 (Acre),31-12-2022,55,- CERAMIC TILES IN TOILETS # EWS - SELECT IMPORTED MARBLE FOR STAIRS AND UPPER LOBBY AREA # APARTMENTS,"KITCHEN COUNTER – IPS, KITCHEN SINK – BOWL ONLY # EWS - DADO- GRANITE ABOVE THE WORKING PLATFORM AND REST PAINTED IN ACRYLIC EMULSION PAINT. COUNTER- WORKING PLATFORM/COUNTER EQUIPPED WITH DOUBLE BOWL/STAINLESS STEEL SINK AND DRAIN BOARD, CHIMNEY HOB AND DISH WASHER # APARTMENTS","GLASS WINDOW WITH MS FRAME # EWS - MAIN DOOR: SEASONED HARDWOOD FRAMES WITH DESIGNER SHUTTER AND HIGH & LARGE. SEASONED HARDWOOD FRAMES WITH PAINTED SKIN DOOR SHUTTER (TALL). INTERNAL: (DOORS WITH TEAK FRAMES) UPVC FRAMES AND GLAZING, FLOOR TO CEILING DOOR WINDOWS GLASS IN DOUBLE HEIGHT # APARTMENTS",CU WIRING AND ORDINARY SWITCHES WITH BAKELITE SHEET # EWS - CU WIRING # APARTMENTS,NOT APPLICABLE # EWS -- # APARTMENTS,CU WIRING # EWS - CU WIRING # APARTMENTS,FLOORING-IPS # EWS - FLOORING-IPS # APARTMENTS,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Nzc4,oc\HRERA-PKL-FBD-191-2020-OC_uploaded.pdf
HRERA-PKL-FBD-171-2019,SHREE HOMES (PHASE-II),JOTINDRA STEEL & TUBES LIMITED,"VILLAGE MEWLA MAHARAJPUR, SEC
TOR 45, FARIDABAD",FARIDABAD,800.00,600.00,No,1000.00,600.00,0,0,400.00,0,0,0,0,0,0,Not Found,Not Found,4.68125 (Acre),Not available,Not available,LIVING AND DINING AREA FLOORING IS COMPLETED WITH VITRIFIED TILES/IPS.,KITCHEN COMPLETED WITH VITRIFIED TILES/IPS FLOORING WALLS COME WITH TILES FINISH; IT WILL BE AVAILABLE TWO FT ABOVE WORKING AREA REMAINING WALL IS PAINTED WITH OIL BOUND DISTEMPER. MODERN FIXTURES AVAILABLE AS PER AGREEMENT.,UPVC/ ALUMINIUM / IRON/ WOODEN.,STANDARD ISI MARKED PRODUCTS USED.,PROVIDED,STANDARD ISI MARKED WIRES/ SWITCHES AND MCB'S,AS PER STANDARDS.,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE0OQ==,oc\HRERA-PKL-FBD-171-2019-OC_uploaded.pdf
