Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
GHR Callisto,P01100004554,Not Found,Not Found,"Near To Mundhra Alu Foil private Limited, Kollur, Tellapur, Hyderabad",₹80.59 Lacs - ₹1.17 Crores,"2,2.5,3,4 BHK",Bike and Car,Apartment,Borewell,GHR Infra,January 1993,Not Found,1190,753 sqft,2510 sqft,8.30 acres,₹96.71 Lacs,March 2028,Gated Security,"Library, Security, Children's play area, Badminton court, Indoor games, Power backup","7 mins from IBS Bus Stand, Close To Birla Open Minds Intl School, 21 mins from Poojitha Tech Park"
Ireo The Corridors,379 of 2017,Not Found,Not Found,"Tower-A6, Cluster_gurgaon 17, Ramgarh, Sector 67A, Gurugram, Haryana 122102",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Ireo Projects,Not Found,July 2020,1780,Not Found,Not Found,37.00 acres,₹1.35 Cr,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Apex Golf Avenue,UPRERAPRJ8585,Not Found,Not Found,"Sector 1, Bisrakh Jalalpur, Greater Noida, Uttar Pradesh 201306",Not Found,"2.5,3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,June 2019,742,662 sqft,1608 sqft,5.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Windsor Troika,Not Found,Not Found,Not Found,"Windsor Troika, Windsor Troika, Bangalore, India",,"2,3 BHK",Bike and Car,Apartment,Not Found,Windsor Builders and Developers,Not Found,Not Found,Not Found,1020 sqft,1306 sqft,Not Found,Not Found,Not Found,Gated Security,"Tennis court, Spa/steam/sauna, Security, Badminton court, Power backup, Indoor games",Not Found
Candeur Crescent,P02500004515,Not Found,Not Found,"Next to Sancta Maria International School, Adarsh Nagar Lingampally, Hyderabad",₹1.4 Crores - ₹1.8 Crores,"2.5,3 BHK",Bike and Car,Apartment,Borewell,Candeur Constructions,January 2013,Not Found,1230,797 sqft,1556 sqft,5.50 acres,₹1.4 Cr,December 2027,Gated Security,"Gym, Spa/steam/sauna, Gas pipeline, Indoor games, Wifi, Power backup",Not Found
Casagrand Amor,PRM/KA/RERA/1251/310/PR/140324/006701,Not Found,Not Found,"Near Chrysalis High, Begur Koppa Road, Akshayanagar, Begur, Bangalore.",₹89 Lacs - ₹1.34 Crores,3 BHK,Bike and Car,Apartment,Borewell,Casagrand Builder Private Limited,January 2003,Not Found,480,959 sqft,1338 sqft,7.80 acres,₹1.18 Cr,February 2028,Gated Security,"Vastu compliant, Party area, Power backup, Community hall, Football, Spa","Close to prominent IT/ITES, 17,500 sqft Grand Clubhouse, 80+ Lifestyle Amenities"
Godrej Park Retreat,PRM/KA/RERA/1251/446/PR/280222/004736,Not Found,Not Found,"Near RGA tech park,Carmelaram , Off Sarjapura Main Road, Hadosiddapura, Bangalore",,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,976,420 sqft,848 sqft,13.00 acres,₹44.99 Lacs,February 2027,Gated Security,"Spa, Rain water harvesting, Children's play area, Security, Club house, Library",Not Found
Shriram Codename Smash Hit,PRM/KA/RERA/1251/309/PR/170924/007026,Not Found,Not Found,"Near FESTIVA Recreations, Rajankunte, Yelahanka, Bangalore.",₹96.19 Lacs - ₹1.26 Crores,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Shriram Properties,January 1995,Not Found,270,771 sqft,1105 sqft,4.00 acres,₹1.01 Cr,July 2029,Gated Security,"Rain water harvesting, Gym, Cctv camera, Children's play area, Lift, Vastu compliant","80% Open Space, 40+ World Class Amenities, 360 Degree Clear Views"
Kolte Patil Springshire,Not Found,A51800026821,P52100076743,"Near Rising Star School & Junior College, Jagtapvasti, Wagholi, Pune.",₹64.28 Lacs - ₹83.92 Lacs,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Kolte Patil Developers,January 1991,Not Found,575,782 sqft,1028 sqft,5.00 acres,₹71.99 Lacs,March 2028,Gated Security,"Gym, Indoor games, Skating rink, Power backup, Amphitheater, Vastu compliant","Spacious Flats with Affordable Prices, Located At Main Kharadi Nagar Highway, Near Rising Star School & Junior College"
Birla Niyaara,Not Found,A51800026821,P51900031916,"Near Bastian, Worli,Pandurang Budhkar Marg,Worli,Mumbai",₹7.46 Crores - ₹10.09 Crores,"2,3,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Birla Estates Private Limited,January 2017,Not Found,416,854 sqft,2167 sqft,10.00 acres,₹8.5 Cr,March 2028,Gated Security,"Lift, Skating rink, Basketball court, Visitor parking, Park, Power backup","Off Bandra Worli Sea Link, Close Proximity To Parel Train Station, 3 Clubhouses For Holistic Living"
Godrej Air Sector 85,RERA-GRG-PROJ-7-2018,Not Found,Not Found,"Godrej Air Sector-85, Gurgaon",,"3,3.5,4 BHK",Bike and Car,Apartment,Borewell,Godrej Properties,January 1990,Not Found,511,1372 sqft,1949 sqft,10.04 acres,₹1.65 Cr,March 2023,Gated Security,"Rain water harvesting, Security, Sewage treatment plant, Park, Club house, Indoor games",Not Found
Ira Miracle,P01100002811,Not Found,Not Found,"Near Delhi Public School, Nagulapalli, Kollur, Hyderabad",₹1.06 Crores - ₹1.54 Crores,3 BHK,Bike and Car,Apartment,Corporation and Borewell,IRA Realty Tech Pvt Ltd,January 2019,Not Found,274,1241 sqft,1841 sqft,3.00 acres,₹1.06 Cr,June 2026,Gated Security,"Security, Gym, Indoor games, Common garden, Cctv camera, Amphitheater",Not Found
Arihant Aspire,Not Found,A51800026821,P52000014107,"Near Jaywant Hotel,Palaspe Phata road, Panvel, Mumbai",₹78 Lacs - ₹84 Lacs,"1,1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Arihant Superstructures ltd,Not Found,Not Found,504,403 sqft,937 sqft,16.00 acres,₹85 Lacs,December 2026,Gated Security,"Skating rink, Lift, Visitor parking, Basketball court, Park, Power backup","Close to Panvel Railway Station, Connected to Pune Expressway, Near Upcoming International Airport, Green Building Certificate 650+ Trees"
Eldeco La Vida Bella,UPRERAPRJ136219/04/2024,Not Found,Not Found,"Near HP Petrol Pump, Greater Noida west Link Road, Sector 12, Noida.",₹3.58 Crores - ₹4.29 Crores,"3,4 BHK",Bike and Car,Apartment,Not Found,Eldeco Group,January 1975,Not Found,380,1104 sqft,2079 sqft,4.00 acres,₹3.58 Cr,January 2029,Gated Security,"Badminton court, Fire safety, Common garden, Tennis court, House keeping, Club house","Rooftop Amenities, Multi Tier Security, 30m Away Noida Special Economic Zone"
Adish Aradhra,PRM/KA/RERA/1251/308/PR/130622/004973,Not Found,Not Found,"Madivala Village Road, Chandapura, Bengaluru, Karnataka 560099",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Adish Properties,Not Found,January 2025,56,Not Found,Not Found,1.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Godrej Woods,UPRERAPRJ704730 | UPRERAPRJ773536,Not Found,Not Found,"Near Anmol Nursery, Block A, Sector 43, Noida",,"2,3,4,4+ BHK",Bike and Car,Apartment,Not Found,Godrej Properties,January 1990,Not Found,Not Found,684 sqft,2629 sqft,11.00 acres,₹6.11 Cr,October 2027,Gated Security,"Badminton court, Fire safety, Common garden, Tennis court, Club house, Golf course",Not Found
Praneeth Pranav Solitaire,P02200004832,Not Found,Not Found,"Opp. Keshava Reddy School,Miyapur Road, Bachupally, Hyderabad",₹82.85 Lacs - ₹1.66 Crores,"2,2.5,3 BHK",Bike and Car,Apartment,Borewell,Praneeth Group,January 2007,Not Found,668,729 sqft,1520 sqft,7.00 acres,₹99.42 Lacs,February 2028,Gated Security,"Jogging track, Swimming pool, Basketball court, Library, Lift, Club house","Located At The Heart Of Bachupally, 0.7kms to Bachupally Bus Stop, Easy Access To International Schools"
Risinia Skyon,P02200002274,Not Found,Not Found,"Near Keshava Reddy School, Bachupally main road , Bachupally , Hyderabad",₹89.25 Lacs - ₹1.57 Crores,"2,3 BHK",Bike and Car,Apartment,Borewell,Risinia Builders,January 2010,Not Found,756,794 sqft,1400 sqft,6.50 acres,₹1.07 Cr,August 2026,Gated Security,"Gas pipeline, Security, Children's play area, Badminton court, Power backup, Maintenance staff","70% open spaces of recreation, Located Off Nehru ORR, Next To Premium Educational Institutions"
NCC Urban One,Not Found,Not Found,Not Found,"NCC Urban One, Narsingi, Hyderabad, India",,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,NCC Urban Infrastructure Limited,January 2005,Not Found,Not Found,1074 sqft,2366 sqft,32.00 acres,₹1.16 Cr,October 2021,Gated Security,"Library, Tennis court, Security, Children's play area, Badminton court, Power backup",Not Found
Sai Ramdas,Not Found,A51800026821,P52100028366,"Sai Ramdas,Manjari Road,Tukaram Tupe Nagar,Pune,412307",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,Rahul,Not Found,Not Found,41,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Fire safety,Not Found
Godrej Ascend,Not Found,A51800026821,P51700034608 | P51700046541 | P51700049514,"Near Cambridge Montessori, Kolshet Road,Thane West,Mumbai",₹85 Lacs - ₹2.4 Crores,"1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1100,407 sqft,1010 sqft,6.50 acres,₹96 Lacs,April 2028,Gated Security,"Cctv camera, Rain water harvesting, Gym, Lift, Vastu compliant, Gas pipeline","Upcoming Metro Line 4 & 5 Closeby, 2 Luxuriors Grand Clubhouses, 40+ Lifestyle Amenities, Experience The Skylife-Sky Sports Arena"
Avant Heritage,Not Found,A51800026821,"P51800029940 , P51800053527","Near Paras Nagar Jain Temple, Majas Wadi, Jogeshwari East, Mumbai",₹96 Lacs - ₹1.89 Crores,"1,2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Avant Group,January 2010,Not Found,350,380 sqft,729 sqft,1.00 acres,₹1.1 Cr,December 2027,Gated Security,"Vastu compliant, Party area, Power backup, Community hall, Swimming pool, Badminton court","Proximity to Jogeshwari(E) Rly Station, Close to JVLR and Western Express HWY, Affordable with Luxurious Amenties"
Sattva Aeropolis,PRM/KA/RERA/1250/303/PR/110522/004869,Not Found,Not Found,"Near Cafe Runway, Boovanahalli ,Devanahalli, Bangalore",₹60 Lacs - ₹87.14 Lacs,"1,1,2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sattva Group,January 1993,Not Found,1001,214 sqft,675 sqft,10.00 acres,₹63 Lacs,July 2026,Gated Security,"Gym, Rain water harvesting, Cctv camera, Vastu compliant, Lift, Children's play area","Close Proximity to International Airport, Trusted Grade A Builder, World Class Amenities, Great Connectivity to IT Major Hubs"
Pallavi Gardenia,P02200001144 | P02200001662 | P02200001475 | P02200001476,Not Found,Not Found,"Ajay Nagar, Nagole, Hyderabad, Telangana 500068",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,KRUSHI BUILDTECH LLP,Not Found,May 2025,180,Not Found,Not Found,3.00 acres,Not Found,Not Found,Gated Security,"Lift, Security, Children's play area, Park, Visitor parking, Fire safety",Not Found
Sameera New Blossom,TN/02/Layout/4178/2022,Not Found,Not Found,"Near Chennai Public School, Poonamallee High Road, Thirumazhisai, Chennai.",₹32.04 Lacs - ₹69.88 Lacs,BHK,Bike and Car,Apartment,Borewell,Sameera Groups,Not Found,Not Found,160,Not Found,Not Found,6.00 acres,₹36.85 Lacs,March 2025,Gated Security,"Lift, Visitor parking, Park, Power backup, Security, Badminton court","Best Modern Amenities, Situated At A Strategic Location, Modern, Efficiently Designed Layouts"
