XID,Project Name,City,NoBroker.in Link
r412704,Green View Residency,Kolkata South,https://www.nobroker.in/flats-for-sale-near-green_view_residency_bangalore
r432596,VKG Dev Bhumi,Indore,https://www.nobroker.in/1bhk-flats-for-sale-near-devkripa_apartment_mumbai
r418615,Edmont Aurelia,Western Mumbai,https://www.nobroker.in/ashwin-sheth-edmont-kandivali-west_mumbai-prjt-8a9f85c38d9b6cd8018d9bbc32e22cf9
r420231,Pearl The Central Park,Ranchi,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-ranchi-home-shop-latma-road-singh-more-hesag-ranchi-jharkhand-india-bangalore-for-rs-7000/ff8081816bdfe47e016be07b04336594/detail
r429111,Shalimar One World 21,Lucknow,https://www.nobroker.in/1bhk-flats-for-rent-in-ghaziabad-ghaziabad
r395189,Swapnabhumi Township,Kolkata East,https://www.nobroker.in/fully-furnished-flats-for-sale-in-dadar_west_mumbai
r380138,Sri Sai Home Ujaan Nagar,Kolkata East,Not Found
r424046,BS Vishan S Castle,Hyderabad,https://www.nobroker.in/ppr-castle-apartment-almasguda_hyderabad-prjt-5d01a7d5714b561a44cbf8ef
r178183,Aditya Orbit,Vadodara,https://www.nobroker.in/vallabh-heights-waghodia-road_vadodara-prjt-675c3bc7f490d75b34947f8d
r420301,Tarc Kailasa,West Delhi,https://www.nobroker.in/2bhk-flats-for-sale-in-karampura-west-karam-pura-new-delhi
r7754,Pyramid Arlington County,Chennai West,https://www.nobroker.in/flats-for-sale-in-eta_township_chennai
r421070,Ayyan Aathmika,Chennai South,https://www.nobroker.in/properties-for-sale-below-1-crores-in-medavakkam_chennai
r435139,The Reserve,Pune East,https://www.nobroker.in/flats-for-sale-in-defence_colony_mumbai
r394740,Silver Oak Raipur,Raipur,https://www.nobroker.in/flats-for-rent-near-bm_harvest_bangalore
r435863,Sunsiri The Lotus,Guntur,Not Found
r438053,Aaditya City,Pune East,https://www.nobroker.in/flats-for-sale-near-aditya_garden_floraa_pune
r420505,Golden Avenue,Nagpur,https://www.nobroker.in/3bhk-flats-for-sale-near-srinivasa_heights_uppal_hyderabad
r399116,Harbans Park,Nagpur,Not Found
r417425,Rachana Purva,Nagpur,https://www.nobroker.in/flats-for-rent-near-akshay_sanskruti_pune
r408929,ABD Pride,Nasik,https://www.nobroker.in/2bhk-flats-for-sale-near-nashik_phata_kasarwadi_pune
r396842,Orchid IVY Floors,Gurgaon,https://www.nobroker.in/orchid-ivy-sector-51_gurgaon-prjt-8a9fe4828353eaa30183542dd5c72542
r203,Active Acres,Kolkata East,https://www.nobroker.in/eastern-enclave-cooperative-society-kolkata_kolkata-prjt-65d34dd71e672d4de87360fd
r414786,Kanthi Enclave Ravista Villas,Chennai South,Not Found
r429991,Cellesta,Kolkata North,https://www.nobroker.in/independent-house-for-sale-in-kalkota-madhavaram-chennai
r399658,Iris by Raghava,Hyderabad,https://www.nobroker.in/raghava-iris-gachibowli_hyderabad-prjt-8a9fc58282101ef9018210b42cf96947
r418941,GPS Meena Aurum phase 3,Kolkata East,https://www.nobroker.in/2bhk-flats-for-sale-near-vitthal_nest_pune
r434288,KCP Garden Karamadai,Coimbatore,Not Found
r433995,Shree Hari Solitaire,Surat,https://www.nobroker.in/flats-for-rent-in-ida_kukatpally_kukatpally_hyderabad
r416951,Roongta Florenza,Nasik,Not Found
r420088,Harmony Blossoms,Chennai South,https://www.nobroker.in/3bhk-flats-for-sale-near-xs_real_harmony_chennai
r428724,Unitd 49,Coimbatore,https://www.nobroker.in/
r334441,Pratham Yash Vrindavan,Pune North,https://www.nobroker.in/property/buy/1-bhk-apartment-for-sale-in-charholi-budruk-pune/8a9f910390b00e550190b0798f0b2fea/detail
r399283,Kalpataru Aria,Thane Outskirts,https://www.nobroker.in/kalpataru-primera-thane_mumbai-prjt-8a9f8ac38e7a6f27018e7a9b25e619cb
r435535,The Privilon by Dev Vinayak,Gandhinagar,https://www.nobroker.in/tirth-shanthi_hyderabad-prjt-8a9fad8894f3d8d90194f4060fd111dc
r396529,Sree Balaji Pride,Visakhapatnam,https://www.nobroker.in/properties-for-sale-below-90-lakhs-near-hi_tech_co_op_housing_society_mumbai
r334919,GP Aditya,Bangalore South,https://www.nobroker.in/3bhk-flats-for-sale-near-jakkasandra_bus_stop_bangalore
r436049,Divis Suprabhatha,Hyderabad,https://www.nobroker.in/rent-commercial-shops-near-richards_park_bangalore
r427843,Kedia Shri Vatsal,Jaipur,Not Found
r421330,Anamika High Point,Ahmedabad West,Not Found
r428750,Vivan Heights,Central Mumbai,https://www.nobroker.in/properties-for-sale-between-15-lakhs-to-20-lakhs-in-kalyan_east_mumbai-page-2
r425841,The Ridges 41,Pune West,https://www.nobroker.in/4bhk-flats-for-sale-in-blue_ridge_paranjpe_schemes_hinjewadi_rajiv_gandhi_infotech_park_hinjewadi_pune
r431642,Siddhik Green Abalone,Ahmedabad West,Not Found
r426546,Ventura,Jaipur,https://www.nobroker.in/gauthami-sai-subashini-towers-kondapur_hyderabad-prjt-5d01a7d5714b561a44cbe885
r428393,Ellanza Zenistry B,Pune West,Not Found
r265661,Aishwaryam Courtyard Gold,Pune North,https://www.nobroker.in/3bhk-flats-for-sale-near-aishwaryam_courtyard_2_pune
r10208,VTP Township Codename  Pegasus,Pune East,https://www.nobroker.in/vtp-pegasus-kharadi-pune-pune_pune-prjt-8a9f9a8278446ccc017844c0a08d1fb4
r349185,Panchnai Paramjyoti,Siliguri,Not Found
r372188,Kanchi Big Town,Kanchipuram,https://www.nobroker.in/vaikund-trilok-chennai_chennai-prjt-5ba1bad8714b56945b470236
r374451,Anuhar Towers,Hyderabad,https://www.nobroker.in/flats-for-rent-near-anuhar_homes_a_square_apartment_manikonda_hyderabad
r423946,Ganguly 4 Sight Florence Phase 3,Kolkata South,https://www.nobroker.in/maitri-apartment-kolkata_kolkata-prjt-65d34ce32b40c37f834b4319
r367377,Sharanya Skyvue,Ahmedabad West,https://www.nobroker.in/sapphire-apartment--thaltej-chowk_ahmedabad-prjt-63a3ecd138aebf00011d8e95
r418960,GTK Eden Garden,Chennai South,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-tambaram-chennai-for-rs-11000/8a9fc682813878a6018138a5979f1ddc/detail
r423721,RSR The Garden View Villa,Hyderabad,https://www.nobroker.in/asian-rsr-villas-shamirpet-hyderabad_hyderabad-prjt-63a95994fd6e3d0001a80a0a
r15646,Mahidhara Supreme,Chennai South,https://www.nobroker.in/residential-land-plots-for-sale-in-vadekkal_chennai
r433403,Jain Fairmount The Arc,Hyderabad,https://www.nobroker.in/kesineni-northscape-dundigal--orrgc_hyderabad-prjt-q1b7q1u8b0b2q8c570y7a9o3
r397177,Tattvam,Kolkata North,https://www.nobroker.in/properties-for-sale-below-60-lakhs-in-bt_kawade_road_pune
r62469,Midori Towers,Pune West,https://www.nobroker.in/flats-for-sale-near-midori_towers_pune
r407059,Priva,Kolkata East,https://www.nobroker.in/
r410501,GP Homes Valencia Ruby,Chennai North,https://www.nobroker.in/k-n-sekar-lakshmi-nagar-thiruverkadu_chennai-prjt-5e972b0aa5a1662dac0a6a4b
r398366,Dashmesh Empire,Thane Outskirts,Not Found
r267281,SBP City of Dreams,Mohali,https://www.nobroker.in/properties-for-sale-between-35-lakhs-to-40-lakhs-in-golden_nri_city_phase_2_bangalore
r387200,The Solitaire Crown,Dehradun,https://www.nobroker.in/properties-for-sale-between-40-lakhs-to-45-lakhs-in-thane_west_mumbai
r393363,Pawa Blossom,Nasik,Not Found
r420320,VR Vivanta,Vadodara,Not Found
r411075,Shubhashish Prakash,Jaipur,Not Found
r332999,Mega Sarovar,Vijayawada,https://www.nobroker.in/flats-for-sale-near-the-creek-planet-school-neptune-campus-kukatpally-hyderabad
r416320,Sumadhura Sushantham Phase 2,Bangalore North,https://www.nobroker.in/2bhk-flats-for-sale-near-dtp_phase_2_bangalore
r306817,Concorde Hill Crest,Bangalore North,https://www.nobroker.in/concorde-hillcrest--chikkaballapur-bangalore_bangalore-prjt-5ba009ad714b568105760f6f
r388209,Sharanya Altura,Ahmedabad West,https://www.nobroker.in/villas-for-sale-near-the_gran_carmen_address_bangalore
r393393,Sahjanand Safal,Gandhinagar,Not Found
r293775,S B Skanda Lake Front,Bangalore South,https://www.nobroker.in/shiva-ganga-brundavanam-uttarahalli-hobli_bangalore-prjt-5ba009ad714b56810576368b
r411643,Vivaan Solitaire,Ahmedabad North,https://www.nobroker.in/1bhk-flats-for-sale-in-amrai_chinchpada_gaon_mumbai
r420217,Ultraluxe Homes by Earthz,South Delhi,Not Found
r424425,Abhay Nilima Enclave,Guwahati,Not Found
r434569,Thai Advaith,Chennai South,https://www.nobroker.in/thai-homes-apartment-madipakkam_chennai-prjt-l1j780f8l0j8y086h2k9l6z5
r433762,Opus 96,Chennai South,https://www.nobroker.in/locality-iq/navallur-chennai-liqlt
r435509,Kalpataru Blossoms,Pune South,https://www.nobroker.in/flats-for-sale-near-rachana_blossom_pune
r418956,AS Sarvayoni Paradise,Kolkata South,Not Found
r436833,Anjaneya Ritz by Yash Infraventures,Nagpur,Not Found
r370636,Mali Pinnacle,Thane Outskirts,Not Found
r415891,Palm Amore,Navi Mumbai,https://www.nobroker.in/new-projects-in-sector-8-nerul-mumbai
r378330,Bhardwaj Sky,Raipur,Not Found
r257091,RKN Nakshatra Enclave,Bhopal,Not Found
r393354,Amardeep Sky,Vadodara,https://www.nobroker.in/vinayak-residency-vinayak-residency_vadodara-prjt-676a990e786da9679ce2308a
r427769,Sattva Green Groves,Bangalore West,https://www.nobroker.in/vruksha-greens_bangalore-prjt-8a9fba849560da4e0195612ed45a1f1b
r432487,Kalra Apartment and Floors,West Delhi,https://www.nobroker.in/furnished-office-space-for-rent-in-bani-air-force-camp-jai-vihar-baprola-road-delhi
r407174,Metro Tranquil,Secunderabad,https://www.nobroker.in/flats-for-sale-near-tranquil_towers_chilakalguda_hyderabad
r405003,Radhey Skye,Hyderabad,https://www.nobroker.in/radha-kokapet-terminal-kokapet_hyderabad-prjt-63abe81b01d8230001146d48
r407585,Casa De Nagoa,South Goa,Not Found
r434435,Dream Kashi Bliss,Varanasi,https://www.nobroker.in/flats-for-sale-in-bangalore_bangalore
r406648,PM Uplands,Indore,Not Found
r405172,Jains Fairmount Sri Ram Garden 2,Hyderabad,https://www.nobroker.in/jain-sri-ram-garden-gundlapochampalli_hyderabad-prjt-63aac3c6108e5b000174d778
r410495,Uttarayan Prakriti,Jorhat,Not Found
r397111,Amantran,Kolkata South,https://www.nobroker.in/3bhk-flats-for-sale-near-villa_casa_the_cult_cuisine_pimpri_chinchwad_pune
r413782,Kumar Magnacity,Pune South,https://www.nobroker.in/properties-for-sale-between-40-lakhs-to-45-lakhs-in-shewalewadi_pune
r347199,Samruddhi Skyrise 1,Vadodara,https://www.nobroker.in/darshanam-club-life-darshanam-clublife-b-tower_vadodara-prjt-675d799d5beaf161ae401a5b
r378542,Sophia Elanza,Kochi,Not Found
r434412,Veda Vilasa Villaments,Bangalore West,https://www.nobroker.in/3bhk-flats-for-sale-in-velachery_chennai
r437911,R Tech Palmera Garden,Jaipur,Not Found
r379918,Nimbus Express Park View 2 Low Rise,Greater Noida,https://www.nobroker.in/2bhk-flats-for-sale-near-nimbus-express-park-view-chi-v-greater-noida
r341763,Escon Primera,Chandigarh,https://www.nobroker.in/platinum-homes-platinum-homes-sanauli-dhakoli_zirakpur-prjt-664f30f9d56aa303463bda4e
r428837,Daksh Triverra,Nasik,Not Found
r371923,Manglam Anantara,Jaipur,https://www.nobroker.in/sky-25-jaipur_jaipur-prjt-65d34dfe1e672d4de873615c
r403911,Aarya Essenzaa 2,Vadodara,Not Found
r431525,Om ShivChhaya,Nasik,https://www.nobroker.in/properties-for-sale-between-30-lakhs-to-35-lakhs-in-kanjurmarg_east_mumbai
r270128,AlamoXsreal Tuscany,Chennai South,Not Found
r324931,Satvik Homes,Faridabad,https://www.nobroker.in/flats-for-rent-in-anangpur-village-faridabad
r430414,Sree Adhitya Lotus Park,Bangalore East,https://www.nobroker.in/flats-for-sale-near-sree_adithya_elite_bangalore
r428685,MP Golden Heights,Chennai West,https://www.nobroker.in/properties-for-sale-below-70-lakhs-in-chikkarayapuram_chennai
r417410,Aashirwad Vrindavan,Kota,https://www.nobroker.in/2bhk-flats-for-rent-near-airoli_railway_station_mumbai
r404615,Russel Lions Gate,Chennai South,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-madambakkam-chennai/8a9faa838c52cbbe018c540cd8c815fb/detail
r410183,Natures Cove,South Goa,https://www.nobroker.in/3bhk-flats-for-sale-in-mangammanapalya_bangalore
r420548,Fortune Imperia 2,Vadodara,https://www.nobroker.in/sahitya-green-sahitya-green_vadodara-prjt-673829f912f44b3b40335586
r336711,Pranavas Sama Lakshma Reddy Greenwich,Hyderabad,https://www.nobroker.in/villas-for-sale-near-spencers_hyper_store_attapur_hyderabad
r367653,Narmada Greens,Jabalpur,Not Found
r35056,Fortune Golden Panorama,Bhopal,https://www.nobroker.in/3bhk-flats-for-sale-in-bommanahalli_bangalore
r429182,The Olympia,Navi Mumbai,https://www.nobroker.in/elegant-olympia-ulwe_mumbai-prjt-5bac1ede714b564981dcd8a7
r414540,Sam Palm Olympia Phase 2,Greater Noida,https://www.nobroker.in/sam-palm-olympia-phase-ii-sector-16c_ghaziabad-prjt-63abee678a1ccd00013ee173
r4382,Rustomjee La Vie,Thane,https://www.nobroker.in/3bhk-flats-for-sale-in-laxmi_nagar_balkum_majiwada_thane_mumbai
r423612,Bramha Kailash Complex,Thane Outskirts,https://www.nobroker.in/commercial-properties-for-sale-in-dhaniv_baug_nalasopara_east_mumbai
r382108,ATC Extension,Jamshedpur,Not Found
r403058,Aakar Millennium,Nasik,https://www.nobroker.in/flats-for-sale-in-taloja_pacnhanand_taloje_mumbai
r410309,Shalimar One World Valencia Towers,Lucknow,https://www.nobroker.in/fully-furnished-flats-for-rent-in-panchsheel-green-ghaziabad
r432548,SS Square Swasthika,Chennai West,https://www.nobroker.in/properties-for-sale-between-25-lakhs-to-30-lakhs-in-meppur_village_chennai
r22804,Pareena Mi Casa,Gurgaon,https://www.nobroker.in/flats-for-rent-near-pareena-micasa-gurgaon
r414404,Hallmark Floresta,Hyderabad,https://www.nobroker.in/hallmark-vesta-patighanpur_hyderabad-prjt-6464c62c2aebd5000153d656
r141819,Baldota Thumbprint,Bangalore North,https://www.nobroker.in/sannidhi-apartments-varadharaja-nagar_bangalore-prjt-5ba009ad714b568105762c81
r399693,Oswal Orchard Amritaya,Kolkata North,Not Found
r414547,Swargaseema S Suketana,Nalgonda,Not Found
r421811,Srijan Heights,Jamshedpur,Not Found
r434574,Rising Homes at DXP 92,Gurgaon,https://www.nobroker.in/flats-for-sale-in-sector-92-gurgaon
r388535,Abode M J Lakeview,Hyderabad,https://www.nobroker.in/abode-mj-lakeview-apartments-ameenpur-hyderabad_hyderabad-prjt-65867017380e125660c1450c
r433805,DS MAX Sky Sisira,Bangalore North,https://www.nobroker.in/ds-max-skysisira-ds-max-skysisira_bangalore-prjt-665eb73f5330de4d7a4332b3
r430628,Ushika Prothoma,Kolkata South,Not Found
r414013,Artech Lattitude,Trivandrum,Not Found
r389744,Amrutdhara Housing Complex,Nasik,https://www.nobroker.in/1bhk-flats-for-rent-in-charholi_budruk_pune
r438101,SG ITALIA An Italian Village,Amroha,Not Found
r438217,BB Utsav,Guwahati,https://www.nobroker.in/3bhk-flats-for-rent-in-perambur_chennai
r437223,KSR Capital City,Guntur,https://www.nobroker.in/flats-for-sale-near-guntur_market_hyderabad
r355666,Best Oriana,Dehradun,https://www.nobroker.in/flats-for-sale-in-begumpet_hyderabad
r316505,Narayan Greenwoods,Vadodara,https://www.nobroker.in/flats-for-sale-in-jains_green_acres_chennai
r418213,Liffe Fest By Realmark,Kolkata South,Not Found
r426539,Aristo The Regal,Ahmedabad North,https://www.nobroker.in/2bhk-flats-for-sale-near-vijayanagar_ttmc_bus_stop_bangalore
r271481,Swayam City,Kolkata South,https://www.nobroker.in/properties-for-sale-below-5-crores-in-south_bombay_mumbai-page-2
r423659,Solitaire Vista 2,Ahmedabad North,https://www.nobroker.in/2bhk-flats-for-sale-in-mhada_colony_juhu_mumbai
r408676,Vivaan Oliver,Ahmedabad North,Not Found
r402875,Dac Vilva,Chennai South,https://www.nobroker.in/2bhk-flats-for-sale-near-mav_royal_square_chennai
r428520,Panora Hills at The Nature,Pune West,https://www.nobroker.in/life-montage--sus_pune-prjt-5ba3f027714b56aa08570c18
r416158,Archana Signature,Udupi,https://www.nobroker.in/flats-for-rent-in-ilapur_road_hyderabad
r419253,Aashray Eminent,Vadodara,https://www.nobroker.in/3bhk-flats-for-sale-in-saligramam_chennai
r296319,Maitri Lake View,Ahmedabad North,https://www.nobroker.in/villas-for-sale-near-lodha_chandresh_avenue_mumbai
r409351,Artech Marvel,Trivandrum,Not Found
r325929,Royal Arcade Kondhwa,Pune South,https://www.nobroker.in/3bhk-flats-for-sale-near-metro_greens_pune
r426565,Podar Avanta Heights,South Mumbai,https://www.nobroker.in/flats-for-sale-in-bt_kawade_road_pune-page-3
r270058,Aishwaryam Hamara Abhimaan,Pune North,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-aishwaryam-hamara-gat-no-94-dehu-alandi-road-chikhali-pune-near-snbp-school-midc-moshi-pimpri-chinchwad-maharashtra-412114-india-pune-for-rs-12000/8a9f878e70473ed4017052519eaf65da/detail
r145261,Essen Raj Manohar Residency,Bhubaneswar,Not Found
r420379,Golden Glory 101,Nagpur,https://www.nobroker.in/1bhk-flats-for-rent-near-lotus-boulevard-sector-100-noida
r391947,Ananyas AA Garden,Coimbatore,https://www.nobroker.in/shree-bt-garden-porur_chennai-prjt-5ba1bad8714b56945b46de12
r406898,Highline by AG Group,Ahmedabad West,Not Found
r419140,Chamundeeswary Chang Royale,Chennai South,Not Found
r413420,Geethikas Ensconsia,Hyderabad,https://www.nobroker.in/vijayakalpa-kshetra-sreenagar_hyderabad-prjt-w1x7r1b5g3m2n4m8x5x3m6j0
r378617,Suchirindia The Tales of Greek,Hyderabad,https://www.nobroker.in/properties-for-sale-in-sathamrai-village-hyderabad
r427386,Saamarth Twinland,Gandhinagar,Not Found
r410741,Sattva Lake Ridge,Hyderabad,https://www.nobroker.in/sattva-lakeridge-neopolis_hyderabad-prjt-8a9ffa8287bd06860187bda114615f15
r428866,Joy Grand,Mohali,https://www.nobroker.in/properties-for-sale-between-10-lakhs-to-15-lakhs-in-kharadi_pune
r398187,Harish Bhairav,Coimbatore,Not Found
r426470,Samarthya Excellence,Surat,Not Found
r391272,Sukra Majesticka Grande,Coimbatore,Not Found
r435900,Anaadih Shri Datta,Sindhudurg,Not Found
r437304,Samsara Ivana,Gurgaon,https://www.nobroker.in/flats-for-sale-in-adani-samsara-gurgaon
r402921,Kiran Swastik,Pune West,https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-sus-pune/8a9f9282822413a101822465e6ae38d3/detail
